Unnamed: 0,口コミ,投稿日
13,フロントには24時間のドリンクバー、夕方まではアルコールまであり、そのドリンクを持って足湯を楽しめます。温泉はお肌がツルツルになりました！ただアメニティがもう少し充実してるともっといいかなとは思いました！ご飯は夕食朝食ともにとても美味しく、豪華でした！強羅の中ではお値段も比較的お安く、また行きたいと思えるほどいい宿でした！,2023/7/29
14,のんびりと強羅の休日を楽しめました。温泉が完全な掛け流なので嬉しかったです。フロント近くの部屋でしたので、他の宿泊客とほぼ会わずにいられたのも良かったです。,2023/7/29
15,日頃の疲れをとりたいと思い、一人でふらっと行ける近場を考え、箱根のゆとりろ庵様に泊まらせて頂きました。特に観光目的ではなかったので、宿で過ごす時間を多く持ちましたが、窓から見える景色と聞こえてくる蝉や虫の声に癒されながら、ゆっくりすることができました。温泉の泉質はとても良く、肌もツルツルになり、湯上がりもすっきりしました。お料理は多すぎず、適量でした。個人的には少し味付けが濃いと感じるものもありましたが、素材じたいが良くて美味しかったです。温泉とお料理と立地を考えれば、かなり価格は安いと思いますので、またぜひ利用させて頂きたいです。,2023/7/22
16,良い点　部屋からの木々の景色が良く、季節柄ひぐらしや鳥の声が聞きながら過ごせた（但し網戸が無い為窓を開けると虫が入ってくる）悪い点写真で見るサイズ感と実際のサイズにかなり違いを感じた（個人的感想ですが、部屋の露天風呂の浴槽は一人で足も伸ばせない。貸し切り露天風呂は2人が精一杯で家族連れだと全員一緒には無理かも。大浴場も湯船はあまり広くなく湯温がかなり熱めでした）食事は特選懐石でしたが半分洋風で特にお椀物ではなくブイヤベースにはびっくりしました。食材は新鮮で味も良かったのですが、献立が個人的には？と思いました。飲みものの注文もなかなか来てくれず、懐石を食べるのに少し食事処が騒がしすぎました。,2023/7/18
18,箱根強羅の静かな旅館。足湯がオシャレで飲み放題の生ビールと共に最高の時間でした。お風呂も貸切露天風呂を利用しましたが、清潔でゆっくりできました。,2023/7/15
19,曇り空で心配しながら箱根湯元・彫刻の森美術館を回りました。ホテルの玄関までの雰囲気はよかったです。部屋の清掃が今一つ行き届いていませんでした。風呂場は狭く露天風呂もありません。貸切風呂が有料で利用出来ますが割高に思えます。部屋の窓から見る風景は良い感じでした。,2023/7/12
20,フロント、食事の担当さんの笑顔に癒やされました。お仕事頑張ってお客さんを笑顔で癒やして下さい。また来ます。,2023/7/11
21,家族が日本に遊びにきて一緒に宿泊しましたが、ロビーも広くてゆっくり休憩できました。お部屋からも自然を感じられて良かったです！温泉した後、お肌もサラサラで気持ちよく休めました！,2023/7/5
24,親と泊まりましたウェルカムドリンクはアルコールも飲み放題で、ソフトドリンクは24h飲み放題という初めてのサービスがありましたマッサージチェアも24h使え、テラスには足湯があり最高でした食事も盛り付けがきれいで、よかったです,2023/7/1
25,久々のゆとりろ庵さんでした。リロの中ではリーズナブルでとても良いです。又今ウエルカムドリンク生ビールがあり時間延長になってて非常に良かったです。,2023/7/1
26,今回家族旅行で、日本温泉雰囲気を探したところすごくいい感じの宿泊発見。親切でよかったです！また行きます！,2023/6/30
27,新婚旅行として初めての箱根旅行でしたが大満足でした。最上階の部屋を予約したのですが、家族旅行でまた来たいと思えるくらいの広さと落ち着いた空間でゆっくりと楽しめました。ウェルカムドリンクサービスやマッサージ機、足湯、温泉、食事など料金もリーズナブルながら満足できるサービスが揃っていてよかったです。最寄りの駅の最終時間が早いのと近くにはコンビニなどはなく自然豊かな立地にある旅館なので、スケジュールパツパツな旅行ではなく、ゆっくりのんびりとしたリフレッシュする旅行の際にはおすすめの場所だと思います。,2023/6/29
28,部屋にお風呂ついてるので、子供たち大喜びで、何回も入り遊びました。足湯テラスもあり、線香も置いてあり、子供たちも安心で遊べます。とても親切な感じです。ロビーにある無料ドリンクコーナーはワイン、ビールまでありまして、旦那ガブガブ飲んでました(笑。おかげさまで、とてと楽し旅行でした。ありがとうございました！,2023/6/27
60,緑に囲まれた中、貸し切り風呂で1人のんびりと1時間ゆっくりしながら、部屋でのんびり過ごす事が出来ました。朝ご飯の色々な物を少しづつ頂ける感じは女性には嬉しいバランスで満足出来ました。小さなお子様を連れた宿泊客はお見かけせず、カップルやご夫婦が多い印象で、それも良かったポイントです。,2022/6/13
61,お部屋がとても良かったです。とにかく寛げました♪露天風呂付きのお部屋に宿泊。申し分ない広さとお部屋の露天風呂からは目の前に大文字焼きの山々の眺望が最高です。館内は広々としておりロビーの開放感や到着時のドリンクサービスも癒やされました。到着時、突然の強雨となり散策予定を変更し電話で送迎バスをお願いしました。丁寧な対応をいただいてホッと宿に着けました。スタッフの方のサービスも行き届かれていると感じました。ありがとうございました。静かで心地よい滞在となりました。大浴場も広々としており、ゆったり浸かりました。お風呂は景色も素晴らしい為、お部屋の露天風呂を楽しんで過ごしました。食事に関しても文句なし! 席も宿泊者ごとに配慮されており安心して味わえました。内容は控えめと思っておりましたが、満足の量いただきました。朝食は長方形のお重に様々な小鉢がおかずとなっており楽しめました。朝からおかわりもしっかり、いただいたほど。このコスパで素晴らしいと思います。次回は連泊でお世話になりたいと思います。,2022/6/12
62,他の方の口コミを見て心配だった接客については、私は特に気になりませんでした。チェックアウトギリギリにチェックアウトの時間の変更をお願いした際にも、嫌な顔せず快く変更してくださり、対応いただいた女性も終始笑顔で好感が持てました。利用してみて残念だったところは、大浴場とお部屋のお風呂が想像してたよりも狭かった点です。でも貸切風呂は広かったので、気になる方はそちらを利用するといいと思います。良かったところは、浴衣の柄が豊富で選べるところ、食事が美味しくボリュームがあるところです。浴衣の柄は、何分間も悩みました。全部素敵だったから…。今回、彼の誕生日で記念日プランを利用させてもらいました。用意いただいたケーキがとても可愛くて、彼は写真を何枚も撮って喜んでくれていました。あんなにはしゃいでいる彼は初めて見たので、本当に嬉しかったのだと思います。2人のいい思い出になりました。素敵な時間とおもてなしをありがとうございました(●´ω｀●),2022/6/12
63,まず駐車場から宿の入り口に行くまでに見せてくれる趣のある看板から石階段を上がって行くところが、箱根に来たなーと情緒を感じさせてくれました。入り口に入るとこれまた素敵な飾り付けで素晴らしかったです。スタッフの方も丁寧で穏やかな対応で良かったです。ウェルカムサービスもワインやソフトドリンクやお菓子も頂けて、しかもコーヒーサーバーはいつでも利用可能なのも良いです。温泉は2種類の泉質を楽しめて、早雲山からと大涌谷から引いているようで、2倍楽しめました。湯上がり処の黒豆茶も美味しかったです。その後に館内を歩いていたらなんと無料マッサージチェアーが並んでいるのを見つけて、早速利用しました。しかもマッサージチェアーから見える目の前の景色も自然豊かで、心も体も癒やされまてしまい、いつの間にか居眠りしているほどリラックスできました。朝食は2段の御重に可愛らしい多種多様なおかずが並んでいるので味もさることながら目でも楽しめました。朝食処もしっかりとコロナ対策されており、ついたてもあり、一人泊でも落ち着いて食事できました。次回は家族旅行でも利用したいと思います。,2022/6/11
64,強羅のゆとりろは始めてでした。綺麗で良いです。ウエルカムドリンクもあり、相変わらずリーズナブルで、又お伺いします。,2022/6/11
65,マッサージチェアがとても快適！ですが。。。部屋に戻ると全く電波はつながりませんでした。。。。ロビーはWi-Fiがあるので仕方ないのでロビーでケータイをいじってました。,2022/6/10
66,駅まで送迎があるのは助かります。ウエルカムドリンクということで、スパーリングワインまで飲めたり、コーヒーマシーンがいつでも利用可だったのが良かったです。洋室での宿泊でしたが心地よく過ごせました。TVの接触があまり良くなかったのが（見れましたが）残念な点でした。お風呂は混まずにゆっくり入ることができました。接客も良かったと思います。お世話になりました。,2022/5/27
67,結論。様々なタイプのホテルや旅館に宿泊してきましたが、総じてこんなに終始嫌な気持ちで過ごしたのは初めてでした。隣の部屋や廊下の音、振動まではっきりと伝わります。廊下の音は、足音や会話、自販機のガラガラガッシャーン！といった音、ルームキーの鍵のジャジャラした音がはっきりと聞こえます。両隣の小さい子連れのご家族と男性1人客の電話の音か、何話しているが分かる程の音です。なのでもし部屋が空いていれば移させてもらえるか聞きに行きました。受付スタッフに伺うと、「お待ち下さい」と受付の奥へ行き戻ってくると、「ちょっと確認してきます」と。何を確認？もしかしてお隣さんに確認するの？と思い引き留めました。何を確認するのか、お隣さんに声をかけるのか聞くと、「あ、はい、えっと…確認に行ってきます」と。なのでお隣さんが悪いわけでないですし、迷惑かけようと思ってわけではないので「聞きに行ったら悪い思いさせませんか？子供が仕方ないですし自然な物なので」と伝えでも「確認に…」の一点張り。この引き留めと押し問答を3回ほどしたところで受付スタッフはお隣さんの元へ行きました。それから10分程あのスタッフから、「部屋に不備があるとかではない限り部屋の交換は受け付けなくって…」と言われました。答えが初めからわかっていたなら、どうしてお隣さんにまで迷惑をかけるのですか？終いには、「何かまたありましてらお声がけください」と。その何かとはなんでしょうか…。迷惑行為を受けているという意味で今回相談していません。お隣さんに注意をしに行くましてや子供がいるご家庭に注意に行くっておかしくないですか？相談に行ったのに、私もそのご家族さんも後味悪くなった結果です。以下をそのスタッフへ伝えました。「お子さんは仕方ないですし注意しに行くことでご家族さんは悪い気持ちにはりませんか？私は別に良いですが、部屋交換の対応してないのならそう言ってくれれば良い、出来るなら注意などせず淡々と部屋交換してくれれば良い、もっとスマートに対応するべき」と。スタッフは相変わらずしどろもどろに「あ、すみません…はい、申し訳ありません」と謝る一点張りで私の伝えたい事が伝わってるかは分かりません。音に悩みたくなくて0時近くまでロビーで過ごしていました。休みに行った旅行なのにぐったりと疲れました。,2022/5/25
68,キャリヤー付きのミニトランクを持ち上げて玄関まで運ぶのが面倒、あの階段がなんとかならないものか。駐車場も遠い。料理は朝晩とも予想していたより美味しく楽しめた。同系列の熱海の２施設に泊まっているが、こちらの方が断然美味しい。料理長の差なのか?,2022/5/25
69,玄関にたどり着く上り階段がきつくスーツケースをもってあがるのが難儀しました　貸切風呂は期待外れでした　チエックイン後に車のカギを預けましたがチェックアウト時にフロントから鍵をもらい外にでると宿泊者の車がスタッフも居らず置きっぱなしでした　ありえないと思いました,2022/5/24
70,天候が悪く予定のチェックイン1時間前に到着しましたが、すぐ対応していただき、フロントでウェルカムドリンクを頂いている間に、部屋の準備が完了し、部屋に案内してただきました。夕食は盛り沢山のメニューで、お酒を楽しみながら、接客してくださったスタッフさんからメニューの説明やおすすめのお酒を教えていただき、丁寧な対応に一層美味しく楽しい食事になりました。,2022/5/23
71,夕食も朝食もすごく美味しかったし、マッサージチェアも大浴場も足湯もあり、快適に過ごししました。何よりもスタッフ達のおもてなしがよかったで、皆様の笑顔で癒されました。また行きたいと思います。,2022/5/21
72,直前に予約しましたが、スムーズにチェックイン・有意義な時間を過ごすことができました。お料理のボリュームもあり、とても満足した滞在となりました。,2022/5/16
73,チェックインで待たされてなんのためのQRコードかわからなかった。喫煙室がカビ臭くて酷かったです。貸切風呂も葉っぱや虫をすくう網とかあると良かったです。食事も普通でした。値段に対して‥と思いました。期待してた自分がいけなかったかもしれません。,2022/5/16
74,元都内ホテルスタッフです。はっきり言ってプロとは程遠い接客なのでフロントに行く時は人を選ばないと残念な気持ちになります。検温担当の男性のお出迎えでチェックイン前から旅館のレベルがわかってしまい、母の誕生日旅行で決めたお宿だったのにしまった、、と思いました。接客に無関心な方なら宿泊されても不満はないかもしれません。チェックインしてくださった方は事務的、棒読み、笑顔と感情なし。夕食に案内してくれた方々は良かったですが配膳スタッフの女性が全然ダメでした。あの食事処には合わないヒールのゴツ、ゴツ、という重たい音。靴を変えるべきです。母がまだ食事中だったのにお下げしますねと言われてびっくりしました。そんなに早く片付けたかったのでしょうか。私なら「お済みでいらっしゃいますか？」と聞きます。私の料理の上を通って母にすまし汁を出していたのも、料理に袖が付きそうで心配になりました。振る舞い方やマナーの教育がないように感じ、この会社には研修制度がないのだと思います。まだ不慣れなキャストさんは頑張ってて好感が持てました。結局姿勢がすべてですよね。・大浴場の内風呂(のみ)・半露天風呂付き和洋室(浴室の汚さ、洗面所にタオル掛けがなくバスタオル掛けを移動させて掛けるしかなかった)・検温の男性の何もスマートじゃないお出迎え・ショートカットの事務的な方・夕食時の雰囲気に合わないヒール・配膳対応の仕方これらを考えると宿泊代が高く感じました。強羅近くの旅館でウェブサイトの動画紹介もいい感じ、と色々調べて決めましたが、やはり行くまではわからないものですね。1人の印象がホテルの印象になるのに宿泊施設で働くことの理解が浅いと思います。精算とチェックアウトをしてくださった女性スタッフは明るくてかなり良かったです。（部屋番号と名前を伝えたあと沈黙のままパソコンで検索し始めたので、○○様ですね〜お待ちくださいませくらいは返答しても良さそうでしたが...）感じの良い方だとその辺りは目を瞑れます。そのチェックアウトの際、当然母も一緒だったので事務的な方に担当されないよう上記のスタッフさんの手が空くのを待ちました。帰りぐらい、気持ちよく帰りたかったので、、。,2022/5/4
75,到着日はちょっと涼しいくらいでしたが、すぐに温泉へ。塩化物泉の効果でぽっかぽかに。欲を言えば大浴場に露天風呂があれば申し分なし！夕食は少食の私にとってはこのプランでもお腹いっぱいで美味しくいただけました。朝食は全体的に私にはちょっとしょっぱかったです。種類が少なくても温かいものの方が良かったかなと…部屋も綺麗で窓の外は緑のお庭の景色で鳥の声で癒されました。お部屋に箱根のお菓子の一つでも置いてあれば完璧でした。若いスタッフさんたちもみなさん感じがよく一人旅におすすめのお宿だと思いました。,2022/4/23
76,ウェルカムドリンクのスパークリングワインが美味しかったです。コーヒーも無料でいつでも飲めるし、お風呂には黒豆茶があったりと至れり尽くせりのサービスでした。お料理も朝夕和食で最高でした！浴衣を選べて、足袋のソックスも着いてて助かりました。スタッフの感じも良く、とても満足です。,2022/4/22
77,今風の旅館のようなホテル？お迎えもなければお見送りもない。部屋ゎ、リフォームした洋室。キレイでした。夕飯ゎ、洋に近い貸切風呂ゎ、少し外を歩いていく。雨だったので、歩くのがちょっと…って感じ。夕飯の時に、温かいお茶をと言ったら、会計にウーロン茶と記載されて金額が書いてあった。ん？と思い聞いてしまった。よくいろんな所に旅行に行くが温かいお茶で料金とられたのゎ、初めてで、フロントに言ったら、料金加算されなかった。お客様で、香水のキツイ方がいて、その匂いで食事が……個人の自由であるが、食事の時ゎ、勘弁してほしかったです。,2022/4/19
78,入り口までのアプローチが季節感が溢れていて素敵です。部屋からの眺めも手入れの行き届いた植物が見えて癒しのひとときです。welcome drinkサービスでリラックスタイムもさらに寛げますし、素晴らしいサービスだと思いました。お風呂は大浴場に露天風呂はありませんでしたが、源泉で身体が温まり、冷茶がとてもおいしかったです。食事は朝食が甘味（牛乳カンの黒蜜掛け）まで非常に美味しく、また全く同じメニューで頂きたいくらいです。,2022/4/19
79,初の親子(女児と)2人旅でした。足湯や強羅＆箱根の美術館を巡る予定でしたが、2泊中ずっとあいにくの雨（ ;  ; ）祝日と平日含めての滞在でしたが大浴場も清潔感がありましたし、ポジティブに貸切露天風呂は雨の方が風情があって良かった！と思いました。(電気の付け方が難しかったのと、貸切露天風呂の脱衣所にもメイク落としがあれば尚満足でした)おそらくですがコロナ禍もあって人員配置がタイトなのか、２日の宿泊中お顔が見えるスタッフの方ばかりでしたが、それを全く感じさせ無い余裕のあるきめ細やかなサービス、ニーズには的確な対応、素晴らしい笑顔が溢れており是非また伺いたいと思いました。朝夕のお食事で御対応して下さったスーツの紳士の方は特に印象的でした。初回の夕食に伺った際から次回以降、娘の好きな飲み物を覚えて下さっておりスマートに提供して下さいました！お食事処でちょっとお顔が見えないと[あの方は今日は居ないのかなぁ？]と娘も会いたがってましたwサプライズと安らぎを同時に味わえてとても豊かな休日を過ごせて大満足です。ありがとうございました！,2022/4/6
80,食事の時に、しゃぶしゃぶの燃料が尽きてしまっていたら、声をかけてくださり、追加で持ってきてくれました。温泉のお湯も良かったし、建物の装飾のセンスもよく、くつろげる宿だと感じました。,2022/4/5
81,部屋も専用風呂も家族には、大好評でした。また、マッサージチェアの設備もとても良かったです。無料WiFiが部屋からも使えれば良かったです。,2022/3/28
82,露天風呂付き客室に泊まってみたくて、ここをチョイスしました。客室に露天風呂が付いている宿としてはかなりお安く、でも全く安っぽくなく、十分満足できました。夕食は丁度良い量かなと思いましたが、食べ進めると多くて少し残してしまいました。朝食はごはんに合うおかずが少しずつ何種類もあり、どれも美味しかったです。胃袋が大きかったらごはんをおかわりしたかったぐらいです。,2022/3/21
83,記載の電話番号：予約センターの番号で有料、しかもナビ登録できず。住所で登録をとの返事で実施も正しく反映せず〜全く不親切。感染対策でチェックイン簡素化と言うが、説明不十分で不親切ー説明書きをよく読めのスタンス。専用アメニティ付きの施設専用も付いて無い。洗面所の洗面器と椅子ざ汚いしトイレ用スリッパも無し。露天風呂付と言いながら家庭用風呂より小さい。源泉掛け流しと言うが、ぬるいし保湿効果が無い。備えのリンスとボディソープは泡立たないし役目果たして無い。貸切風呂の脱衣所は狭くて暖房無し。屋根の庇が短く雨が雨にあたる。食事何処のアナンスが出来て無いし表示も無くて分かりにくい。全てに於いて、料金一流で内容は三流、唯一夕飯の料理は評価します。ただ冷酒が熱燗用徳利とお猪口には呆れた。,2022/3/20
84,宿に入った際にすぐに気づき明るく接客してくださったり、ドリンクのサービスや、足湯の前にタオルが置いてあったり、食事を出してくださる方々も明るく話かけてくださり快適に過ごせました。,2022/3/17
85,見た目もオシャレで夕食、朝食付きだったので予約を決めました。15時から17時まであるウェルカムドリンクは飲み放題で赤ワイン、白ワイン、スパークリングワイン、ジュースがあり、コーヒーとココアは24時間飲み放題とのことでとても良かったです。チェックインを早くしていたのでゆっくり過ごすことが出来ました。浴衣の色や柄も選ぶことが出来たのも良かったです。貸切露天風呂も2人で入るのにちょうど良かったです。3人以上になると窮屈なのかな？他の貸切風呂を見ていないのでわからないですが…。天気が良かったので少しですが星も見えて素敵でした！また、部屋に空調がなく、花粉症持ちのため窓を開けれなかったので部屋にいる間暑かったのが残念なところでした。ですが、夕食、朝食共に美味しく頂きましたし食べ終わる頃に次の料理が来る形だったので運ばれてくるタイミングが良かったです。朝、一番に温泉に入ろうと6時に入浴したのですが （朝一の入浴が6時から）誰も入浴していなかったのに髪の毛が…こちらも少し残念でした。温泉自体はとても気持ち良かったです。全体的にはスタッフ対応も良かったのですが、チェックアウト時に預けた車のキーを忘れていたり、其方側のメモのスタッフの文字が読めず車を移動したかどうかが分からず確認する時間がかかったりとスムーズではない印象でした。どうしてもチェックアウト時が最後の印象になってしまう為 少し気になりましたが、改めて全体的に考えこちらの評価とさせて頂きました。,2022/3/14
86,当日予約で素泊まりしました。強羅駅まで迎えに来てくれます。ドリンク無料があったので、良かったです。足湯ができ、Wi-Fiもあります。チェックイン後、きつい坂道を歩いていたら、送迎のおじさんが、拾ってくれました。容姿を覚えていてくれたんですね。感謝です。チェックアウト後も荷物を預かってもらえて助かりました。,2022/3/9
87,ホテル、温泉は良し！特に朝ごはんがとても良かったです！品数も多く、どれもとても美味しかったです。ホテルに着くまでの坂道が疲れました…,2022/3/4
88,まん延防止等重点措置が発令され制限が出ることは覚悟の旅行でしたが、息苦しさもなく宿ではゆっくり過ごすことができました。部屋のテレビが大きいのは嬉しいです。自由に利用できるマッサージチェアでリラックスすることができました。リビンクのフリードリンクも食後とかにゆっくりするのに重宝しました。,2022/3/4
89,今回2泊泊まらせていただきました！浴衣の柄も多くありましたが、私が最初に選んだ時にはピンク系の浴衣が人気だった為か1枚も無く、正直選ぶのを悩んでしまいました。しかし、2泊目ではピンクを着れたので満足です！お部屋も広めでゆったり過ごすことができ、スタッフの対応もとても良かったです！貸切露天風呂も予約が取れやすく、2日間とも入ることができ良かったです。夜ご飯や朝ごはんは、テーブルに着く前からテーブルいっぱいに用意がされていました。少しずつ出てくるものだと思っていたので、少し驚きました。頼んでいた誕生日ケーキはとても可愛く、ご飯中に部屋の冷蔵庫に入れていただけて居たので、彼にもサプライズになりました！ありがとうございました！宿の周りにコンビニなどがすぐにないところや、山の中なので急な坂道で大変な面はありますが、とても素敵なお宿でした！,2022/2/22
90,お部屋からの眺めが最高でした。雪化粧した大文字もみられ、館内も清潔で素敵でした。客室露天風呂も広くいつでも熱いお湯がでるのはいいですね。足湯が熱すぎて火傷するかと思いました。その後しばらくヒリヒリしてスリッパを履くと痛いくらいでした。夕飯が一番ガッカリでした。特選会席のわりに、品数は普通。カルパッチョのお魚の説明がない。(たぶんマグロと鯛だと思う)ブイヤベースの味もいまいち。サーモンのグレープフルーツ焼きもいまいち。メインの牛のしゃぶしゃぶも赤みのお肉で肉くさい感じがしました。きんめご飯も写真ほど大きいきんめはのっておらず、小さい切り身がちょこんと。食事以外は最高だったんですけどねー。今回特別和室に安く泊まれたのですが、この値段で妥当だなと思いました。,2022/2/15
91,今回は、娘との旅行でした。部屋は、古さは感じましたが、清掃はいき届いていて広くて景色もよかったです。部屋の露天風呂も温泉だと最高！と思いました。貸切露天風呂は、温泉だったのでとても良かったです。ウェルカムドリンクは、アルコールが美味しくとても価値のあるものでした。24時間飲めるドリンクサービスがあってよかったのですが、欲を言えば緑茶　烏龍茶などのサッパリした系があったらよかったです。お風呂上がりとかのみたかったです。,2022/2/14
92,先日の大雪の中、スタットレスタイヤで向かいましたが、途中でホテルから電話があり、強羅駅周辺のコインパーキングに駐車してケーブルカーで来ることを薦めれました。結果的にお勧めされた通りになり、無事に到着。雪景色の中での客室露天風呂は最高でした。夜には雪が止み晴れたお陰で、露天風呂から向かいの山の大文字焼きなどが夜でも微かに見え、雪とのコントラストが最高でした。ただ、こちらのホテルは食事がいまいち。夕食も朝食もホテル内で調理してるの？と思わせるような内容。味は不味くないですが、メニューが高齢者向けというか、少なくとも若い人や子供には全く不向きです。館内は清潔感があり綺麗でしたが、館内にも周りには何もありませんので、お酒やおつまみ、夜のアイスなどは事前に購入が必要です。館内の自販機はソフトドリンクとビールだけで、売店もありません。それから、雪の時はスタットレスタイヤでも厳しいです。ホテルの前の道はほとんど車が通らないし、坂の勾配もかなりキツいので、除雪されいな場合はよほど雪道に慣れた方でないと無理です。,2022/2/12
93,久々に箱根でまったりしたくお邪魔しました。会社帰りだったのでほぼ手ぶら。迎えも直ぐ来てくれて、24時間コーヒーサービスがあり、そして私が宿泊した部屋は1階フロントフロアーだったのでWi-Fiも使えお風呂に行くにも直ぐ階段がありとても便利でした。お料理も美味しくご飯のおかわりも出来、満足でした。,2022/2/4
94,箱根の強羅地区の静かな環境のなかでゆっくり過ごす事が出来ます。貸し切り風呂もたくさんあり、予約なしでも利用できました。近くには箱根美術館の庭園もあり、穴場です。,2022/1/31
95,お風呂をもう少し手を加えてもらいたい。貸切風呂もあるみたいですが大浴場は殺風景で魅力をかんじないです。,2022/1/30
