,口コミ,投稿日
10,観光から比較的近く食事、お風呂も楽しめました。ただ、主人が使ったお布団が臭ったそうで少し残念。後は○です。,2023/9/17
11,今回、４年ぶりの子供の部活の保護者の同窓会。コロナも緩和されて、本当に会えるのを楽しみにしていた会でした。年に１回の会でしたので、日本一の山である富士山を部屋からも露天風呂からも見ることができて良かったです。夕食・朝食ともに、ビュッフェでしたが品数豊富で美味しく仲間内では絶賛していました。お部屋も広くていいのですが、広縁があると良かったなあと思いました。従業員の皆さんは、どんな時も笑顔で優しい対応でした。ありがとうございました。よい思い出作りができました。,2023/9/13
12,家族（女4人）で利用させてもらいました。チェックインが１５時からでしたが早めに着いてしまいラウンジで待たせて頂きました。時間になったら順番にご案内しますとのお話でしたが、１５時近くなると続々と人も増えフロントの対応も大変だったのでしょう、アナウンスがなかなかないため渡されていた部屋に行きました。部屋は清潔感のあるお部屋でした。4人で利用とのことで布団はセルフとのことでしたが部屋に置いてあるテーブルはとても大きく重くて運ぶのが一苦労でした。食事は、とても美味しかったです。特に夕食のアップルパイが最高でした。お風呂も温度よくとても良かったです。外国人の方がおり、バスタオルで入ってきてしまい困ってる方がいらっしゃいました。フェイスタオルがどこにあったのか分からなかったようです。部屋にあること説明すると取りに行かれてました。更衣室にあったらよかったのではないのかと思いました。そんなこんなでしたが母は夕食後のピアノの演奏が聴けてとても満足していました。一緒にいた子供もとても楽しめたようで聴きながら寝てしまうほどでした。,2023/9/12
13,熱々の鍋料理はすき焼きをはじめ各自好きな鍋を頂けるので最高でした。その他バイキング料理でシュウマイが品切れになってしまったとかで残念でした。,2023/9/9
14,一人旅です。ツインルームだったので、ゆったり快適でした。リーズナブルプランで、古い部屋ということでしたが、清潔で、あまり古さは感じませんでしたスタッフの皆さんの対応が気持ち良く、お料理の種類も豊富で美味しくいただきました。また、利用したいと思います。,2023/9/6
15,義理の父母を連れて、6名で宿泊させて頂きました。部屋でトラブルも有りましたが直ぐに対応頂き、その対応の早さと配慮には感銘いたしました。部屋もとても綺麗ですし、料理もバイキングですが品数も多く、味もとても良く父母も非常に満足していました。ホテルを出る際、フロアかドアのスタフの方が一言、「皆さんでの写真を撮りましょうか。」と声を掛けて頂きました。他のホテルに宿泊した際は、こちらから「写真撮って頂けますか。」とスタフを探すことが多い中、何気ない一言ですが、非常に嬉しかったです。父は80歳を超えており、また、子供の受験を来年以降控えており、これが最後？の家族旅行かと皆で話をしていたので、とても良い思い出になる旅行になりました。是非、宿泊したいホテルの一つです。スタッフの皆さん、大変お世話になりました。,2023/9/5
16,風呂付きのお部屋に泊まったのですが、ベッドルームはとても豪華でベッドも広いし最高だった。サービスに関しては、金額が発生しない小さな子どもの浴衣やスリッパを用意してくれていてもいいんじゃない？と思ってしまった。金額が発生しない年齢の場合、浴衣やスリッパを用意しても、実際は使わなかったりするけど、他の旅館では用意があり、お客様として迎え入れてくれてると感じたので、少し気をつかっててほしいなと思った。食事はビュッフェスタイルで、朝食夕食ともに、どれを食べてもとても美味しかった。,2023/8/28
17,姥子に着いたら霧で何も見えない状況でしたので、送迎サービスがあって助かりました。富士山は今回も見れず。ビュッフェがとても良かったです。焼きたてのアップルパイが美味しかった！,2023/8/26
18,台風が過ぎて、まだまだ雲の多い日でしたが、朝にはすっかり青空になり富士山もチラリと顔だけ見せてくれました。それも、露天風呂からで、来た甲斐がありました。中庭もキレイに手入れされており、あちこちにウサギさんが飾られてあり、おもてなしの気持ちが伝わりました。ごはんも夕食、朝食とも十分な品数であれもこれも食べたいのでお腹いっぱいになり、大満足です。とくに焼きたてのオムレツはフワフワで良かったです。クルマで富士山一周してチェックインしましたが、大涌谷にも近く、旅の欲張りなルートを決めるのにはイイ場所だと思います。今度、富士山丸見えの時に泊まりたいと思います。,2023/8/24
19,夏休み家族旅行で利用。当初の目的は露天風呂からの富士山が目当てだったけど残念ながら終日雨でそれはかなわず。しかし何よりも素晴らしかったのが夕食の質の高さ。どれも美味しかったけど出来立てのアップルパイに家族皆感激しました。朝御飯も夜に比べればボリュームは控えめながらもおいしくいただきました。建物は少し年季が入っているもののリノベーションもしてあり古くささは感じさせず和洋室もキレイでよかったです。露天風呂からの富士山を観るためにというよりもまたご飯を食べにぜひとも再訪したい宿です。,2023/8/23
20,2度目の利用でした！夕食ビュッフェの種類が豊富でシェフの方がとても感じよくて良かったです！朝食ビュッフェがもう少し充実していると最高だと思います。あまり食べたいものがありませんでした。温泉も景色が良くいい旅になりました！,2023/8/21
21,写真で見ていた露天風呂に期待をして宿泊しました富士山がとてもきれいに見えて最高でした!特に朝の景色は良かったです料理もバイキングで色々なものが食べれたので大満足です。,2023/8/18
22,箱根は年に2回程訪れ、1、2泊します。今までの箱根旅行、全て違う宿泊先で、今回初のリピート。お目当ては夕飯のビュッフェ。腰が悪いので、和室か和洋室を希望でしたが、予約したのが遅く洋室でしたが、寝心地は良かったです。館内にある仮装したウサギの置物が何羽いるか探すというイベントもやっていて、こども達は楽しんで探していました。ロープウェイ乗り場もとても近く、便利でした。またお世話になります。,2023/8/17
23,プレミアムブッフェがよかった。■いいところ揚げあての天ぷらや小分けのお鍋がよかったです。■改善してほしい点ローストビーフはもう少し大きめにカットしてもらいたかった。あと中華系メニューが少ないように感じた。(エビチリや小籠包などあるといいです),2023/8/15
24,予約していたお部屋が前日のお客様の喫煙により、タバコの匂いがかなり残っていたそうで、ホテルの方が別のお部屋を事前に用意して下さいました。夏休みで予約でいっぱいの中、ご配慮して頂きありがとうございました。アジアンテイストのとても素敵な部屋で、彼も私もゆったりとした時間を過ごせて幸せでした。素敵な思い出になりました。,2023/8/13
25,やっぱり、富士山が見えるとテンション上がります。ただチェックインした日は雨だったので、どの方向に何があるやら分からない状態でしたが、翌朝は雲に隠れながらも見る事ができました。綺麗なレストランでのバイキングもとても美味しくいただきました。,2023/8/12
26,清潔感があり、気持ちの良い応対、静かなお部屋と満足出来ました！バイキングも良かったです！お風呂はたまたま貸切状態でのんびり出来ましたし、ドライヤーも最先端のもの。もう少し自動販売機が多いと良いかも。,2023/8/11
27,天気が悪く富士山は見えませんでしたが、露天風呂良かったです。よく家族旅行では、夕食ビュッフェと露天風呂で色々な所を泊まってきましたが、夕食とお風呂のバランス良く感じました。,2023/8/8
28,友人２名とゴルフ前の前泊で利用しました。タイトルの通り、あまりに夕食ビュッフェの内容がひどく、絶句しました。プレミアムビュッフェとありましたが、何がプレミアムなのか理解できないどころかビジホのサービス朝食レベルでした。極めつけは味噌汁ですが、朝夕ともにチューブから自動で出てくるインスタント味噌汁でした。この価格帯でこのビュッフェ内容はあまりにひどい。食事を重視される方は避けたほうが無難なホテルです。なお、温泉施設は普通ですが泉質は期待外れでした。富士山の眺望だけは素晴らしかったことを付け加えます。,2023/8/7
29,夕食ブッフェは、最高でした。オープンキッチンで、作ってるところが見えて。種類もたくさんあって、デザートもたくさんありました。時間限定で、スイーツもあって、得した気分でした。,2023/7/29
30,孫と一緒の家族旅行でゆっくりと過ごさせていただきました。富士山を孫に見せたくての旅行でしたが、台風が来ていて見せてやることが出来ず残念でしたが、居心地の良いホテルだたのでよかったです。また、リベンジしたいと思っています。,2022/10/2
31,今はもう30歳代になった息子二人が小学生の頃に家族で訪れて以来、久しぶりの宿泊です。前回（ずっと昔！ですね）宿泊した時には開け放たれたテラスで富士山を見ながら食べた朝食が素晴らしかった記憶があり今回も楽しみでした。流石に改築されていてその楽しみは実現しませんでしたが、その期待を上回る滞在でした。まず風呂にゆったり浸かりながら見る富士山が想像以上に素晴らしい。雲の動きが早くタイミングを逃すとあっと言う間に隠れてしまいますが、大浴場からも部屋にある露天風呂からも堪能できました。アジアンテイストのツインルームの部屋付き露天風呂は開放感に溢れ、大浴場より気に入り一泊2日で３、４回入ったでしょうか。「明るいうちは富士山を見ながら、夜は月を見ながらうっとり」という語をキャッチフレーズに使えませんか？それはさておき、ビュッフェスタイルの食事は種類も味のqualityも想像以上。素晴らしい！お子さん連れのご家族やお孫さんに甘えられてにっこりしている祖父母（といっても私とほぼ同じ年齢？）らしき人達も皆ニコニコしていたのは納得です。　もし敢えて難点を挙げるなら、部屋のユニットバス/トイレでしょうか。部屋にあれほど素晴らしい、大きな専用露天風呂があるのだからバスタブの代わりにシャワーだけにして、トイレのスペースを広げたら満点かもしれません。,2022/9/28
32,思ったよりも少し古い感じがするホテルでしたが、部屋は綺麗でした。夕食の料理も美味しかったです。中庭がとても綺麗でした。,2022/9/25
33,お部屋も綺麗に清掃されていて、大浴場も広い。接客も丁寧で何よりバイキングの種類が豊富。バイキングで小さなお鍋が食べられたのは初めてです。味も美味しかったです。,2022/9/25
34,台風が近づく手前の日に家族5人とじぃじばぁばで宿泊。写真にあるような富士山は残念ながら見られませんでした。ですが、家族はお風呂に食事にと大はしゃぎでした。お風呂はちょっと熱めのお湯、露天はそれより少しぬるめでゆっくりと長湯出来ました。うっすら香る硫黄の香りも良かったです。食事も、自分でよそったご飯にお寿司のネタを自分の好みでのせてもらえる海鮮丼があり、子どもはマグロサーモン丼にしてウキウキでした。口コミにあったローストビーフも、「薄くて食べやすいね」と何回も貰いました。どれも少量サイズなので、じぃじばぁばも色々な種類がちょっとずつ楽しめたようです。お布団はセルフですが、誰かが入ってくる事がない分、気兼ねなく散らかし放題でしたし(笑)、昔ながらのシーツ敷きを子どもと一緒に楽しく行いました。短い滞在ではありましたが、楽しく過ごさせていただき、子どもは「また来ます」とメモを残していました(笑)富士山を見に、また行きたいと思います。,2022/9/24
35,別の旅行予定が台風の影響でキャンセルになってしまい、急遽、近場で旅行に変更をした際に、今回のホテルに申込。直前の予約で、部屋を選ぶ事が出来ないにしても、宿泊したあの部屋の景観は、無いわーーーー。客室に窓が2ヶ所あるが、一方は従業員の駐車場みたいな場所、もう一方は、貯水槽のような建物。折角、非日常の時間を過ごそうと来ているのに、これじゃ、本当に自宅の周りとさほど変わらない景観に、ガッカリというか腹が立った。隣の部屋のTV音は、夜中まで聞こえるし。夕食は期待してプレミアムビッフェプランを堪能と思ってたけど、ボリュームも種類もこじんまりした内容でした。大浴場では、天井を見上げるとカビや埃が付いたまま。立地的には、観光するのに動けやすい場所であり、従業員の接遇には文句はないけれど、空室埋めるためのお得なプラン設定だとしても、せめて客室の様子や景観ぐらいは正直に伝えてほしい。,2022/9/23
36,宿泊先は特にこだわりがなかったので口コミなどを参考に子連れでも行きやすそうなホテルを探しました。初めての箱根で、ホテルまでの道が途中不安でしたが無事に到着。出迎えはなかったので玄関先で荷物と家族をおろし、車を停めに戻りました。まぁ、こんなもんかと受付を済ませました。お風呂は子供も入れる程良い温度と硫黄のにおいが良かったです。夕食はビュッフェで、ローストビーフが美味しかったです。子供たちはお寿司を何度もお代わりに行っていました。お酒の種類が少なく、残念でした。地酒の飲み比べや酎ハイなどもっと種類を増やして欲しいと思いました。生ビールは美味しかったです。夕食中、外国人の団体がめちゃくちゃうるさくて、スタッフさん、注意しないのかな？と思いながら食べていました。お風呂には「黙浴」など掲示してありましたが、外国人の方向けに、お風呂の入り方、食事のマナーなど、事前に説明などすればいいのに、と思いました。若いスタッフさんが多く心配でしたが、子供に話しかけてくれたり、食事中に気配りしてくれたり、嬉しかったです。その反面、手を後ろで組んで説明していたり、配膳しながら私語ばかりしていたり、お客様の前で腕時計をチラチラ見ていたり、目立つなと思うところもありました。車も荷物もお部屋の布団もご飯もセルフサービスなのはビックリでしたが、介入されずに自由にできて良いお客様もいると思いますし、リーズナブルに泊まれて良かったです。,2022/9/22
37,彼の還暦祝いにこちらを利用させて頂きました。前日に還暦のチャンチャンコの問い合わせをしたのに、快くご用意頂きました。しかも手書きのお祝いメッセージ付の入浴剤まで頂きました。客室も食事もお風呂も良かったのに、喫煙所の灰皿の上に空き缶や紙ゴミやプラスチックゴミが散乱。受付に、片付けた方が良いですよと伝えるも、翌日の帰りもその状態でした。雨で景色が望めなかったのが残念だったのに、灰皿の件で一気に残念な思いです。,2022/9/21
38,スタッフの接客もとても良く、心地よく過ごせました。お食事は種類豊富で大満足、飲み放題があると嬉しかったです。お風呂も広く清潔感ありました。お天気ぐ悪く富士山が見えなかったこと柄残念でしたが…また、泊まりに行きたいと思うホテルです。ただ…とても広いのでそれなりの年代の方には配慮が必要かなーと感じました。,2022/9/20
39,朝食にでた梅干しが本当に美味しく感じました楽しみにしていた、フレンチトーストはおもったより固かったのが残念でした夜は鍋料理が豊富で新鮮でした。他の方が書いていましたが、ローストビーフは薄切りもあったらよかったです。タオルを沢山用意してくださったので何度も温泉を楽しむには、有り難かったですぜひ、また、行きたいです！,2022/9/9
40,グリーンプラザさん浜名湖も行きましたがやはり箱根仙石原がいちばん特に食事は箱根でも相変わらずトップクラスの満足感ですねたくさんのリピーターさんがいるわけです年に数回行ってますねディナーバッフェ、モーニングバッフェ、会場も料理も素敵です今回は夏休みあとか空いてましたラッキーでーす。,2022/9/7
41,箱根ロープウェイ姥子駅がすぐ隣の高台に立地していて、姥子バス停からも近く送迎車もある便利なホテル。建物は古いが豪華にリニューアルされていて、結婚式もできる。二連泊したが、一泊目は奮発して富士山の見える和洋室、二泊目は普通のツインを利用した。富士山は気まぐれでお天気次第、この時期雲が多いが何とか見える時間があった。部屋を奮発しなくてもお天気さえよければよく手入れされているイングリッシュガーデンから季節の花越しにバッチリ見えることがわかった。普通のツイン部屋でも上の階なら大涌谷の噴煙と芦ノ湖の一部が眺められる。はじめ通された部屋が禁煙室のはずなのにタバコ臭く、部屋を替えてもらったらとてもいい部屋で大満足。大きなホテルだからできるサービスだろう。露天風呂からの富士山が売りだが、やはりお天気次第。二泊目の朝、短時間だけ見えた。女性の露天風呂からは真正面に見えるそうだ。ただ、温泉が私たちには熱すぎて、長湯できないのが難点。内風呂にはほとんど入らなかった。夕食朝食のバイキング、広い会場にたくさんの人でやはり落ち着かない。メニューは二日ともほぼ同じ。二連泊したのでいろいろ食べられたが、一泊では食べきれない。スタッフのサービスが行き届いていて感心した。バイキングでは珍しいすき焼きやウナギの柳川など火を使うメニューもあった。味噌汁など出来合いのものをセルフでいただく型もあり、初めてなので違和感を感じた。ソフトドリンクがいろいろ飲み放題だし、二泊目にはビールもサービスで付いて有難かった。デザート類も豊富で子供たちが喜んでいた。,2022/9/6
42,お部屋についてまずはにおいがかび臭いのと部屋の襖が破られてたり所々壊れてるところがあったりで…お風呂は広くて気持ちはよかったですが脱衣所には髪の毛があちらこちらにどのタイミングで掃除してるんだろうと疑問に思う感じがありました…さらに朝食のお皿は汚れてるものが多くてお皿選びをしなくてはいけなくてなかなか楽しめずでした…全てにおいて残念…,2022/9/6
43,久々の旅行　2泊目の宿でした設備などはやや古く感じましたが清潔に保たれていましたフロントスタッフ、レストランスタッフの親切な接客、夕、朝のバイキングは多種、多様なメニューで美味しく頂きましたレストランのフロアスタッフの方々も数多く接客サービスに満足しました一泊目のホテルで悲惨な目に合ったので二泊目のこの宿で救われた気分です,2022/9/6
44,もう何度かリピートしてます。建物の古さはありますが、清潔ですし、美味しくて、お湯が良い！ただ、ローストビーフは薄切りも欲しい。夕食にも漬物が欲しい。女子大浴場のロッカーの上の埃がとても残念。この三点だけ、不満。それ以外は、大変満足です。WIFIも、問題なく早い。固まらなくて、ストレスがありませんでした。また、うかがいます！ありがとうございました！,2022/8/30
45,お盆休みがずれたので旅行の予定がなかったのですが、宿泊日前日に旅行しよう！と言うことになり、こちらの口コミが良く決めました！ホテルに着く前に色々な所が観光できたあとにチェックインするのが丁度良かったです。大人2人、低学年1人、未就学2人の5人で伺い、お布団３枚かと思いお昼寝マット持参してぎゅーぎゅーで寝るの覚悟だったのですがお布団が５枚も！！これにはびっくりでとても嬉しかったです。みんなでのびのびと寝ることができました★お部屋も綺麗でお風呂も広々していて気持ちよかったです。夜遅く自販機のお釣りがなく領外しにフロント行きましたが感じ良くして下さいました。ご飯も朝、夜両方とも美味しいもの沢山あって家族みんなお腹いっぱい食べる事ができました。一泊二日の初めての箱根旅行とても思い出に残る旅行になりました(^o^)最後娘の大事な毛布などを忘れてしまいましたがすぐ送って下さり助かりました！素敵な思い出を有難う御座いました★また機会ありましたら宜しくお願い致します。,2022/8/24
46,娘2人と私（母）3人で宿泊させていただきました二間続きの和室をお願いしました新しくはないものの、清掃が行き届いて綺麗でした娘達は和室が落ち着くと入室して直ぐに寝転んでいました晩御飯の品数も豊富で、夏休みの宿としては満足です一つだけ、お布団ですが、ややほこりっぽい感じがしました,2022/8/24
47,宿泊当日は、霧がすごく、湿度がものすごく高かったので、お部屋の湿度も高めでした。コロナのご時世もあり、お布団は自分たちでひくようになっていましたが、お布団とお布団の収納扉のところに、死骸とふんのようなものがあった為、家族がアレルギーもちなので、フロントに相談しました。なので、部屋の印象は、『あまり使われていないお部屋なのかな』とゆうところでした。フロントに相談すると、急遽、となりの部屋を用意してくれました。その時のスタッフとフロントの対応は、◎です。一変して、食事は、バイキングでありがちな揚げ物多めではなく、揚げ物、蒸し物、煮物、と様々な調理がされており、お肉、魚、野菜、フルーツ、スイーツと多種多様なメニューで、味付けも飽きずにたくさん食べられました。老若男女にうけるメニューでした！お風呂は、富士山が見える場所だったようですが、当日荒天だったため、拝むことができず……これは宿には責任ないですね！私たちの運が悪かったです。接客・対応に関しては、チェックアウト時、現金払いだったのを、私が勘違いしており、急遽現金足りず、精算を一時待っていただいたにもかかわらず、優しい対応をしてくださり、ありがたかったです。また機会がありましたら、宿泊させていただきたいと思えるホテルでした。ありがとうございました。,2022/8/20
48,違う宿で泊まり台風の影響で足止めに…悩んで当初泊まりたかったホテルにもう1泊することに…早めにチェックインを済ませる方が続々いらっしゃっていたので少し早めにお部屋に向かうことが出来ました！お部屋から見晴らしはそこまで良くなかったですが客室付き露天風呂でゆったり過ごせました。お料理も美味しかったですし、彼が食わず嫌いが多い偏食なのでバイキングに向いていました。笑 また伺いたいなと思いました。,2022/8/17
49,2歳4歳の子どもを連れた家族旅行で利用しました。初日、2日目と天気に恵まれませんでしたが、最終3日目にようやく晴れ、朝方露天風呂からの富士山を眺めることができめした。子どもも大喜びでした。食事も朝晩ともにビュッフェ形式だったため、子どもの食べれるものを取ることができ、大変助かりました。ビュッフェも種類、味ともに大満足で、特に自分で好きな鍋を選んで食べれるというのは満足度が高かったです。月替わりのメニューもあるということで、月末をまたいで何泊もしたいなどと思ってしまいました。和洋室は割と新し目のお部屋だったのか、清潔感や温度調整などに問題はなく、非常に快適に過ごせました。ベッドはツインでしたが、マットレスを動かしつなげることが出来たので、子連れの添い寝にもオススメです。今度はもっと早めに予約し、富士山が見える部屋や露天風呂付きの部屋などにも宿泊してみたいです。ネット上でスマホから大浴場や朝食会場の混雑具合がわかるのは斬新で、便利に感じました。ただ男湯の「現在の混雑状況」が表示されていなかったので、そこは見れるようにしてほしいです。フロントやレストラン、売店など、スタッフの方々も明るく親切で、非常に居心地が良かったです。清掃のスタッフの方も毎朝の廊下で挨拶してくださり、気持ちよく観光に出ることができました。繁忙期かつ台風直撃で、色々大変なタイミングだったと思いますが、質の高いホスピタリティで接していただいたおかげで、良い旅行になりました。１点心残りがあるとすれば、タイミングが合わずカフェを利用出来なかったことです…。メニューに表示されていたケーキはとても美味しそうでした。ルームサービスのように部屋から注文して持ってきていただけるサービスがあったら絶対に利用していたと思いますが、このご時世だと難しそうですね…(もしもうあったらごめんなさい！)カフェの件も含め、また箱根に行くときは是非また利用したいと強く思う、大満足のホテルでした。,2022/8/16
50,夫婦で急遽箱根に、食事と部屋付きの露天風呂を楽しみに行ってきました。ちょっと古い感じですが、大変立派な建物、流石箱根だなって感じ。教会らしきものもあり、結婚式もできるのかな？部屋はいい感じで、露天風呂が広い！温泉では無いのですが、最高でした。残念なのは、急遽予約取ったせいもあるかもしれませんが、ちょいカビ臭い感じだったのと、見えにくい箇所に溜まったホコリ（汗）襖？を閉めたらいっぱい虫さんが出てきました・・・。あと、コロナで大変だったのもあると思いますが、食事の質と種類が少ないのも気になりました。期待してたデザートも、ちょっと残念な感じ・・・。個人的にはカップアイスでは無く、ソフトクリームが良かったな〜。朝食のコーンスープも、インスタントで残念・・・。大好きな箱根名だけに、頑張ってほしいです。,2022/8/14
51,露天風呂つきのベッドルームは夫婦旅には良かったです。食事はバイキングで、夏休みということもあり、大衆食堂みたいで落ち着かない感じになったのが残念です。,2022/8/10
52,部屋もお風呂も普通でした。もう一度、行きたいと思わせるものがなかったです。食事は、バイキングでしたが全ての肉が固すぎます。食事はおいしくなかったのが、残念でした。,2022/8/10
53,「部屋のふとんは自分で敷いて下さい」と聞いてまずびっくり!　自分で敷くのは学生時代の合宿以来で何十年ぶりかとがっかりしました。また、部屋の空調が個別にできないため、夜は暑くて窓を全開、網戸にして就寝しました。宿泊料の清算も現金のみで今時カ−ドが利用できないのも珍しいですね。期待していたホテルだけにがっかりしました。,2022/8/8
54,和洋室のお部屋に泊まりました。お部屋はリフォームされているのかキレイで清潔感がありました。朝夕のビュッフェが種類豊富で美味しいものばかりで我が家の男性陣にも好評でした。次々に補充してくれるし、こまめに掃除してくれてるのか常に清潔で大満足でした。機会があったらまた行きたいです。,2022/8/7
55,ブュッフェのローストビーフがおいしかったです！！お部屋は壁紙が古いかんじでしたが和室で広々だったので子供達は走り回って楽しんでいました。お風呂からは富士山が綺麗に見えました！,2022/8/7
56,朝夕の食事は多種の料理を少しずつ頂き楽しめました。夏休みの時期でしたが、平日利用させて頂いたので、空いておりゆっくり過ごすことが出来ました。お部屋ですが、空調機の温調が無く風量を最大にしても少し暑かったです。,2022/8/3
57,初めて和室を利用しましたが、洋室に比べて音が響きやすい。ただ部屋で歩いたり話していただけで下の部屋からうるさいとクレームが来た。お金払って旅行しに来たのになぜ静かにしなきゃいけないのか？だったらクレームした方が部屋を移動するなりホテル側も配慮してほしかったです。防音工事とかすればいいのに。お風呂は入れ替え制ではなく残念でした。食事はたくさん種類もあり楽しめました。和室はもう利用したくありません。,2022/7/31
