Unnamed: 0,口コミ,投稿日
10,ゴールデンウィーク後の平日だったので騒がしくなく温泉も1人でゆっくり入れてラッキーでした。食事もレストランの規模の割に色々あって良かったです。お酒が無料で飲めたので昼間からいただいてしまいました！旅行ならではの楽しみですね。ありがとう御座いました。,2023/5/29
12,立地が良かったです。観光、美術館めぐりに便利でした。ホテルの外観はペンションみたいな感じ。スタッフの皆さんは丁寧な対応でした。建物は年季が入っているのですがリフォームされています。お食事も美味しく頂きました。オニオンスープ、パンがお気に入りです。子供さんや高齢者に優しくお料理がひと口サイズで提供されていました。温泉も湯温がちょうど良くゆっくりと入ることができ、朝風呂まで利用。合計3回も入りました。ちょっと残念だったのが…お部屋の洗面台の蛇口が閉めにくく、かなり力を入れないと止められない。テレビが電波の問題なのか　突然消えてしまったりとありました。全体的にはコスパも良くゆっくり休めたので良かったです。,2023/5/28
13,場所とホテルの古さのハンデをオールインクルーシブと食事の食べ放題で頑張っている。ドリンク飲み放題（アルコールも）お菓子も食べ放題，食事も食べ放題で夜はメインの料理もプラスでお腹いっぱいでした。シーフードの提供の仕方も工夫されていて、色々な種類を食べれました。パンもとても美味しかったです。,2023/5/6
14,山道にある宿なのでバスで行くと歩道が片側しかなくホテルに行くのには子連れは危ないです。ペンションのようなホテルですが殺伐とした感じでフロントは口コミ通り九時までしか空いてないまたフロント横に飲み物やお菓子があるとのことで楽しみにしていましたが、一口つまみでがっかり。飲み物もコーヒーとオレンジジュースとミネラルウォーターのみであとはアルコール(笑)食事も補充はまめにしてくれて気持ちよかってのですが全体的に呑む人が安くてありがたいといったかんじに思えました。年配者や子連れには向かない感じです。またこれは宿側には関係ないのか隣の子連れの客がレストランでも騒がしく、部屋でも会話がまる聞こえで話し声笑い声が11時までうるさくまたドタドタと走り回る音がして落ち着かなかったです。九時にフロントが閉まるのでどうしようもできずこれなら料金的にも他のホテルでも良かったなと思いました。,2023/4/20
15,日帰りの予定で箱根に来ていましたが急遽1泊することになり直前でこちらのホテルを予約して正解でした。食事、温泉よかったです！さらにチェックインからアルコールが自由に飲めるのでつい飲み過ぎてしまいました。次は夕食付きのプランで予約したいと思います。ありがとうございました！,2023/4/6
16,家族旅行で利用しました。事前に口コミを見たのであまり綺麗な場所を想定はしていなく。部屋も「景観を気にしない人向け」の部屋がありそちらを予約しました。景観や綺麗さを求めてた訳ではないのですが、部屋が修学旅行の学生が泊まるような雰囲気で狭かったです。又、アルコールやお菓子等食べ放題飲み放題でしたが写真のイメージとは異なりガッカリしました。まず21時でアルコールは終了となるのをチェックイン時に知り、子どもが寝てたからゆっくり飲みたかったのですがそれも出来ず。お菓子も無くなっていて種類が1〜2種のみで子どももガッカリしていました。食事は基本的に冷めていて美味しいとは思えないです。又、夜のメインディッシュを何が出てくるか出されるまで分からないので苦手な料理(食べ物)が出てこないかスリルが味わえると思います。温泉は洗い場が汚い(経年劣化)以外は良いと思います。,2023/4/2
17,今回、犬を一緒に連れて行ける宿を探してコスト面を考え決めた宿でした。箱根で犬も泊まれる宿は宿泊費が高い所が多く、こちらのホテルはリーズナブルに泊まれるので正直あまり期待はせずに行きました。　結果、犬同伴の部屋はとてもキレイで広く良かったです。温泉は広くはないですが良いと思います。お食事も朝夕、メイン以外はバイキングという形も良かったと思います。大きなホテルのような品数豊富とまではいかないけれど、普通に色々ありました。欲を言うとお寿司が２、３品でもあればなおさら良いなと思います。総合的には満足です。,2023/3/29
18,家族でお世話になりました。こちらはリーズナブルだとおもいます。お菓子がとてもユニークで美味しい、飲み物も宿代に含まれていてありがたい。バイキングも美味しかった。ただ外国人がフロントまえで大声で過ごしていて(飲んでたのでしょうね)こわかったです。温泉の質は素晴らしく化粧水のようでした。近くにユネッサン、星の王子さまもあり利用できて本当によかったです。また機会があれば行きます。食事はお味噌汁がインスタントの機械でしょっぱかったのが残念。お湯をたせばよいからいいのかもしれないけれど行ったりきたりがちょっとたいへんでした。スクランブルエッグが個人的に美味しかった。ありがとうございました,2023/3/23
19,芦ノ湖に近いですが、それほど価格も高くなく、リーズナブルです。また、料理は美味しく、特に夕食はお酒も飲み放題で楽しめました。フロント近くにもフリードリンクとして、お酒があり、とにかく飲みたい人にもオススメです（ちゃんとおつまみもあります）。お風呂は思ったより小さかったですが、露天風呂もあり、泉質もよいです。また、機会があれば訪問したいです。,2023/3/8
21,山側のツインの部屋に泊まったのですが、古く、ところどころ汚れや傷があり、修繕や管理ができてないのかなと思いました。ホテルというよりペンションです。,2023/2/7
22,建物自体は古いため、補修個所も見られますが、そのようなことは気にせずリーズナブルに泊まりたい人には最高だと思います。まずお食事が美味しい。何でもありのバイキングではありませんが、それでも食べられないものが多数ありました。アルコールが好きな人にはウイスキーやワイン、ハイボール、焼酎などが自由に飲めます。フロント横にはドリンクバーと個包のお菓子がありお部屋に持ち込みも大丈夫でした。温泉はかけ流しではありませんが硫黄泉でお肌がつるつるになり気持ち良かったです。室内はバス、トイレ、洗面が一緒のユニットでした。箱根は旅館が高いので躊躇しますがここは穴場ホテルとして今後も利用したいです。,2023/2/6
23,ドリンクバーはそんなに期待をしていなかったのですが、たくさん種類があり、おやつも常に補充されているのが良かったです！ご飯は種類が多いのに一つ一つ手の込んだメニューで、おいしくて最高でした。食事場でもお茶が用意されていたらもっと良かったなとは思います。温泉も綺麗で良かったです！アーモンドのボディーウォッシュが気に入りました♪,2023/2/4
24,箱根の中ではリーズナブルだったのでそこまで期待はしておりませんでしたが、価格以上の満足度でした。館内は古いところもありますが、キレイにされており、チェックインからドリンクやアルコールが飲み放題でした。食事も食べ放題でどれも美味しく、スタッフの対応も事務的ではなく親しみやすく高級ホテルのような接客は苦手なので個人的にはよかったです。温泉も硫黄の香りもして温泉を堪能できます。部屋も快適でなにより布団がよくあるシーツが取れてしまうタイプではなくしっかりとシーツに覆われた布団だったので清潔感もありぐっすり眠れました。聞いたところ高級ホテルなどでも使用しているデュべカバーというシーツを使用しているとのことでした。価格は上をみればキリがありませんが、この価格帯でこのサービスはかなりいいと思います。また利用させていただきます。,2023/1/22
25,フロントの方はとても丁寧な方で印象も良かったです。部屋は良くも悪くも無い感じですが、布団が少し汚く感じました。広さはちょうどよかったです。残念だったのは食事でした。女性スタッフと男性スタッフがじゃれ合っているように見えて気分が悪かったです。ホテルのディナーでは見たくありませんでした。食事もほとんど冷えていてあまり食べずに部屋に戻りました。朝ごはんは食べずに帰りました。お風呂は狭いですが、肌はツルツルになりました。綺麗ではありません。,2023/1/18
26,まず、箱根でこの金額は破格です。素晴らしいと思います。それでいてバイキングのディナーとモーニングが付き、チェックインから21時までお酒飲み放題なんて至れり尽くせりもいいところです。ただ、他の方も書いているように宿が全体的に寒い。部屋に入ったら暖房は付いていて心配りを感じましたがそれでも寒かったです。そしてロビーから何から何まで、照明が暗い…雰囲気があるとも言えますが、山奥で寒くて暗いというのは怖さを感じてしまう程でした。温泉も最高だし様々なサービスは素晴らしいのですが、もう少し温かく照明が明るかったらな、と思いました。,2023/1/14
27,タイトル通り何もない料理が美味しいという訳でもない景色が格段によいというわけでもないホントに何もないというのが率直な気持ち,2023/1/14
28,チエっクイン後ドリンクとお菓子は無料でした。夕食と朝食もバイキングで美味しかった。お風呂は露天風呂が浅くなっていて、あさ７時ころ入ったらぬるくなっていて入れなかった。夜中に雪が降って少し積もってたがいい体験でした。また利用したいと思います。,2023/1/13
30,とにかくお料理がおいしい。バイキングの1皿1皿も凝っていて、ほうれん草とイカのソテーやアサリの酒蒸し等は最高だった。お肉系もしっかりあり、メイン料理もあつて、大満足だった。ペンションのようなアットホームなホテルかと思ったが、ちゃんと一定の距離をとってくれる素敵なホテルだった。,2022/9/21
31,家族で利用させていただきました。初めてオールインクルーシブというシステムのホテルを利用しましたが、とても良かったです。好きな物を好きなだけ…というのはなかなか味わえない贅沢な一時となりました。また夕食のバイキングでは1つ1つ丁寧に作られているなぁと感じ、一緒に行った娘もたくさん食べていて驚きました。他の方の口コミでもあるように、確かに建物自体の老朽化は否めませんが、中はとても清潔でしたし、気持ちよく過ごせました。また箱根に来た際には利用したいと思っています。,2022/9/17
32,はじめての宿泊でした。有料ドリンク以外はウエルカムドリンクと夕食の時にあり良いです。有料ドリンクは生ビールがなくて残念でした。瓶ビールを頂きました。お世話になりありがとうございました。,2022/8/24
33,夏休みの一泊旅行でここに泊まりました。夕食はバイキングでしたが一品メイン料理が運ばれてくるスタイルおいしくいただきました。ビール以外のアルコールが無料で飲めるので良かったです。朝食もバイキングスタイルで満足くしました。部屋はツインの洋室でしたが普通のビジネスホテルより広かったのでよかったです。ありがとうございました。,2022/8/23
34,1年ぶりの再訪です。エレベーターはあるもの防音には欠ける為、感覚としてはペンションに泊まるつもりでいた方が良いと思います。温泉の泉質は良く、満足感高いです。ただ毎回楽しみにしていたシャンプーバーがなくなりました(T . T)夜９時迄と朝10時迄はフリードリンクにスナック菓子があります。アイスがチューペットだったのは子連れが多かったから？私達はアルコールは飲めないので個人的には（今回は直前割だったけど）コスパ的には微妙ですが‥‥箱根はどこもお高いですから妥当かもしれません。夕食は普通に美味しく頂きました。温泉が良いのでまたお世話になります！,2022/8/22
35,とても古かったです。正直、部屋の隅々ボロがあります。スリッパも古かった。ベッドもギシギシ音が…。上の部屋の子供が走ってるであろう音も。通された部屋のソファには髪の毛が２本落ちてました。髪の毛はアウトですね。清潔さを求める方にはちょっとキツイかも。良い所もあります。お料理が美味しいです。品数は少ないのですが、味は非常に美味しかったです。お風呂もとても気持ち良かったです。ただ、少し小さいのと、露天風呂が浅すぎて浸かりづらいです。浴場に飲み水がなかったので置いてあるともっとよかったです。アメニティもほぼ無いです。娯楽施設がないので部屋でゆっくりのんびりしたい方にはいいと思います。お子様は退屈してしまうかも。,2022/8/21
36,HPのオールインクルーシブに期待していったが、ホテルの売りとして推す程ではない。アメニティは最小限で、化粧落としなどの女性用コスメはないし、男性でも足りないレベル。酒はサワーとワインとウィスキーが1種類、ソフトドリンクはお茶と野菜ジュースとアプルジュース。おつまみ、お菓子は小袋タイプのお菓子が数種類だけ。HPのシャンプーバーも見当たらず。このあたりは、都会のサービスのいいビジネスホテルの方が充実している。泊まった部屋は和室で、コロナ対策で布団がすでに敷いてあったので、小さな子がすぐに遊べて怪我もしなそうなのでよかった。ただ、壁が薄いので騒ぎ過ぎは注意。風呂は、硫黄臭のする箱根ならではの温泉で、湯の花も出てる本物の温泉でいい湯。建物自体は昭和の温泉旅館的構造で、内装だけリフォームした感じなので、客室のドアや窓やユニットバス、浴場、1階の共用トイレや照明など所々古さと劣化を感じる。子連れだったので、夏企画のわたがしを子供自ら作れたのでとても喜んでいた。良悪でっぱりへっこみでトータル的には普通。箱根のホテルの中では破格で、充実はしてないにしてもフリードリンクやバイキングなど自由度があるので、ちいさな子供連れだと無理なく過ごせて、ユネッサンと芦ノ湖観光の拠点にはちょうど良い。,2022/8/19
38,部屋は、ベット三つのタイプで清潔に保たれていました。夕飯は、食べきれないほど沢山のメニューがありすべて食べ放題で、洋食メインです。パスタ、肉料理が豊富です。本日のメイン料理が別に付き、トマトソースの煮込み料理でした。どのお料理もあたたかい状態で出されていて、美味しかったです。朝食のとろろが美味しくて、ご飯を、おかわりしてしまいました。一部有料ですが、ワイン赤白、レモンサワーなど飲み放題のお酒もあります。,2022/7/27
39,チェックインから直ぐに飲めてお湯は良いし、時間気にしなくて入れるのは最高。料理も味付けぐー。そしてあの値段。コスパ最高でした。飲んだくれにはぐー笑,2022/7/24
40,バイキングの宿ということでこちらの宿にお世話になりました。夕食朝食共にとても美味しくて、チェックインからオールインクルーシヴなので色々なお酒を楽しむことができました。温泉は硫黄の香りがする良いお湯でとても温まりました。脱衣場に貴重品ロッカーが無かったのであれば安心して入浴出来ると思いました。あと、お風呂に行くのにタオルや着替えを入れるお風呂バッグがないのが不便でした。これから行かれる方は準備していかれたほうが良いです。フロントやレストランの方々はとても感じが良くまたこちらのホテルに来たいと思いました。ありがとうございました！,2022/7/18
41,部屋のトイレと洗面台が一緒だったのは、残念でしたが、温泉はサイコーで夕飯も朝食も、美味しく満腹。また、オールインクルーシブのハイボールも良かった。何よりも、結婚記念日の配慮が最高でした。また、宿泊させて頂きます。,2022/7/16
42,建物の外観は古そうに見えたが、フロントは清潔感あり。雰囲気はビジネスホテルに近い、部屋にドライヤーあり。食事は食事処にて。夕食はメイン料理が運ばれてきてそれ以外はバイキング。時間が短く感じるが予想よりも種類豊富な料理、朝夕問わずどれもおいしい。お風呂の泉質よく、内風呂、露天風呂は浅めだが温度が高めなので丁度良い。アルコール、ドリンクがサービスで、プラスチックカップで部屋まで持っていけるのが嬉しい。サワーやカクテルを自分で作れるので濃いめも飲める(ただしビール・地酒類は有料)お菓子、おつまみのサービスもあるが、食事でお腹いっぱいになるのであまり食べられず。夜はアイスキャンディもあるのが嬉しい。,2022/7/4
43,接客に問題なく、良い方だった。スタッフが足りないようで、常に忙しそうで可哀想になる。チェックインを早めてもらおうと何度も電話したが、出ることはなかった。部屋で大きめのクモが出た。エアコンを付けたが、内部は埃だらけで不安になった。大浴場は小さめ。期待しない方がいい。シャンプー選べると書いてあったが、銭湯並みのモノが2種類。ご飯は、中の下。安い宿を選んだばかりに、久々にハズレを引いてしまったかんは否めない。,2022/6/27
44,今回は、ワンちゃん連れの家族旅行でした。温泉で、安くて、ワンちゃん連れOKの宿が少ない中、とてもリーズナブルで、しかもお酒も夜9時まで飲み放題！ハイボールと、サワーは生ビールのサーバーみたいな所から入れるスタイルで、ハイボールはとても美味しかったです！お食事も、全て美味しく、スタッフの方もとても親切な対応をして頂きました。夜は遅くまでUNOや、トランプで遊び大きな声で騒いでしまい、チェックアウトの時にご迷惑をおかけして申し訳なかったとお伝えしたところ、こちらの部屋は別館なので大丈夫ですよ！と言って頂き、安心しました。お風呂も翌日9時まで入れて、朝からゆっくり入る事ができました。梅雨時なので、お部屋や宿全体が湿っぽい感じでしたが、お値段からしたらとても満足です。本当にお世話になりました。,2022/6/23
45,到着してすぐお風呂に直行。それからずっとロビーのお酒を飲み続け、おつまみのお菓子もいただき、夕飯に突入。すでにアルコールでお腹ぎいっぱいになっていました。しかし、夕飯の一品一品が美味しい。和洋色々あり、迷う。ダイニングなので他のお客さんと一緒ですが、2部制になっているので、そこまで混んでいません。コロナ対策もされているし、できる限りのサービスもしてくれているありがたいホテルです。とにかくお得に飲んで食べて温泉を楽しみたい人にオススメです、,2022/6/14
46,芦ノ湖に行く拠点として利用しました芦ノ湖に車で移動は便利です　徒歩も頑張って行けなくもないです露天風呂は浅かったように思えたが　お湯は好みでしたホームページの画像では　おつまみにナッツや一口ケーキがありましたが実際には一口スナック菓子がかりで残念でしたお酒は画像と　ほぼ同じでした　夫婦で堪能させて頂きました宿泊した部屋からは　かすかに芦ノ湖が見えましたホテルはロードサイドなので大型車が通ると音と振動はありました,2022/5/22
47,初めての利用です。フロント前に必要なものが取れるアメニティーコーナーがあり、その中に耳栓があったので珍しいなぁ…と思ったのですが部屋に入り理由が判明。道路側の部屋だったので車の音(特にバイク)がかなりうるさく寝る時にその耳栓を使いました。温泉は泉質が良く温度も個人的には丁度よかったです。露天風呂は湯船が浅いので半身浴的な感じで長く入っていられますが、冬は寒いかもしれません。今回は素泊まりでしたが過去のクチコミでは料理の点数が高いので機会があれば食事付きで利用したいと思います。,2022/5/16
48,鳥のさえずり声が聞こえるなど、自然環境豊かな場所に立地していて、落ち着くことができるホテルです。受付のすぐ横にドリンクバーがあり、気持ちが和みました。食事会場も落ち着いた雰囲気で、リラックスした気持ちで食事をすることができました。夕食では無料のアルコールサービスがあり、飲み過ぎてしまうほどでした。お風呂は、硫黄のにおいが漂い、まさに温泉に入っているという気分になれます。心身をリフレッシュしたいという方には、ぴったりのホテルだと思います。,2022/5/14
49,①部屋のTV台の中にポカリスエットの空きボトルが放置②ベットの下の掃除が不十分。犬が入り込み埃を食べていた。③テーブルに汚れ④部屋の中の段差が気になる⑤露天風呂の温度が高い,2022/5/6
50,建物は古いと思うのですが、きれいにされてます。雨で少し早めについてしまったのですが親切に対応していだきました。お風呂に入って、フリードリンクというのが良いです！ピールな無いのですが、アレンジして色々作れます。朝食に一人でいらしたお客様がマスクを忘れてしまって、取りに戻ろうとした時“スタッフが大丈夫です”といっていなくなりました。マスクを取りに行っていたのです。さり気ないサービスに良いお宿だと思いました。,2022/4/27
51,到着時のドリンクサービス（ワイン，焼酎，ソフトドリンクなど）自由に飲めます。ビール・日本酒は有料です。大浴場，露天風呂共に気持ちよかったです。建物は古そうでしたが，部屋はきれいになってました。窓から芦ノ湖も見え眺めも良かったです。値段なりの良い宿です。,2022/4/26
52,両親はツイン、私達３人は和室と２部屋とりました。部屋を隣同士にしていてくださり、言わなかったのに、気が利くなあと思いました。　和室の方はお部屋に入ると布団がしいてあり、助かりました。とりあえず半分に折り畳みましたが、一からひくとなると、意外と大変なので、ありがたかったです。フリードリンクや、お菓子、アイスなどのサービスがあり、嬉しかったです。フリードリンクの中にはサワーとハイボールのお酒があるのがビックリ！ハイボールが濃いめで美味しくて、またびっくり。お食事もバイキングですが、メインは別にステキな盛り付けで運んできてくれます。食事会場はこじんまりとしていて、取りに行くのにも皆さん遠くなくて良いなと思いました。どれもこれも美味しかったです。お風呂も何時でも入れるのでよかったし、お湯の質も硫黄の匂いがして、温泉にはいってると実感しましたし、肌もツルツルになりました。また箱根に行く時には利用させて頂きたいです。,2022/4/25
53,温泉は大抑止と露天風呂ですごくゆっっくり過ごす事が出来ました。お食事も手が込んでいてとても美味しく頂けました、浴衣やバスタオルなどのサービスも良かったです。ただ、ベットや壁はガタガタ音がしたり少しでも体重をかけると危ない感じだったので整備していただけるとありがたいのかなと思いました。,2022/4/19
54,全般的に昭和レトロな感じですが、スタッフの方々はみなさん一生懸命で感じが良かったてす。車が大きいので、駐車スペースがゆったりしているのが非常にありがたかったです。夕食のビーフサラダが美味しかったです。,2022/4/19
55,何回か利用していますが「箱根」というところでこれほどリーズナブルに泊まれる温泉ホテルは無いかも知れません。建物は古いですがフロントの方も親切丁寧で気持ち良い。温泉は露天もあり極楽です。ビュッフェスタイル朝食はびっくりするくらいの品数で満足でしたが1時間の利用時間ですから要注意。また箱根に来た時は必ず利用します。,2022/4/19
56,アルコール含むドリンク＆おつまみサービスがあり、とても良かったです　夕食のメインも美味しかったです！　メイン以外のブュッフェも、ローストビーフや魚介、新鮮な野菜等、とても満足することが出来ました,2022/4/8
57,飲み物のお部屋への持ち帰りOKがとても良かったです。静かな雰囲気でのんびりできました。また機会があったら伺います。,2022/4/4
58,箱根はいつも強羅のホテルでしたが今回初めて変えてみました。今までのホテルも満足でしたのでそれと比較となります。ホテルラクーンは初めてで細かいことは気にならないせいか、文句なしです。時期的に又は外国人の利用者が少ないせいかゆっくり利用させて戴きました。一番感じたことは料理の品質の高さです。堪能しました。又、来月に行きたくなりました。,2022/4/3
59,シャレたリゾートホテルに見えたが、建物は古く部屋も狭いのでホテル内で楽しむことは期待できない。。仲間と気楽にカジュアル利用かも。ロビー横のフリードリンクコーナーはいいが、のんびり飲めたりくつろげるロビースペースがない。食事はまあまあだが普通。ホテルの良い点は!風呂が夜中過ぎでも朝まで自由に入れること。,2022/3/23
60,内風呂が最高です！外風呂は浅めでかなり寒いです。料理はビュッフェスタイルで程よい感じです。メイン料理はとても美味しかったです。フリードリンクでハイボールやレモンサワーが21時まで好きなだけ飲めるので部屋でたくさん飲めました。部屋には冷蔵庫もあるのでコップを冷やして飲めます。気になる点としては男湯の方にはベビーバスなどの設備がないため小さいお子さんと入浴するのは大変です。,2022/3/23
61,箱根観光で芦ノ湖を見たいということでこちらを利用させて頂きました！芦ノ湖まではバスで10分もしない近い所で立地も良かったです。そして一番満足したのはお食事の面です。朝夕共にバイキングなのですが種類も豊富で味も美味しくて大満足しました！！今はバイキングで取った食事を部屋で食べれるサービスがあったのでこちらでさせて頂きましたが、お部屋でゆっくり二人だけで食べれる時間もあるのは嬉しかったです！時間制限が70分だったのでそこはもうちょっと長くして頂けたらもっと最高だなーと思いました。けどそれでも大満足です！そして、チェックインしてからアルコール・ソフトドリンク、おつまみのスナック菓子が飲み放題、食べ放題、アイスもあって家族連れのお子さんも喜びそうなサービスでした！(時間制限はあり)お風呂はこじんまりしてますが疲れを十分に癒してくれる湯でした。露天風呂も気持ち良かったです！また9時までいつでも入れるのが良かったです！接客も優しく丁寧にして頂き、終始気持ち良く宿泊出来ました！また行きたいと思える宿でした！ありがとうございました！,2022/3/22
62,アルコールを含むフリードリンク、お菓子やおつまみが滞在中フリーというオールインクルーシブということでしたが、ちょっと豪華なウエルカムドリンクといった程度で、スナックはピーナッツやビスケットの類だけでした。翌日朝には、ソフトドリンクが５種類ほどしかなく、寂しく感じました。それ以外の面では、スタッフの方は一生懸命でしたし、料理もおいしくいただけました。,2022/3/14
63,温泉は空いている時間帯に行けば貸切状態でしたので、とても良かったです。スタッフの方の対応もとても親切でした。ありがとうございました。,2022/3/12
64,ワンコ部屋の床はオールフローリングで安心です。お風呂はコメントに辛口もありましたが、良い温泉だと思います。露天は浅いですが石を頭に寝そべれば大丈夫。ぬる湯好きの私からしたら天国でした。内風呂はちっょと熱めで仕上げに最高。一番良かったのはオールインクルーシブですが、食事がとても美味しかったです。バイキングの品数は控えめですが一つ一つ美味しく調理されており、品数は多いけど食べる物が無い宿に見習って欲しいくらいです。ここのお宿はまた再訪致します。ありがとうございました。,2022/2/27
65,フロントの横にインクルーシブということでチョコなどのお菓子や飲み物が置いてあります。お子さん連れでしたら、喜ぶこと間違いなしですね！2度目の宿泊でしたが以前より建物やお部屋がが綺麗になっていました！正月に箱根が定番になっていますのでまた、リピートさせていただきます。,2022/2/22
66,洋食中心のブッフェスタイルの夕食。何を食べても美味しくお腹いっぱいで大満足！特にローストビーフのサラダとガーリックライスは最高でした！朝食も和食、洋食ともに美味しく朝はあまり食べない子供たちもたくさん食べていました。それからオールインクルーシブはとても良かったです。お風呂上がりなどいつでもドリンクが飲めたり、夜に少しお菓子をつまめたりできるのは嬉しいです！少し残念なのはお風呂です。露天風呂を重視する私にとっては狭い事と浅い事。そして朝入るとシャワーがずっと水で体が冷え切ってしまった事がマイナス点でした。それからアメニティはもう少し良い物を置いていただけると良いかなと思いました。トリートメントがひどく洗いあがりがギシギシと。自身で持参した物で洗いなおしました。でも全体的には満足です！幼児がいる為コロナを心配していましたが平日という事もあってか夕食時は我が家の他一組のみ。ほとんど他の方と顔を合わせる事もなく安心して過ごすことができました。機会があったらまた伺いたいです。お世話になりました！ありがとうございました！,2022/1/20
67,チェックイン時にフリードリンクの案内とアメニティについて説明がありました。お菓子もあり部屋に持っていけるのは良いサービスだと思います。3ベッドルームの部屋でフロントからは近く、何度か利用させていただきました。部屋にはファンヒーターもあり、部屋の中は温かくして快適に過ごせましたが、部屋を一歩出ると館内全体が寒かったです。お風呂は硫黄の香りが漂い、温泉!!といった感じでとても温まりました。他に宿泊客がいなかったので貸切状態で利用できたのが何よりです。脱衣所はもう少し暖かければ文句なし。レストランの食事もバイキングで美味しくいただけました。ワインも飲み放題で満足できました。朝のレストランはとにかく寒くて、暖房が全然きいていない状態でした。ご飯を味わうどころではなかったです。部屋、お風呂、食事、それぞれ値段相応で納得できるものでしたが、とにかく寒かった。芦ノ湖から近くて観光するのには良い立地にあると思います。季節を変えてまた宿泊するには利用してもよいと思えるホテルでした。,2022/1/15
