Unnamed: 0,口コミ,投稿日
12,小田原城などを観光した後、翌日の大涌谷・芦ノ湖など箱根を観光するためにこちらのホテルを利用させて頂きました。車のナビは温泉町の奥へと案内するので、「どこに連れていかれるのだろう、、、」と思っていると「箱根の森おかだ」が現れました。外観は新しい感じはありませんでしたが、部屋は清潔感があり、広く、快適でした。このホテルは少し高台にあるので、部屋からの景色が良いです。ホテル内にプールもあり、子供連れにも良いと思いました。しかし、このホテルの一番のお勧めはやはり温泉です。内湯と色々な露天風呂があるので、それらの湯船をめぐるだけでも楽しめます。リーズナブルなお値段で、箱根観光と温泉を楽しみたい方には、お勧めです。もちろん、小さな子供連れの家族にも、お勧めだと思います。,2023/8/15
13,温泉がすごくよかったです！！温泉を売りにしたお宿な気がします！夕飯はとても良かったですが、朝食はバリエーションが不足してました。ただ、お部屋が残念でした。トイレのアンモニア臭がします。部屋を出る際に毎回カギを抜き取ることで、電源がOFFになるため空調してても意味ありません。スタッフさんはみなさん対応良かったです。,2023/8/14
14,初めて利用しましたが、露天風呂がとても気持ちよかったです。夕飯も種類豊富で美味しく、朝ごはんもバイキングで色々なおかずを食べれて満足でした。部屋も広く清潔感あり、スタッフの方も声かけるとすぐ対応していただき楽しい家族旅行でした。,2023/8/12
15,今回は夏休みという事もあり、プール付きという事でお世話になりました。幼児用プールやそのまま入れる温泉もあり、たくさん遊べました。また、温泉は露天にたくさんの種類があり、とても気持ち良く大満足でした。温泉だけでも価値はあります。またお世話になりたいです。,2023/8/12
16,家族で利用しました。ジャグジーやジェットバス、打たせ湯、色々なお風呂を楽しみました。隣のおかだホテルのお風呂も利用できますよ。お部屋も3人で利用するには十分広く、ゆったり過ごせました。仲居さんがいない分、自分たちのペースでのんびりできたのが逆によかったです。子どもの食事は大人と同じだと聞いていたのですが、一部のメニューがハンバーグになっていたり、子どもが苦手なメニューが抜いてあったりと、心遣いが感じられました。子連れ旅行にオススメです。また是非利用したいです!,2023/8/10
17,何度目かのリピーターです比較的近くに住んでいるので思い立ったら予約してさっと出かけます。アルティメット美食プランということでいつもより豪華な夕食でした。この旅館はコスパが良くて気を張らなくていい旅館なので温泉も何度も入りまったり過ごしました良かったです,2023/8/7
18,夏休みですので、家族大人4人＋父母でプールと温泉目当てで一泊しました。こちらの宿には6回ほどお世話になってます。まず子供が小さい頃は1階のお部屋が用意されていましたが、今回大人ばかりだったので初の3階でした。お部屋はいつもと同じタタミ＋洋室ベッド2台でした。綺麗に掃除され、SHARPプラズマクラスターの空気清浄機があり、禁煙ルームで喘息持ちですが、安心して過ごせました。タタミが1箇所だけふわふわのした場所があったので、部屋の満足度を4にしました。お料理は夜は鉄板を和牛に変更したコースで、父も久しぶりに美味しいとたくさん食べてくれました。朝は全てバイキングに変わっていました。息子は干物嫌いなので好きなものだけ取れるのはありがたかったです。働いている方は外国の方でしたが、日本語も上手でとても感じがよく、冷房が効きすぎていたらすぐに調整してくれました。プールはあまり深く無いので、子供が小さい頃見守りやすく、大人だけでも楽しく過ごせました。プールの一角がミニ温泉があり、寒くなると暖まれます。今回不自由だったのは、５家族しか居なかったのですが、プールサイドの着替えの室のロッカーが、男子女子共に一つもなく荷物に困りました。温泉は3階通路から繋がる日帰り入浴施設が使えます。朝6時から11時ぐらいまで自由に入れます。マッサージ機も無料なのでゆっくり疲れを癒せました。また来年お世話になります。,2023/8/6
19,子どもたちの休校日に休みが取れたので、大人1小学生2で利用しました。行きは駅から徒歩で行ったのですが宿まで予想以上に急な坂が続きます。日頃から歩くのが好きな私は大丈夫でしたが、雨が降り始めたこともあり、子どもたちは「まだ着かないの？」と文句タラタラ。ちょっと反省。次回からは送迎を利用しようと思います。宿の建物自体はほぼ客室しかないので温泉へは一旦外に出るか連絡通路を通って隣接の湯の里に行きます。通路の途中でプールが見えるのですが、水がはってあるもののロープや柵などはなく、小さい子が行ってしまわないかと安全面がちょっとだけ気になりました。温泉は露天風呂が5種類ほどあって打たせ湯や寝湯、ジェットバスなど子どもたちも喜んで入っていました。今回チェックイン時間が遅い分チェックアウト11時のプランにしたので、観光やティータイムを楽しんでから泊まり、翌朝も少しゆっくりできてよかったです。天候がいまいちで外に出ての移動が難しく、ホテルおかだの温泉に行けなかったので、次回はそちらにも入ってみたいです。平日だったのもあり、一泊二食和洋室利用で大人11000円ほどとかなりコスパがよかったです。,2023/7/20
20,夫婦2人と娘と孫4人でお世話になりましたまず！外観は森のイメージピッタリでジブリっぽい感じで良かったです。お風呂がさらに！自然に囲まれて最高でした。お部屋は十分過ぎるほど広くゆったりできましたがテレビがとても小さく残念。またお邪魔させてもらいます,2023/7/19
21,2歳の子供と一緒に宿泊しました。浴衣もあり、スタッフさんも良くしてくださり、楽しい旅となりました。夜のチェックインだったので、夕食は食べてないですが、朝食はとても美味しく食べさせて頂きました。子供用のカトラリー、椅子もあり、安心して宿泊できました。おせわになりました！,2023/7/17
22,綺麗な部屋でした3階の渡り廊下から隣の建物のお風呂に行くんですが5つ位露天風呂あって43ドから44℃近くの温度でいつも41℃位の私には熱かったから寝湯のとこだけでも良いからぬる湯にしてほしいなぁ38℃くらいの、、夕食はめちゃくちゃ豪華で懐石料理でした^_^天ぷらだけ二人で一つの皿に盛られてあるのみて豪華さから若干庶民派に変わりました笑味は最高！自販機が200円だったからコンビニいってくれば良かったぁ。あと自販機に軽食、ツマミ程度でいいから置いて欲しいですー夜中2時にお腹空いたんで、なんかないか見に行ったら何もなくてぺこぺこでした朝サウナ朝入りたい人なんで朝サウナ開催してほしいです^ - ^ ビュッフェも最高！でもパンも欲しかったです^ - ^温泉卵5個も食べちゃいましたすみません食べすぎたぁ冬もまた予約さしていただきますね^_^,2023/7/15
23,箱根旅行の際に何回か宿泊させていただいてます。お風呂やお部屋はいつも通りでしたが、今回は夕食がいつもと違いました。いつもは食べきれないのですが始めて料理を追加しました。もう少し量があってもいいかなと感じました。,2023/7/12
24,今は、入浴に年齢制限があり異性の子どもと行くのが、難しいのですが、年齢制限が特に設けられてないと書いてあり、助かりました。夫が行けないため、子どもとの旅行でした。小学校低学年ですが、子どもだけでは、危ないため、一緒に女湯です。タオルで隠させ、女の子が入っていた場合は、同じお風呂に入れないように私なりに考えました。異性の子どもが居る方には、助かります。が、親も色々配慮は必要だとは思います。ありがとうございました。また夏休みに伺いたいです。お料理は、アレルギーがあるため、コメントしましたら、変更してくださっていました。,2023/7/9
25,箱根の森から本館までは一度外にでなければならないので大変だったかなお風呂は湯の里の方が露天でサウナもありよかったです送迎が箱根湯本からホテル共通のバスなので並んでいて乗るのは大変でしたグループだったからタクシー移動しました帰りはホテルからバスに乗れたけどすでに立ち席で並んで待っていても乗れない人もいました土日だからかそんなに混んでるなら予約にするとか対応して欲しいです,2023/6/27
26,本館の内湯より開放感も感じられました部屋も畳がありゆっくりできましたまた行きたいです送迎は混んでました,2023/6/27
27,初めて利用しました。色々な方のコメントを読みましたが特に気になる所はありません。ホテルその物が小さいので宿泊客少ないのか静かでした。もし駅から徒歩でホテルに行くならホテルおかだの館内経由をお薦めいたします。,2023/6/18
28,箱根に来る際何度か利用したことがあるホテルでした。今まであまり悪い印象がないホテルでしたので今回も利用させていただきました。夕食が今までとあまりに違っていたのでスタッフの方に確認させていただきましたが、返答は予約は和食膳となっていますとのこと。何が今までと違うのか分かりづらいです。予約する際の写真だけでの判断となるので過去利用したときの夕食内容と同じだと誤解してました。予約の際食事の詳細等案内あれば有り難かったです。今回はじめて山彦での食事でしたが、席に着いて早々外国人のスタッフの方に「飲み物の注文が無ければ水です。」と言われましたが、接客態度としてどうなんだろうと思いました。せめてお水の提供になりますが大丈夫でしょうかのようないいまわしにしたらと思いました。あと朝食に関しましては夫は満足してなかったようです。洋食っぽいメニューがあればと申していました。お風呂は良かったです。,2023/6/10
29,和洋室のお部屋でしたが、広くて清潔感あって、とてものんびりできました。湯の里の方は、一度外に出ますがそんなに遠くはないので、負担はなかったです。いくつか浴槽はありますが、全体的にぬるめでした。朝は少しあるいて、本館のお風呂に行きましたが、脱衣所、浴槽がとても広くて気持ちよかったです。夕食も量が丁度良く、子供はハンバーグになっていました。朝食は和食で、他の方が量が少ないと書かれていますが、私は十分でした。パンとかはありませんでした。箱根湯本の駅からはちょっと離れていて、山の方ですが、私が泊まった部屋からはとても景色が綺麗でした。建物は古いですが、全体的に清潔感あって値段もお安かったので、良い旅行になりました。,2023/5/8
30,ホテルまでの道のりが急坂だった事、建物の古さが少し気になりましたが、部屋もキレイに清掃されていて快適に過ごす事ができました。お風呂も食事も良く、スタッフの方達もとても感じが良かったです。機会があったらまた宿泊したいです。,2022/10/5
31,30年来の友人と久しぶりに一泊ツーリングで利用しました。県民割とクーポンで格安で利用することが出来ました。お風呂と部屋は良かったのですが、安く泊まれたので文句はありませんが、夕食の内容が寂しく残念感がぬぐえませんでした。部屋や食事のグレードアップ等、他のプランはわかりませんが、今回のプランで通常価格でしたら割高感が強く、リピートはちょっと無いかなぁという感じです。,2022/9/28
32,一泊２食付き和洋室プランで友人と利用させていただきました。今回二度目の利用でしたが、お部屋が広々としていて綺麗で大変満足でした。スタッフの方々も会う度に丁寧にご挨拶して下さり、とても良い印象でした。一点だけ残念だったのは食事です。夕食のメインの陶板焼きは質素で、ローストビーフも乾燥していて固くなっており、全て食べられませんでした。朝食も和食のみで、種類が他の旅館よりだいぶ少ないチョイスでした。総合的には満足しましたが、お食事を少し改善されたらもっと良くなると思いました。また機会があれば利用したいです。,2022/9/27
33,外観は古いですが部屋は綺麗です駅からのバスはホテルおかだに着くのでそこからは中を通り坂を登るか車を呼んでもらい箱根の森おかだに行く事になります温泉と晩御飯は宿泊している建物とは別になります温泉は良かったのですが部屋のお風呂に入ろうとしたらありえないくらい水圧が弱く、水ならちゃんと出るのですがお湯の方を出せば出すほど水圧が弱くなり赤ちゃんと入ったのですが出た時には二人とも体が冷たくなっていましたまた泊まることはないと思います,2022/9/26
35,まず第一は、ホテルわかりづらい姉妹店は、豪華で分かりやすいけどここは一番分かりにくかったし子供連れにはサービスは、いまいち!食事も、朝､夕食愛想悪いです!風呂は、良かったです!,2022/9/21
36,子供含めて５人で泊まりましたが、部屋は2部屋続きで広く、設備も充実、温泉も色々と種類があり、更にとなりのホテルの温泉も入れる。食事も朝晩ボリュームがあり、とても満足できました。,2022/9/16
37,前回、お風呂もご飯も接客もお部屋もどれも良かったので、今回も予約させて頂きました。一番気に入ってるのはお風呂で、５つくらい種類があってどのお風呂もとっても気持ち良かったです。ご飯はボリュームが凄かったのですが、美味しかったからしっかり完食出来て満足でしたし、子供はエビフライの大きさに驚いて大喜びでかじりついてました！お風呂上がりにゆっくり休めるとこもあるし、子供はゲームコーナーに大喜び（私も懐かしいゲームについ夢中になりました）お部屋も綺麗で広かったです。どの店員さんも丁寧で親切だったのでゆっくり癒しの時間を過ごせました。ありがとうございました！,2022/9/15
38,去年もお邪魔したのですが、その際は天候に恵まれずプールを満喫できなかったのですが、今年はプール、風呂、食事、大人はちょっぴりアルコール三昧の日々を過ごさせていただき、夏の疲れが癒されました。最上階の部屋は静かで景色も良く、広かったので心身ともにとても癒されました。食事も多いくらいのボリュームで３日で体重が１ｋｇ増量しました。それなのに非常にお値段もリーズナブルで、また来年も狙っております。,2022/9/7
39,駅からは、遠いいが、お風呂がいいね。いろんなお風呂が楽しめます。湯上がりも、ゆっくり出来るし、のんびりするには、最高です。,2022/9/3
40,今回初めて利用しました。かなりホテル近くの道は細めで行き交う車で渋滞が起きていてすれ違うのにかなりドキドキするほど狭かったです。ホテルに着くとフロントが小さいのにびっくりしました。受付の外国人の方はとても対応がよかったです。フロントとエレベーターが小さく心なしか寂しく感じます。お部屋は古さはありますが清潔感はあります。少し空調が臭う？！様な気はしましたが。　そして部屋に鍵が1個しかないのはとても不便でした。お風呂はとてもよかったです。　日帰りで利用してる方もいるのですが時間帯をズラせばとても空いていてゆっくり入れます。子供いたのでプールも利用したのですが少し衛生面がいまいちでした。プールに虫やゴミが浮いていたのが気になりした。子供はお構いなしで入ってましたが。　無料のマッサージチェアはとても気持ちよかったです。　ただ人の出入れがあるドアから丸見えなのが気になりました。向きを変えて頂くとよかったかも。,2022/8/31
41,初めての宿泊で朝食のみ利用。部屋の使い勝手は清潔感・広さは程よい。廊下が狭かったので近い部屋からの音、気になるか？　と懸念しましたが気になりませんでした。朝食は8時過ぎにいったところ、4組程いて　おかずがほぼ一品づつ置かれていて、ジャーに白飯は茶碗三杯分程。残り物感が否めず…。どうやらラストの客でした。決められた席は端の目の前は窓越しに通行人が横切るのが見える道。後ろには一組のファミリー。スカスカなのに、なぜにココ？という無言の圧を感じたのか、そこから広めの席を案内。味はいたって普通だし、旅先の楽しい朝食感ゼロ。また利用する機会あるなら、素泊まりで、チェックアウト後　駅周辺の人気店か箱根神社周辺のお店で早めランチした方が良き旅！と思う。さて、私が旅で重視する温泉。ホテルおかだの広々風呂&広々とした脱衣場も利用でき（年配の方や脚の弱い方は移動の階段がキツイかもです）緑を愛でながら足湯を楽しめ、晴れた空の下で高台で建物はなく緑に囲まれ様々な風呂が楽しめる露天風呂は自然に懐かれた風呂というかんじで最高でした！ソロ旅でも安心のお宿でした。また、機会ありましたら別の季節の露天風呂を味わいたいと思います。,2022/8/30
42,久しぶりの夫婦での旅に3つ星ホテルとあったので宿泊したが…部屋はかび臭く、あまりのかび臭さに眠れず、晩御飯のサラダにピンク色に変色したレタスの芯の輪切りがは入っていて…申し訳ないとあやまられても気持ち悪くそれ以上は食べれず（主人がかわりに食べていた_）お風呂だけはよかったが、もう二度と泊まりたくない宿になった。朝の風呂で、貴重品ロッカーのカギがなくなり…何度考えても巾着から無くなるはずなく…何とも不思議な体験だらけの宿だった。,2022/8/29
43,朝食が和食のみで、種類も少なかったのが残念でした。子供には和食よりパンやソーセージなどの洋食の方がいいかと思います。それ以外は普通に良かったです。,2022/8/26
44,別棟のふるさとに家族で1泊。足湯付きで子供に大ウケ。お部屋にお風呂がありませんなが、隣接するホテルおかだも日帰り温泉施設のお風呂も入り放題でなのでかなり楽しめました。お部屋は十分過ぎるほどの広さで、ゆっくり過ごせました。今回利用はしませんでしたが、プールもあり小学生までくらいなら十分楽しめる広さでした。個人的にはルームサービスがお得でオススメです。,2022/8/21
45,お風呂はバラエティに富んでて楽しかったですが、ジャクジーなどを使っているせいか、お湯がプールっぽい感じで、温泉感があまりなかった気がします。ホテルおかだのお風呂と足湯にもおじゃましました。部屋はホテルというよりは貸リゾートマンションみたいな感じでした。料理はあまり期待していなかったのですが、けっこうおいしくいただきました。朝食は温かいものがありませんでしたが、品数はあったし、値段を考えればよかったかなと思います。,2022/8/21
46,家族旅行で大人2名子供1名で宿泊しました。部屋も綺麗に準備してあり、ご飯もとても美味しかったです！！お風呂は貸切風呂に入った為露天風呂などは分かりませんが満足出来ました。,2022/8/18
47,お盆休みに家族で初めて利用しました。子供は上が7歳、下が０歳の乳児です。まずお部屋に入った途端少し臭くジメジメしていました。天井に付いているエアコンをみると中がホコリだらけでここから出てくる風に浴びるのは嫌だな…と思いましたが暑かったので使いました。それと、お部屋の押し入れを開けると、明らかに使用済みのフェイスタオルが干してありすぐにフロントにもっていったら、受付の方は、ああwそうですかwと、笑いながら受け取っていました……。このご時世に、見知らぬ方の使用済みタオルが置いてあるのは凄く嫌な気持ちになりました。でも、部屋自体は、ベットの寝心地もよく畳も新鮮で居心地が良かったです！朝食は、物足りなかったです。夕食は大満足でした！美味しかったです！チェックアウト後に、上の子がプールにいくと言うので行っている間に下の子に授乳をしようと思い受付の方(初日とは別の方)に、授乳スペースやオムツ替えスペースは、ありますか？と聞いたら無表情で、ないです。ロビーでしてください。と言われ、正直ガッカリました……子連れを受け入れてる割に、子連れにはちょっと厳しい、歓迎されていない感じが残念でした。ですが、その後、受付に別の優しそうなおじさんがきたので、もう一度確認したところ、受付から1番近い部屋を開けて下さり、授乳させてくれました。ありがとうございましたプールも楽しく、温泉が売りということで温泉に行きたかったのですが、残念ながら私がその日は入れなかったので、また来ることがあれば次こそは入りたいです！少し気になるところも多くクレームぽく書いてしまいましたが、値段も安く家族風呂などもあり楽しい旅行でした！娘はまた来たいと言っていたので、機会があればよろしくお願いします(*^^*),2022/8/16
48,丁寧な言葉遣いで接客いただき安心しました。台風が来ていた事もあり、ゆっくり出来なかったのは残念です。一つ気になったのは、お風呂にいったり、食事したりと隣の日帰り入浴施設に行かれる際のアルコールや検温、食事どころの騒がしさが気になりました。急にコロナが増え、旅行の規制が無いとしてももう少し安心できると良かったです。,2022/8/15
49,部屋はとても綺麗で素晴らしかったです！ただ行くまでの道が駅かは歩くとほんとに遠いのでタクシーを使うのをオススメします！ 道の説明やレストランの説明などとても丁寧でした！おすすめです！,2022/8/14
50,急な予約でしたが空いてましたのでポチりました。温泉は露天風呂は良かったです。食事は普通です見た目豪華ではないです。1人の食事なので周りはグループばかりなのでやはり目は気にはなります。目立たない所に配置してもらえたら良かったなと思います。お風呂までにかなり距離がありますので足の悪い方は本館に泊まったほうが良いですね。,2022/8/13
51,おかだが取れずこちらを前日予約。おかだのお風呂が利用出来て良かったが徒歩で移動は雨天時は辛い。スパの方は本当によくある日帰り温泉。ご飯も少なかったので、少食の若い人向きかなと思う。,2022/8/12
52,お風呂が沢山あるということで伺いました。チェックイン前でも温泉施設を利用できるという事で、箱根散策はせずに駅から直行で向かいました。ホテルの隣に「湯の里おかだ」という日帰り温泉施設があり、そこで1日中楽しむことが出来ました。健康ランドのような感じで、沢山のお風呂があり、サウナがあり、休憩スペースがあり（漫画あり）、お食事処があり…昼食もそこで頂いたのですが、エビの天ぷらが凄く美味しかったです。エビも大きく衣もサクサクで感動しました。お風呂は露天風呂の種類が沢山あって開放感があり気持ちよかったです。プールもあり子供連れ家族が沢山利用していました。この施設とホテルは3階が渡り廊下で繋がっており、イン後も利用しやすく何回も行きました。また、隣の「ホテルおかだ」のお風呂も利用出来るので本当に温泉三昧でした。お部屋はベッドルームと和室の二間で広々使えました。お食事は…まぁ普通でした。朝食のバイキングはもう少し品数が欲しいところですね。フルーツとかデザート系は全く無かったですし。チェックアウト後も希望すれば湯の里おかだを利用できるようです。,2022/8/12
53,建物は古いです。プールも汚くて7月シーズンでも使えません。ご飯はぼちぼちです。お風呂は良いです。お値段妥当な感じでした。,2022/8/11
54,1年越しの娘との二人旅。色んな宿から予算と露天風呂を検討しこちらに泊まることに。お部屋は狭いけど、窓からの景色は良かったです。露天風呂も生憎の曇りで星空は観れませんでしたが、とても気持ち良かったです。残念なのは、景色の良い窓に備え付けてあったロールカーテンの角に大きな蜘蛛の巣があったこと。。。しかも埃がビッチリとついていて。。掃除が行き届いてないんだと思ったら、畳も布団も不衛生なんじゃないかと思ってしまい、部屋でゆっくり寛ぐ事は出来ませんでした。残念です。,2022/8/8
55,お風呂はサウナもあって気持ちよかったです。ただ朝食がバイキングでしたが、物足りなかったので残念でした。,2022/8/4
56,彼と箱根の森おかだ　さんにお泊りさせて頂きました。夕食とても満足しました！揚げたて天ぷら大変美味しくて！全て満足です！温泉もゆっくりつかれてまた来たいなと思いました！スタッフさんも凄く丁寧な接客でしたし。色々ありがとうございました！,2022/7/31
57,大人1人、子供2人(小5、中2)でいきました。プールですが、子供2人楽しそうに過ごしていました！温泉ですが、気持ち良かったですがもう少しバリエーションがあればもっとよかったように思います。あと、食事は夕食、朝食ともとても美味しかったです。,2022/7/30
58,お部屋も広く、BSやYouTubeなどがテレビで見れて、部屋にいても全然飽きず快適に過ごせました。温泉施設につながっていて、ゲームコーナーや漫画見放題の部屋などがあり、ゆったり過ごせます。施設はとても綺麗で、夕飯はそこの施設のレストランでいただきました。どれも美味しかったです。川海老の唐揚げはおすすめです。一つ残念なところは、ホテルに製氷機がなかったことです。部屋飲みしようと、持ってきたお酒を飲もうとした時に、施設に製氷機がなく、電話で製氷機はありますか？と聞いたところ、有料だと言われました。コップ3杯くらいで200円と言われました。なので、車で10分くらいのセブンまで買いに行きました。氷くらいは無料で用意して欲しかったです。,2022/7/15
59,温泉のクオリティが高いので来てみましたが、本当に広くて良かったです。露天風呂が種類豊富でよかったです。ありがとうございました。,2022/7/15
60,長文失礼します。箱根湯本から近い宿は今回初めて泊まりました。駅前から送迎バスが出ていますが今回は歩いて行きました。箱根湯本の風景を楽しみながら歩けましたが最後の坂はなかなかキツかったですf(^_^;宿に着くとスムーズにチェックイン対応していただき部屋に入れました。お風呂が何ヵ所もあるのでさっそくホテルの８階にある浴場に子供と入りました。洗い場が広くお風呂も適温で快適でした。湯の里の方にも入りましたが露天風呂が充実していてとても満足でした。休憩所も落ち着いた雰囲気でたくさんある漫画を読みながら過ごせました。朝、夕ご飯も宿泊客は多かったものの上手く時間調整して混み合わないようにバランス取れていました。アルコール消毒も入念にしていて感染対策されていたので安心して食事出来ました。全体的ににとてもよかったです。箱根旅行の際はまた利用したいと思います。,2022/7/12
61,　お風呂がたくさんあって楽しいですねぇ。特に貸し切り風呂がとても良かったです。朝食も美味しかったです。,2022/7/11
62,少し高台にありましたが、箱根湯本駅からタクシーならワンメーター位の距離だと思われます。送迎バスも出ているので便利です。また、行きたいホテルです。,2022/7/11
63,お風呂大好きな私が言いますが、露天風呂４つもありサウナ・水風呂もあり最高です！もう何回か宿泊していますがお部屋はやはりふる里がいいですね〜！！足湯に入りながら一杯！うん、最高です！朝食にパンが無いのが少し残念ですが、夕飯・朝食ともに美味しいです。,2022/7/10
64,夕食を少しアップグレードしたはずでしたが、なんとなく寂しい内容で、ローストビーフなどすでに用意されてる料理は乾燥してました。逆に口コミで酷評されていた朝食は思ったより品数も多くてよかったです。お風呂は3階でつながってる日帰り温泉施設は広くてよかったです。箱根は温泉宿がたくさんあるのでリピートするかは正直ないですが、お値段相当って感じです。,2022/7/4
65,一泊2食の1人一万ちょっとのコース。前に日帰りで寄らせて頂き、今回は宿泊してみました。本館の大浴場と日帰り温泉用の施設が両方入れて温泉三昧。身体が芯から温まって、本当にいい温泉です。,2022/6/20
66,二度目のお泊まりになります。結論から言うと大満足です！お風呂はたくさん種類があります。混雑するような感じもありませんでした。清潔に保たれていて気になる点は一切ありません。部屋は最上階を取りました。冷房も効き、音も聞こえないし静かにゆったり過ごせました。夕ご飯はメニュから選ぶタイプでどれも美味しそうで迷いました。美味しいし量もあり食べ盛りの息子が喜んでおりました。夕ご飯のばたつく時間でも外国人のスタッフさんが丁寧に接してくれました。ありがとうございました。唯一気になるところは朝バイキングでコーンフレークや飲み物を提供してくれるカウンター内のお姉さんです。かなり無愛想でグラスの置き方が雑で怖くておかわりの飲み物をとりに行けませんでした。そういう冷たい態度をされると嫌なところが浮き彫りに見えてしまい、指に傷があるなら手袋をして欲しい、髪の毛を綺麗に纏めて欲しいと攻撃的に思ってしまいました。,2022/6/20
67,小田急線の沿線に住んでいます。金曜、仕事が終わってから箱根に行ってきました。箱根湯本駅からさほど遠くありません。徒歩だと厳しいかな。須雲川の川そばの斜面に建てられ景観良く静かです。部屋はたいへんきれいになっておりました。妻がホテル清掃の仕事をしていた経験がありましたが、すごい掃除が出来ていると言っておりました。畳など内装も新しめで綺麗です。お風呂は露天風呂になっていて、楽しめました。晴れていたので、夜空のしたで風呂につかれました。平日夜であったためか混雑もありませんでした。日帰りのお客さんも受け入れてますので、休日はもしかすると混むこともあるのかも。どうなんでしょう。箱根では、他の日帰り風呂を何度か利用してみてきています。こちらはたいへん良くできているお風呂だと思います。食事は、あまり贅沢な食材を求めていないので、十分でした。お刺身、豚肉の焼きもの、など、品数がそろっているので酒を飲みながら、で十分だと思います。ルームサービスにて、お酒とつまみを提供するサービスも、もちろん別料金であるようです。夜の食事のスタッフが外国籍の方がいらっしゃって、日本語が少し変でしたが、日本で接客できる方なので、おそらく優秀な方なのかもと思います。外国人のお客さんが宿泊することも多いのでしょうか。今回は１万円ほどの価格帯でやっていただいて、全般的にありがたいと思います。コロナが終わって、お客さんが増えたら、この値段ではできないかなって気はします。行くなら、価格が落ちている今のうちかもと思います。,2022/6/20
