口コミ,投稿日,preprocessed_text
食事無しの宿泊のみで利用しました。1番奥のホテルだったのでコンビニで買い物してから利用した方が良いです  ２つの温泉を行き来できてどちらも広くて開放的で良かったです。,2019-10-24,食事 無し 宿泊 番 奥 ホテル コンビニ 買い物 行き来 どちら 開放 的
お風呂が風情ある大きな露天風呂で本当に最高、、、湯本の温泉なので少し塩素で乾燥する感じはありますが、逆を返せば消毒がきいており安心して入浴できます。夜のお食事はどれから食べようかと迷うくらい豪華。白米と味噌汁は申告制なんでしょうか？朝も、おいしい干物と温泉卵を楽しめるバイキング！ちょうどいい品数で食べすぎず、朝から色々なお料理を食べられて幸せでした。部屋も二人では贅沢なくらい広々で、また、窓のそばのドレッサーが朝メイクするのにとてもちょうど良い採光でした笑箱根湯本の旅行の醍醐味を満喫できる宿です。とてもおすすめ。,2019-10-20,風情 最高 湯本 塩素 乾燥 感じ 逆 消毒 安心 入浴 夜 食事 豪華 白米 味噌汁 申告 制 ? 朝 干物 卵 バイキング 朝 色々 幸せ 人 贅沢 窓 そば ドレッサー 朝 メイク 採光 笑 箱根湯本 醍醐味 満喫 宿
台風19号接近中でしたが連休取れたのでせっかくなので行ってきました。なんとか雨降る前に着いてまず温泉を戴きました。表記上だとアルカリ泉とありましたが特有のツルリ感はありませんでしたがホームページで見た感じのとても良いお風呂でした。特に寝湯の気泡風呂は良かったです。夜ご飯は少し遅めの19時にしてもらいました。食事はもちろん美味しく、ゴハンのおかわりなど声もかけてくださりスゴく良くしてくださいました。朝御飯はビュッフェでしたが、本当はスクランブルエッグも欲しかったけど十分に楽しめたし美味しかったです。また近く行く際はリピートさせてもらいたいです。,2019-10-14,台風 号 接近 連休 雨 前 表記 上 アルカリ 泉 特有 ツルリ 感 ホームページ 感じ 湯 気泡 夜 ご飯 め 食事 ゴハン かわり 声 スゴ 朝 御飯 スクランブル エッグ 十分 近く 際 リピート
夜九時まで夕飯対応してくれるとの事だったので、結婚式の後に温泉で疲れを癒そうとこちらを予約しました。乗り合いバスを降りてから長い道のりを歩き、ようやくたどり着いたホテルは一見大き目のペンションのようでちょっと嫌な予感。ドアを開けるとものすごいアンモニア臭。部屋の中はものすごいカビ臭。エアコンの掃除してるのでしょうか・・・。部屋の壁紙もカビだらけです。エアコンを消して備え付けの消臭スプレーをまき散らすといくらか落ち着きましたが、結婚式の幸せな気分も一緒に消えてなくなりました。しかも山の上で眺望もよさそうだと思っていたら部屋は一階で植え込みに隠れて景色は見えず、おまけに横にはお客さんが通る階段。カーテン開けてたら中が見えそうです。朝になるとまた臭いが充満してきて、妻は歯磨きをしながら吐きそうになっていました。また、カビの胞子のせいか部屋にいる間は咳が出ていました。唯一お風呂の泉質は良かったと思いますが、お金を取って人に貸せる部屋ではないと思います。それから、レイトチェックアウトのプランで申し込んだつもりでしたが、チェックアウトは通常通り10時との用紙をいただきました。今回値段ではなく、夕食対応でホテルを決めたのですがこれならコンビニで弁当でも買って別のホテルに素泊まりにすればよかったです。,2019-10-01,夜 九 夕飯 事 結婚式 後 疲れ 予約 乗り合い バス 道のり ホテル 大き目 ペンション 嫌 予感 ドア アンモニア 臭 カビ 臭 エアコン 掃除 壁紙 カビ だらけ エアコン 備え付け 臭 スプレー 結婚式 幸せ 気分 一緒 山の上 眺望 階 植え込み 景色 おまけ 横 お客 階段 カーテン 朝 臭い 充満 妻 歯磨き カビ 胞子 せい 間 咳 唯一 泉 質 お金 人 レイトチェックアウト プラン つもり チェック アウト 通常 通り 用紙 値段 夕食 ホテル コンビニ 弁当 別 ホテル 素泊まり
５回目の利用になります。今回初めて娘をつれて二人旅で2泊お世話になりました。食事なしでもレストランがあるのでそちらで充分ですが、料金的には食事つきにしたほうが良いのかもと思います。こちらの温泉はゆっくり入れて大好きです。日帰りでも何度か利用させていてますが、今回も温泉三昧でお肌もしっとり。娘も喜んでいました。また娘をつれて行きます。,2019-09-25,回 目 娘 人 旅 泊 食事 レストラン そちら 充分 料金 的 食事 ほう 大好き 日帰り 度 三昧 肌 娘 娘
盆休みを利用して利用。　　我が家は全員、和洋室が大好きなのでとても満足の部屋でした。　岡田屋の本館よりも割安で、布団を自分で引くのですがレイアウトを自由に決められので、いつもと違うレイアウトにできました。　間夏真っ盛りでしたので、3階の連絡口から直接で行けるプールは親子連れでにぎわっておりました。　プールはそれほど混んでおらず、浮き輪に浮いてのんびり過ごせていい感じです。来年は2泊でもっとのんびりしたいと思います。,2019-09-18,盆 休み 我が家 全員 和洋 室 大好き 満足 岡田 屋 本館 割安 布団 自分 レイアウト 自由 レイアウト 間 夏 真っ盛り 階 連絡 口 直接 プール 親子 連れ プール 浮き 輪 感じ 来年 泊
21時まで夕食が大丈夫とのことで宿とプランを選びましたが、部屋は昭和な内装。所々、壁紙が剥がれていて部屋中全てが湿っている。布団も床のカーペットも。新しく内装が変わったというのを見かけましたが、内装を新しくした部屋には通されず古い方の部屋に案内されるなら、その旨をプランに明記してほしかった。ベッド脇の机にはベタベタした液体がついていた。もう二度と泊まりません。併設されていたスパは気持ちよかったのに残念です。,2019-09-03,夕食 大丈夫 宿 プラン 昭和 内装 所々 壁紙 全て 布団 床 カーペット 内装 内装 案内 旨 プラン 明記 ベッド 脇 机 液体 併設 スパ 残念
初めて利用させて頂きました。ホテルおかださんには4年程前に宿泊し 箱根の森おかださんのお風呂も入らせて頂いたので お風呂は変わらずに 色々な種類があり楽しめました。ただお部屋が入って直ぐに タバコ臭い感じがして トイレはアンモニア臭が充満していた為 廊下のトイレを利用しました。食事は朝食バイキングで パンやフルーツが無かったのが寂しかったです。カラオケは安い金額で 楽しませて頂きました。,2019-09-02,ホテル 年 前 宿泊 箱根 森 色々 種類 直ぐ タバコ 感じ トイレ アンモニア 臭 充満 為 廊下 トイレ 食事 朝食 バイキング フルーツ カラオケ 金額
ホテルおかだのお風呂も両方利用できるのでとても良かったです。ホテルおかだの方がアメニティが充実していますが，お風呂のバラエティーさからすると箱根の森です。,2019-08-29,"ホテル 両方 ホテル アメニティ 充実 , バラエティー 箱根 森"
神奈川生まれで、箱根湯本はいつも通過しており、初めての宿泊でした。これ程、温泉旅館が有るとは知りませんでした。それも谷間の一番奥深く、最後は急坂を登りきった宿でした。2階の部屋でしたが、遥か彼方に小田原が見下ろせる事に感動しました。幼児を連れて安心出来る和洋室を頼みますました。落ち着いて良い部屋でした。,2019-08-28,神奈川 生まれ 箱根湯本 通過 宿泊 旅館 谷間 一番 最後 急坂 宿 階 彼方 小田原 事 感動 幼児 安心 和洋 室
2泊3日でこの値段でかつしっかり4食ついてるのはほんとに有難かったです。ご飯も豪華でとても美味しかったです。事前に予約確認のお電話も頂いて電話の対応もよくてとても満足してます。あと、私たちが間違えてホテルおかだで降りてしまった時箱根の森おかださんがわざわざ車を出して迎えに来てくれたところもとてもよかったです。本当に満足してます。ありがとうございました！,2019-08-28,泊 日 値段 食 ご飯 豪華 事前 予約 確認 電話 電話 満足 あと 私 たち ホテル 箱根 森 車 満足
箱根の駅から少し離れていて山の上にあるので景色も良く周りも静かでのんびり過ごせました。露天風呂の種類が多く広々としていて景色を眺めながらのお風呂はとても良かったです。,2019-08-24,箱根 駅 山の上 景色 周り 静か 種類 景色
ツインの洋室でしたが、明るくて綺麗でした。窓際に一畳ほどの小上がりになっている畳みのスペースがあって、居心地が良かったです。脚をのばしたり、ごろんとねころんでも涼しくて快適でした。露天風呂は広いのですが階段で上がらなくてはいけないので、膝の悪い母はちょっと大変だったので3点。私は和食が好きなので十分でしたが、朝食はヨーグルトなどがあるとさらに良かったです。,2019-08-21,ツイン 洋室 綺麗 窓際 畳 上がり スペース 居心地 脚 ごろ 快適 階段 膝 母 大変 点 私 和食 好き 十分 朝食 ヨーグルト
以前お世話になった時子供が気に入りリピートしました。日帰り湯の湯の里やホテルおかだのお風呂にも入れてプールもあります。2泊しましたが、朝食は毎日同じラインナップでした。ホテルおかだの夏休みイベントにも参加できて子供は大満足でした。湯の里の食堂はメニューが少なく、うどんがなかったので子供が食べるものに困っていました。お部屋は広く、ゆったり使えました。,2019-08-19,以前 子供 リピート 日帰り 湯 湯の里 ホテル プール 泊 朝食 毎日 ラインナップ ホテル 夏休み イベント 参加 子供 満足 湯の里 食堂 メニュー うどん 子供
家族でいったのですが、部屋は綺麗なんですが、ベッドの辺りがタバコ臭かった。料理も美味しかったし、お風呂も色んな種類に入れたので良かったです。,2019-08-16,家族 綺麗 ベッド 辺り タバコ 種類
毎年 旅行をしていて、 今回は箱根へ行きたいとの事だったので おかださんへ宿泊させて頂きました。箱根湯本から100円の有料送迎バスが出ているのも嬉しかったです。大人6人だったので お部屋が少し狭いかな？と思いましたが、 そんなことも無く 寛げました。夜のお料理はお刺身や天ぷらのお料理でとても美味しかったです。朝のご飯はバイキングだったのですが、 メインのお料理がもう少し選べる様にして欲しかったかな？と思いました。お風呂は露天風呂になっていて星空が凄く綺麗でしたサウナも嬉しかったです。また利用させて下さい。,2019-08-16,毎年 箱根 事 宿泊 箱根湯本 円 有料 送迎 バス 大人 人 ? 夜 刺身 天ぷら 朝 ご飯 バイキング メイン 様 ? 星空 綺麗 サウナ
はなれ、「ふるさと」を利用しました。小学生・年中・０才乳児・夫婦・義母の６人で泊まったのですが、先ずはお値段以上にお部屋が広い。６〜８畳くらいの部屋が３部屋あり、１部屋は横に足湯がついてます。足湯は言うまでもなく、最高です。長湯が出来ない子供たちも、何度もお湯に足を入れてました。ご飯は少ないと口コミで見かけたのですが、すごいボリュームで嬉しい悲鳴でした。お刺身に天ぷらにお肉にデザートに、子供たちも大喜びでした。チェックインの時にフロントに居た方がとても良い方で、荷物を運ぶのを手伝ってくれました。と言うのも、部屋があるのはちょっと階段があるところなので。パパだけだと大変だったかも。はなれなので他の方に迷惑になることもなく、気持ち良く泊まれました。また行きます、ありがとうございました。,2019-08-15,ふるさと 小学生 年中 才 乳児 夫婦 義母 人 値段 以上 〜 畳 横 足湯 足湯 最高 長湯 子供 たち 度 お湯 足 ご飯 口コミ ボリューム 悲鳴 刺身 天ぷら デザート 子供 たち 喜び チェックイン フロント 荷物 階段 パパ 大変 他 迷惑
広い敷地だったので移動に大変でした。お部屋は写真で見たより古かった。孫達はプールも満喫しお風呂も大喜びとても楽しめたようでよかったです。夜プールでカエルの歌の合唱が。夜はカエル達のプールになるんですかねぇ。ホテル内で充分楽しめちゃうので大人は楽です,2019-08-08,敷地 移動 大変 写真 孫 達 プール 満喫 喜び 夜 プール カエル 歌 合唱 夜 カエル 達 プール ホテル 内 大人 楽
クーラーからの悪臭（カビ臭?）が凄すぎて、部屋に入ってすぐに窓を開けました。真夏にクーラーを止めるわけにもいかず臭いのを我慢。寝るまでテレビを付けていたせいか気が付かなかったのですが、クーラーの音が爆音！ベッドの真上にあるから…。クーラーからの悪臭（カビ臭?）と騒音で何度目が覚めたことか！喫煙部屋だからとじゃないとおもいます。他の施設でも必ず喫煙部屋に泊まるので、こんな事始めてです。お風呂は露天がとても良かったです。食事は居酒屋で和定食を食べた感じ。朝食は和食のバイキング。パン派の私には…。,2019-08-02,クーラー 悪臭 ( カビ 臭 ?) 窓 真夏 クーラー 我慢 テレビ せい クーラー 音 爆音 ベッド 真上 クーラー 悪臭 ( カビ 臭 ?) 騒音 度目 喫煙 他 施設 喫煙 事始め 露天 食事 居酒屋 和 定食 感じ 朝食 和食 バイキング 派 私
温泉がとてもきれいで、露天風呂もいろいろあって満足でした。本館ではなく、はなれの宿でしたので、売店の物が少なかったのはマイナス点です。,2019-08-01,きれい 満足 本館 宿 売店 物 マイナス 点
スタッフの方が皆さん親しみやすく、優しかったです。(フロントからレストラン等)ほのぼの、ゆったりした気分で楽しかったです。食事も、暖かいものが多く、美味しかったです！夕飯の天ぷら熱々で幸せ、部屋も広くて綺麗でした。素敵な旅行になりました。ありがとうございます！また、行きたいです！,2019-07-29,皆さん ( フロント レストラン 等 ) 気分 食事 夕飯 天ぷら 熱々 幸せ 綺麗 素敵
学生時代の友人との旅行に利用です。CS面につきましては、チェックイン前の女性スタッフの対応と愛想がとても素敵でした。ただ、チェックイン時にまだ日本語が不馴れな外国人スタッフを1人フロントにたたせ対応させていたのが残念でした。後で出てきた横にいるスタッフも特に干渉せず。チェックイン前に荷物を預けましたが部屋入がされていませんでした。ただ、フロントに電話したらすぐに届けてくれました。ES面につきましては、天井クロスが切り貼り等がありエアコン配管の結露？のせいかカビでるようで天井1面くらい平日売り止めで張り替えればと思うところです。朝食につきましては、隣のホテルおかだで頂きましたが、種類も豊富であり献立や味も良かったです。温泉は日帰りもやっているようで広く最高でした。,2019-07-21,学生 時代 友人 CS 面 チェックイン 前 女性 愛想 素敵 チェックイン 日本語 不馴れ 外国 人 人 フロント 残念 横 干渉 チェックイン 前 荷物 入 フロント 電話 ES 面 天井 クロス 切り貼り 等 エアコン 配管 結露 ? せい カビ 天井 面 平日 止め 朝食 隣 ホテル 種類 豊富 献立 味 日帰り 最高
本館、別館のお風呂両方とも使えるお宿で別館に宿泊しました。広い敷地内の行き来は坂もあり湯上りにはちょっと疲れますが運動不足になりがちな旅行で敷地内散歩が出来ると思えば苦ではありません湯本駅からも近く、近隣に食べ物屋お土産屋も豊富で飽きませんが宿の食事も良かったです。マッサージも大変気持ちよかったです。お値段が安くて心配してましたが、断然お得で父も旦那様も満足でした。本館のお風呂に最後にもう一度入りたかったなー。東京から近く便利で、このお値段で、駅近、いう事なしです。,2019-07-11,本館 別館 両方 宿 別館 宿泊 敷地 内 行き来 坂 湯上り 運動 不足 がち 敷地 内 散歩 苦 湯本 駅 近隣 食べ物 屋 土産 屋 豊富 宿 食事 マッサージ 大変 値段 心配 得 父 旦那 様 満足 本館 最後 東京 近く 便利 値段 駅 事
お食事も満足でしたし、温泉も良かったです。貸切風呂を利用しましたが、とても気持ちが良かったです。また、普通の大浴場、露天風呂も利用しましたがさすがというクオリティ。また利用したいと思います。,2019-06-20,食事 満足 貸切 気持ち 普通 浴場 クオリティ
箱根の森おかだに宿泊でしたが、ホテルおかだ経由で箱根の森に連れて行かれるスタイルでした、フロントの落差に少しええって思いましたが部屋は広く眺めも良かったので少し安心しました。箱根の森の温泉場所まで行く通路に毛虫がいたので、イヤでした。,2019-06-11,箱根 森 宿泊 ホテル 経由 箱根 森 スタイル フロント 落差 眺め 安心 箱根 森 場所 通路 毛虫 イヤ
別棟のお風呂が、とても気持ちよかったです。お部屋もゆったり寛げて日頃の疲れがとれました。食事も充実していて、大満足。,2019-06-09,別棟 日頃 疲れ 食事 充実 満足
友人や家族と大人数でゴールデンウィーク中の箱根旅行で利用しました。コスパもよく、お料理もお風呂もとても良かったです。また利用したいと思います。,2019-05-23,友人 家族 大人 数 ゴールデンウィーク 箱根 パ
もう何度目でしょうか、安くて、ご飯も私たちにはちょうど良く。なんといっても、オカダのお風呂が大好きなのです。お風呂の後のお茶と梅干のサービスや、足湯も気持ちよく、またいつも早めについてしまって、箱根の森のお風呂に行ったりいているのですが、早めのチェックインも気持ちよく答えてくださって、感謝です。いつもありがとうございます、と言っていただけたのも嬉しく、きれいに帰らなくちゃ、と思ったのでした。また夏行きます。,2019-05-16,度目 ご飯 私 たち オカダ 大好き 後 お茶 梅干 サービス 足湯 早め 箱根 森 早め チェックイン 感謝 きれい 夏
いつも夏行くのですが、今回は娘の誕生日祝いで宿泊しました。バースデーケーキプレゼントは嬉しかったです。二人であのケーキは大き過ぎでお腹いっぱいでした。せっかくご用意して頂いたのですが、そのケーキに関する一セットを朝まで部屋に置いておいて下さいと言われたのですが、さすがにナイフが朝まで部屋にあるのは怖くてフロントにお返ししました。ちょうど外国人さんのお客様がいっぱいいらしてお忙しいところ、ご対応ありがとうございました。そのまま湯の里で入浴し、部屋に戻ると生クリームの香りが残っており、またお腹いっぱい感が戻った感じがしました。ケーキプレゼントはとても嬉しいので、あのナイフの問題さえ無ければバッチリだと思います。もう少し小さいケーキでも構わないと思うので、なんとか朝までナイフを部屋に置いておかない方法があれば検討して頂きたいと思いました。このプランは初めてだった為、せっかくのおかださんからのサプライズをチェックインの時に誕生日の証明の書類を提示しなくていいのか娘の前で聞いてしまってすみませんでした。娘は知っていましたが、お心遣いありがとうございました。夏行くよりもとても空いていて、お風呂は貸し切り状態でゆっくり入れました。外も若葉の緑がきれいでした。実はケーキを食べる為に夕飯をかなり残しました。すみませんでした。来年も又、行きます！おかださんは第二の実家のようです。どうぞ宜しくお願いします！ステキなお心遣いをありがとうございました。,2019-05-14,夏 娘 誕生 日 祝い 宿泊 バースデーケーキプレゼント 人 過ぎ お腹 いっぱい 用意 セット 朝 ナイフ 朝 フロント お返し 外国 人 お客様 ぱいいらしてお 湯の里 入浴 生クリーム 香り お腹 いっぱい 感 感じ プレゼント ナイフ 問題 朝 ナイフ 方法 検討 プラン 為 サプライズ チェックイン 誕生 日 証明 書類 提示 娘 前 娘 心遣い 夏 貸し切り 状態 外 若葉 緑 きれい 為 夕飯 来年 実家 お願い ステキ 心遣い
口コミを見て建物が古いということは承知していましたが、思っていたより部屋と廊下など清潔にしてあり、また、部屋の大きな窓からの眺めも良く、大変良かったです。家族みんながお風呂が好きなので、たくさんある露天風呂とホテルおかださんのお風呂も利用でき、大満足でした。夕食は品数もあり、揚げたての天ぷらも美味しく、ご飯もおかわりができ、満足しました。朝食は洋食が良かったので、ホテルおかださんの朝食バイキングを選択させて頂きました。こちらも大変品数があり、大変満足しました。気になった点、壁が薄いせいなのか、隣の部屋の物音が時々ゴトゴトとしてました。でも、割安感と満足感で何の問題もありません。また利用させて頂きたいと思います。ありがとうございました！,2019-05-04,口コミ 建物 承知 廊下 清潔 窓 眺め 大変 家族 みんな 好き たくさん ホテル 満足 夕食 揚げたて 天ぷら ご飯 かわり 満足 朝食 洋食 ホテル 朝食 バイキング 選択 大変 大変 満足 気 点 壁 せい 隣 物音 ゴトゴト 割安 感 満足 感 問題
子供と２人で初めて利用させて頂きました。ＧＷ期間で箱根なのに、お値段がお手頃価格だったので行くまでは正直疑ってましたがお風呂もお食事もとても良かったです。お宿は、送迎バス降りてホテルおかださんの中を通ってエレベーター乗ってエスカレーター乗ってと遠いですが、夜は静かで寝床がかわるとなかなか寝れないのですが朝までぐっすり寝れて朝食もお腹いっぱい食べれてとても良い旅行になりました。露天風呂もとても広くゆっくりのんびりと久々の長湯させてもらいました。部屋にあったマッサージ器も、ありがたかったです。湯本の駅まで送迎バスですぐなので、そのあとの行動もとても楽でした。また、来たいねと子供と話ながら帰ってきました。接客も、過剰に良すぎるのも私は苦手なので普通だったのが良かったです。プラン名通りの旅行でした。不満な所を強いて言うとしたら、朝食に洋食もあったら良かったかなと思います。,2019-05-04,子供 人 GW 期間 箱根 値段 手頃 価格 正直 食事 宿 送迎 バス ホテル エレベーター エスカレーター 夜 静か 寝床 朝 朝食 久々 長湯 マッサージ 器 湯本 駅 送迎 バス あと 行動 楽 いね 子供 話 接客 過剰 私 苦手 普通 プラン 名 通り 不満 所 朝食 洋食
部屋は喫煙できるタイプを選びましたが、禁煙ルームに案内されがっかりしました。最近、全室禁煙の宿が増えているので、こちらも全室禁煙になったのかも知れませんが、プランを選ぶ際に書いてありませんでした。露天風呂は広くとても良かったです。アメニティが豊富だと更に良いと思いました。,2019-04-26,喫煙 タイプ 禁煙 ルーム 案内 最近 室 禁煙 宿 室 禁煙 プラン 際 アメニティ 豊富
今回の旅行は温泉重視の旅で利用させていただきました！サウナも貸し切り状態でとてもゆっくりできました。宿泊者は次の日も湯の里を利用できるのもとても魅力的だと思います。ありがとうございました！,2019-04-20,重視 旅 サウナ 貸し切り 状態 宿泊 者 次 日 湯 里 魅力 的
久々に伺いました。温泉が色々とあり楽しめました。ただ隣の部屋の音が全部聞こえていました。ある意味古さを感じました,2019-04-17,久々 隣 音 全部 意味
夕食が美味しい風呂がオススメまた行きたいと思いましたただ、宿周辺の道が狭い 渋滞も多い,2019-04-16,夕食 オススメ 宿 周辺 道 渋滞
2歳と0歳の子どもを連れて、両親と私たち家族4人の計6人で利用しました。部屋は「和洋室」とあったので、勝手に和室には障子があって部屋と部屋を仕切れると思っておりましたが、実際はひと続きの部屋でした。夜の授乳などは障子を閉めてしようと考えていたので、これは非常に想定外でした。なので、部屋評価低めです。ただ、部屋には広い窓があり、眺めは緑が目に鮮やかで、気持ち良かったです。温泉は種類が多く気持ちよいし、貸切りの家族風呂もあって、小さな子ども連れでも周りに気兼ねすることなく温泉が楽しめるのも最高です。スタッフの方も、こちらの相談・要望を丁寧に聞いて対応してくださりおもてなしが素晴らしいですし、お料理のボリューム・味とも大満足でした。温泉を楽しむには申し分ない宿です。,2019-04-07,歳 歳 子ども 両親 私 たち 家族 人 人 和洋 室 勝手 和室 障子 仕切 ひと 続き 夜 授乳 障子 非常 想定 外 評価 低め 窓 眺め 緑 目 鮮やか 種類 多く 貸切り 家族 子ども 連れ 周り 気兼ね 最高 相談 要望 丁寧 おもてなし ボリューム 味 満足 申し分 宿
年2回位のペースで箱根旅行をしており色々なホテルを見てきましたが他のホテルに比べリーズナブルなお値段と露天風呂の広さが1番だったので、また利用させていただきました。2度目の利用ですがやはり最高の露天風呂でした。温泉からは桜がライトアップされており眺めも本当に良かったです。お食事の和牛ステーキも柔らかくとても美味しかったのですがバターで焼くとお肉の油とバターで油っこくなってしまったので少々後悔しましたので油っこいのが苦手な方にはバターを使用しない事をオススメ致します。後1点気になったのが隣や廊下などからの声は気にならなかったのですが…上の部屋から洗濯機の様なガタガタガタと音が聞こえてきたのが気になりました。参考の為に書かせていただきましたが接客も丁寧でとても良かったのでまた利用させていただきたいと思います。ありがとうございました！,2019-04-04,年 回 位 ペース 箱根 色々 ホテル 他 ホテル リーズナブル 値段 番 度目 最高 桜 ライトアップ 眺め 食事 和牛 ステーキ バター 油 バター 後悔 苦手 バター 使用 事 オススメ 後 点 気 隣 廊下 声 気 上 洗濯 機 様 ガタガタガタ 音 気 参考 為 接客 丁寧
