口コミ,投稿日
食事無しの宿泊のみで利用しました。1番奥のホテルだったのでコンビニで買い物してから利用した方が良いです  ２つの温泉を行き来できてどちらも広くて開放的で良かったです。,2019-10-24
お風呂が風情ある大きな露天風呂で本当に最高、、、湯本の温泉なので少し塩素で乾燥する感じはありますが、逆を返せば消毒がきいており安心して入浴できます。夜のお食事はどれから食べようかと迷うくらい豪華。白米と味噌汁は申告制なんでしょうか？朝も、おいしい干物と温泉卵を楽しめるバイキング！ちょうどいい品数で食べすぎず、朝から色々なお料理を食べられて幸せでした。部屋も二人では贅沢なくらい広々で、また、窓のそばのドレッサーが朝メイクするのにとてもちょうど良い採光でした笑箱根湯本の旅行の醍醐味を満喫できる宿です。とてもおすすめ。,2019-10-20
台風19号接近中でしたが連休取れたのでせっかくなので行ってきました。なんとか雨降る前に着いてまず温泉を戴きました。表記上だとアルカリ泉とありましたが特有のツルリ感はありませんでしたがホームページで見た感じのとても良いお風呂でした。特に寝湯の気泡風呂は良かったです。夜ご飯は少し遅めの19時にしてもらいました。食事はもちろん美味しく、ゴハンのおかわりなど声もかけてくださりスゴく良くしてくださいました。朝御飯はビュッフェでしたが、本当はスクランブルエッグも欲しかったけど十分に楽しめたし美味しかったです。また近く行く際はリピートさせてもらいたいです。,2019-10-14
夜九時まで夕飯対応してくれるとの事だったので、結婚式の後に温泉で疲れを癒そうとこちらを予約しました。乗り合いバスを降りてから長い道のりを歩き、ようやくたどり着いたホテルは一見大き目のペンションのようでちょっと嫌な予感。ドアを開けるとものすごいアンモニア臭。部屋の中はものすごいカビ臭。エアコンの掃除してるのでしょうか・・・。部屋の壁紙もカビだらけです。エアコンを消して備え付けの消臭スプレーをまき散らすといくらか落ち着きましたが、結婚式の幸せな気分も一緒に消えてなくなりました。しかも山の上で眺望もよさそうだと思っていたら部屋は一階で植え込みに隠れて景色は見えず、おまけに横にはお客さんが通る階段。カーテン開けてたら中が見えそうです。朝になるとまた臭いが充満してきて、妻は歯磨きをしながら吐きそうになっていました。また、カビの胞子のせいか部屋にいる間は咳が出ていました。唯一お風呂の泉質は良かったと思いますが、お金を取って人に貸せる部屋ではないと思います。それから、レイトチェックアウトのプランで申し込んだつもりでしたが、チェックアウトは通常通り10時との用紙をいただきました。今回値段ではなく、夕食対応でホテルを決めたのですがこれならコンビニで弁当でも買って別のホテルに素泊まりにすればよかったです。,2019-10-01
５回目の利用になります。今回初めて娘をつれて二人旅で2泊お世話になりました。食事なしでもレストランがあるのでそちらで充分ですが、料金的には食事つきにしたほうが良いのかもと思います。こちらの温泉はゆっくり入れて大好きです。日帰りでも何度か利用させていてますが、今回も温泉三昧でお肌もしっとり。娘も喜んでいました。また娘をつれて行きます。,2019-09-25
盆休みを利用して利用。　　我が家は全員、和洋室が大好きなのでとても満足の部屋でした。　岡田屋の本館よりも割安で、布団を自分で引くのですがレイアウトを自由に決められので、いつもと違うレイアウトにできました。　間夏真っ盛りでしたので、3階の連絡口から直接で行けるプールは親子連れでにぎわっておりました。　プールはそれほど混んでおらず、浮き輪に浮いてのんびり過ごせていい感じです。来年は2泊でもっとのんびりしたいと思います。,2019-09-18
21時まで夕食が大丈夫とのことで宿とプランを選びましたが、部屋は昭和な内装。所々、壁紙が剥がれていて部屋中全てが湿っている。布団も床のカーペットも。新しく内装が変わったというのを見かけましたが、内装を新しくした部屋には通されず古い方の部屋に案内されるなら、その旨をプランに明記してほしかった。ベッド脇の机にはベタベタした液体がついていた。もう二度と泊まりません。併設されていたスパは気持ちよかったのに残念です。,2019-09-03
初めて利用させて頂きました。ホテルおかださんには4年程前に宿泊し 箱根の森おかださんのお風呂も入らせて頂いたので お風呂は変わらずに 色々な種類があり楽しめました。ただお部屋が入って直ぐに タバコ臭い感じがして トイレはアンモニア臭が充満していた為 廊下のトイレを利用しました。食事は朝食バイキングで パンやフルーツが無かったのが寂しかったです。カラオケは安い金額で 楽しませて頂きました。,2019-09-02
ホテルおかだのお風呂も両方利用できるのでとても良かったです。ホテルおかだの方がアメニティが充実していますが，お風呂のバラエティーさからすると箱根の森です。,2019-08-29
神奈川生まれで、箱根湯本はいつも通過しており、初めての宿泊でした。これ程、温泉旅館が有るとは知りませんでした。それも谷間の一番奥深く、最後は急坂を登りきった宿でした。2階の部屋でしたが、遥か彼方に小田原が見下ろせる事に感動しました。幼児を連れて安心出来る和洋室を頼みますました。落ち着いて良い部屋でした。,2019-08-28
2泊3日でこの値段でかつしっかり4食ついてるのはほんとに有難かったです。ご飯も豪華でとても美味しかったです。事前に予約確認のお電話も頂いて電話の対応もよくてとても満足してます。あと、私たちが間違えてホテルおかだで降りてしまった時箱根の森おかださんがわざわざ車を出して迎えに来てくれたところもとてもよかったです。本当に満足してます。ありがとうございました！,2019-08-28
箱根の駅から少し離れていて山の上にあるので景色も良く周りも静かでのんびり過ごせました。露天風呂の種類が多く広々としていて景色を眺めながらのお風呂はとても良かったです。,2019-08-24
ツインの洋室でしたが、明るくて綺麗でした。窓際に一畳ほどの小上がりになっている畳みのスペースがあって、居心地が良かったです。脚をのばしたり、ごろんとねころんでも涼しくて快適でした。露天風呂は広いのですが階段で上がらなくてはいけないので、膝の悪い母はちょっと大変だったので3点。私は和食が好きなので十分でしたが、朝食はヨーグルトなどがあるとさらに良かったです。,2019-08-21
以前お世話になった時子供が気に入りリピートしました。日帰り湯の湯の里やホテルおかだのお風呂にも入れてプールもあります。2泊しましたが、朝食は毎日同じラインナップでした。ホテルおかだの夏休みイベントにも参加できて子供は大満足でした。湯の里の食堂はメニューが少なく、うどんがなかったので子供が食べるものに困っていました。お部屋は広く、ゆったり使えました。,2019-08-19
家族でいったのですが、部屋は綺麗なんですが、ベッドの辺りがタバコ臭かった。料理も美味しかったし、お風呂も色んな種類に入れたので良かったです。,2019-08-16
毎年 旅行をしていて、 今回は箱根へ行きたいとの事だったので おかださんへ宿泊させて頂きました。箱根湯本から100円の有料送迎バスが出ているのも嬉しかったです。大人6人だったので お部屋が少し狭いかな？と思いましたが、 そんなことも無く 寛げました。夜のお料理はお刺身や天ぷらのお料理でとても美味しかったです。朝のご飯はバイキングだったのですが、 メインのお料理がもう少し選べる様にして欲しかったかな？と思いました。お風呂は露天風呂になっていて星空が凄く綺麗でしたサウナも嬉しかったです。また利用させて下さい。,2019-08-16
はなれ、「ふるさと」を利用しました。小学生・年中・０才乳児・夫婦・義母の６人で泊まったのですが、先ずはお値段以上にお部屋が広い。６〜８畳くらいの部屋が３部屋あり、１部屋は横に足湯がついてます。足湯は言うまでもなく、最高です。長湯が出来ない子供たちも、何度もお湯に足を入れてました。ご飯は少ないと口コミで見かけたのですが、すごいボリュームで嬉しい悲鳴でした。お刺身に天ぷらにお肉にデザートに、子供たちも大喜びでした。チェックインの時にフロントに居た方がとても良い方で、荷物を運ぶのを手伝ってくれました。と言うのも、部屋があるのはちょっと階段があるところなので。パパだけだと大変だったかも。はなれなので他の方に迷惑になることもなく、気持ち良く泊まれました。また行きます、ありがとうございました。,2019-08-15
広い敷地だったので移動に大変でした。お部屋は写真で見たより古かった。孫達はプールも満喫しお風呂も大喜びとても楽しめたようでよかったです。夜プールでカエルの歌の合唱が。夜はカエル達のプールになるんですかねぇ。ホテル内で充分楽しめちゃうので大人は楽です,2019-08-08
クーラーからの悪臭（カビ臭?）が凄すぎて、部屋に入ってすぐに窓を開けました。真夏にクーラーを止めるわけにもいかず臭いのを我慢。寝るまでテレビを付けていたせいか気が付かなかったのですが、クーラーの音が爆音！ベッドの真上にあるから…。クーラーからの悪臭（カビ臭?）と騒音で何度目が覚めたことか！喫煙部屋だからとじゃないとおもいます。他の施設でも必ず喫煙部屋に泊まるので、こんな事始めてです。お風呂は露天がとても良かったです。食事は居酒屋で和定食を食べた感じ。朝食は和食のバイキング。パン派の私には…。,2019-08-02
温泉がとてもきれいで、露天風呂もいろいろあって満足でした。本館ではなく、はなれの宿でしたので、売店の物が少なかったのはマイナス点です。,2019-08-01
スタッフの方が皆さん親しみやすく、優しかったです。(フロントからレストラン等)ほのぼの、ゆったりした気分で楽しかったです。食事も、暖かいものが多く、美味しかったです！夕飯の天ぷら熱々で幸せ、部屋も広くて綺麗でした。素敵な旅行になりました。ありがとうございます！また、行きたいです！,2019-07-29
学生時代の友人との旅行に利用です。CS面につきましては、チェックイン前の女性スタッフの対応と愛想がとても素敵でした。ただ、チェックイン時にまだ日本語が不馴れな外国人スタッフを1人フロントにたたせ対応させていたのが残念でした。後で出てきた横にいるスタッフも特に干渉せず。チェックイン前に荷物を預けましたが部屋入がされていませんでした。ただ、フロントに電話したらすぐに届けてくれました。ES面につきましては、天井クロスが切り貼り等がありエアコン配管の結露？のせいかカビでるようで天井1面くらい平日売り止めで張り替えればと思うところです。朝食につきましては、隣のホテルおかだで頂きましたが、種類も豊富であり献立や味も良かったです。温泉は日帰りもやっているようで広く最高でした。,2019-07-21
本館、別館のお風呂両方とも使えるお宿で別館に宿泊しました。広い敷地内の行き来は坂もあり湯上りにはちょっと疲れますが運動不足になりがちな旅行で敷地内散歩が出来ると思えば苦ではありません湯本駅からも近く、近隣に食べ物屋お土産屋も豊富で飽きませんが宿の食事も良かったです。マッサージも大変気持ちよかったです。お値段が安くて心配してましたが、断然お得で父も旦那様も満足でした。本館のお風呂に最後にもう一度入りたかったなー。東京から近く便利で、このお値段で、駅近、いう事なしです。,2019-07-11
お食事も満足でしたし、温泉も良かったです。貸切風呂を利用しましたが、とても気持ちが良かったです。また、普通の大浴場、露天風呂も利用しましたがさすがというクオリティ。また利用したいと思います。,2019-06-20
箱根の森おかだに宿泊でしたが、ホテルおかだ経由で箱根の森に連れて行かれるスタイルでした、フロントの落差に少しええって思いましたが部屋は広く眺めも良かったので少し安心しました。箱根の森の温泉場所まで行く通路に毛虫がいたので、イヤでした。,2019-06-11
別棟のお風呂が、とても気持ちよかったです。お部屋もゆったり寛げて日頃の疲れがとれました。食事も充実していて、大満足。,2019-06-09
友人や家族と大人数でゴールデンウィーク中の箱根旅行で利用しました。コスパもよく、お料理もお風呂もとても良かったです。また利用したいと思います。,2019-05-23
もう何度目でしょうか、安くて、ご飯も私たちにはちょうど良く。なんといっても、オカダのお風呂が大好きなのです。お風呂の後のお茶と梅干のサービスや、足湯も気持ちよく、またいつも早めについてしまって、箱根の森のお風呂に行ったりいているのですが、早めのチェックインも気持ちよく答えてくださって、感謝です。いつもありがとうございます、と言っていただけたのも嬉しく、きれいに帰らなくちゃ、と思ったのでした。また夏行きます。,2019-05-16
いつも夏行くのですが、今回は娘の誕生日祝いで宿泊しました。バースデーケーキプレゼントは嬉しかったです。二人であのケーキは大き過ぎでお腹いっぱいでした。せっかくご用意して頂いたのですが、そのケーキに関する一セットを朝まで部屋に置いておいて下さいと言われたのですが、さすがにナイフが朝まで部屋にあるのは怖くてフロントにお返ししました。ちょうど外国人さんのお客様がいっぱいいらしてお忙しいところ、ご対応ありがとうございました。そのまま湯の里で入浴し、部屋に戻ると生クリームの香りが残っており、またお腹いっぱい感が戻った感じがしました。ケーキプレゼントはとても嬉しいので、あのナイフの問題さえ無ければバッチリだと思います。もう少し小さいケーキでも構わないと思うので、なんとか朝までナイフを部屋に置いておかない方法があれば検討して頂きたいと思いました。このプランは初めてだった為、せっかくのおかださんからのサプライズをチェックインの時に誕生日の証明の書類を提示しなくていいのか娘の前で聞いてしまってすみませんでした。娘は知っていましたが、お心遣いありがとうございました。夏行くよりもとても空いていて、お風呂は貸し切り状態でゆっくり入れました。外も若葉の緑がきれいでした。実はケーキを食べる為に夕飯をかなり残しました。すみませんでした。来年も又、行きます！おかださんは第二の実家のようです。どうぞ宜しくお願いします！ステキなお心遣いをありがとうございました。,2019-05-14
口コミを見て建物が古いということは承知していましたが、思っていたより部屋と廊下など清潔にしてあり、また、部屋の大きな窓からの眺めも良く、大変良かったです。家族みんながお風呂が好きなので、たくさんある露天風呂とホテルおかださんのお風呂も利用でき、大満足でした。夕食は品数もあり、揚げたての天ぷらも美味しく、ご飯もおかわりができ、満足しました。朝食は洋食が良かったので、ホテルおかださんの朝食バイキングを選択させて頂きました。こちらも大変品数があり、大変満足しました。気になった点、壁が薄いせいなのか、隣の部屋の物音が時々ゴトゴトとしてました。でも、割安感と満足感で何の問題もありません。また利用させて頂きたいと思います。ありがとうございました！,2019-05-04
子供と２人で初めて利用させて頂きました。ＧＷ期間で箱根なのに、お値段がお手頃価格だったので行くまでは正直疑ってましたがお風呂もお食事もとても良かったです。お宿は、送迎バス降りてホテルおかださんの中を通ってエレベーター乗ってエスカレーター乗ってと遠いですが、夜は静かで寝床がかわるとなかなか寝れないのですが朝までぐっすり寝れて朝食もお腹いっぱい食べれてとても良い旅行になりました。露天風呂もとても広くゆっくりのんびりと久々の長湯させてもらいました。部屋にあったマッサージ器も、ありがたかったです。湯本の駅まで送迎バスですぐなので、そのあとの行動もとても楽でした。また、来たいねと子供と話ながら帰ってきました。接客も、過剰に良すぎるのも私は苦手なので普通だったのが良かったです。プラン名通りの旅行でした。不満な所を強いて言うとしたら、朝食に洋食もあったら良かったかなと思います。,2019-05-04
部屋は喫煙できるタイプを選びましたが、禁煙ルームに案内されがっかりしました。最近、全室禁煙の宿が増えているので、こちらも全室禁煙になったのかも知れませんが、プランを選ぶ際に書いてありませんでした。露天風呂は広くとても良かったです。アメニティが豊富だと更に良いと思いました。,2019-04-26
今回の旅行は温泉重視の旅で利用させていただきました！サウナも貸し切り状態でとてもゆっくりできました。宿泊者は次の日も湯の里を利用できるのもとても魅力的だと思います。ありがとうございました！,2019-04-20
久々に伺いました。温泉が色々とあり楽しめました。ただ隣の部屋の音が全部聞こえていました。ある意味古さを感じました,2019-04-17
夕食が美味しい風呂がオススメまた行きたいと思いましたただ、宿周辺の道が狭い 渋滞も多い,2019-04-16
2歳と0歳の子どもを連れて、両親と私たち家族4人の計6人で利用しました。部屋は「和洋室」とあったので、勝手に和室には障子があって部屋と部屋を仕切れると思っておりましたが、実際はひと続きの部屋でした。夜の授乳などは障子を閉めてしようと考えていたので、これは非常に想定外でした。なので、部屋評価低めです。ただ、部屋には広い窓があり、眺めは緑が目に鮮やかで、気持ち良かったです。温泉は種類が多く気持ちよいし、貸切りの家族風呂もあって、小さな子ども連れでも周りに気兼ねすることなく温泉が楽しめるのも最高です。スタッフの方も、こちらの相談・要望を丁寧に聞いて対応してくださりおもてなしが素晴らしいですし、お料理のボリューム・味とも大満足でした。温泉を楽しむには申し分ない宿です。,2019-04-07
年2回位のペースで箱根旅行をしており色々なホテルを見てきましたが他のホテルに比べリーズナブルなお値段と露天風呂の広さが1番だったので、また利用させていただきました。2度目の利用ですがやはり最高の露天風呂でした。温泉からは桜がライトアップされており眺めも本当に良かったです。お食事の和牛ステーキも柔らかくとても美味しかったのですがバターで焼くとお肉の油とバターで油っこくなってしまったので少々後悔しましたので油っこいのが苦手な方にはバターを使用しない事をオススメ致します。後1点気になったのが隣や廊下などからの声は気にならなかったのですが…上の部屋から洗濯機の様なガタガタガタと音が聞こえてきたのが気になりました。参考の為に書かせていただきましたが接客も丁寧でとても良かったのでまた利用させていただきたいと思います。ありがとうございました！,2019-04-04
巡回バスに乗り宿まで行けますが、またバスに乗り奥の建物へ。部屋も古く頑張っている感じはありますが、フロントの対応、誰もおらず金を鳴らす、奥で話し声。また、ならす話し声のまま現れ、お待たせしましたもなく接客。安いから仕方ないか、料理まあまあ接客悪し,2019-04-01
この度、小４の息子と泊まりました！仕事が終わってから学童に迎えに行き、遅いﾁｪｯｸｲﾝ、夕飯着き、朝寝坊にﾋﾟｯﾀﾘの遅めのﾁｪｯｸｱｳﾄﾌﾟﾗﾝ！お部屋も広く、ご飯も美味しく！お風呂も大満足でした！隣接してるホテルおかだにも泊まった感が味わえ、得した気分です！息子も、ゆっくり寝れて、慌ててﾁｪｯｸｱｳﾄせずにでき、とてもリフレッシュ出来ました！価格もお財布に優しく。部屋にWi-Fiも飛んでたのも助かりました。(金)の夜にﾁｪｯｸｲﾝだったのも正解でした！スムーズに到着し、帰りも渋滞にハマる事もなく。我が家から一時間もせずに行ける箱根。また、利用させて頂きたいと思います。ありがとうございました！,2019-03-18
友達との温泉旅行で利用しました。繁忙期とのこともあって少々料金は高めでしたが、温泉、お部屋、食事共にとても質がよかったのでむしろお得な気さえしました笑 ホテルまでのアクセスを気にしていましたが、箱根湯本から共同バスが出ているので問題ありませんでした。また機会があれば利用したいと思います。,2019-03-17
妹の誕生日プレゼントに箱根温泉に行きました。部屋ツイーンはリゾートな感じで良かったです。温泉ホテルだと部屋がたくさんあり、食事やお風呂に行くにも移動が遠くて大変ですが、建物スペースがこじんまりしていて、食事やお風呂に行くにも調度よい移動です。食事もバイキングではなく落ち着いて食事ができました。喫煙スペースがあり、とても良かったです。又利用させて頂きます。,2019-03-11
この度、ご近所仲間13人で利用させていただきました。お風呂が良いのは口コミで把握していましたが、なにぶんにも料金が安価であったので、幹事の私としてはとても心配でしたが、とんだ取り越し苦労でした。お風呂は口コミ通り最高でしたし、和洋室の大きめの2台のベットと、十分すぎるほどの広い部屋も仲間内では高評価でした。また、朝夕の食事も品数や味含めて申し分無く、美味しくいただきました。今後、箱根へ再度訪れるときは、間違いなくもう一度利用させていただきます。有り難うございました。,2019-03-10
箱根の温泉に初めて行きました。部屋はビジホのような感じで基本禁煙ですが家族が喫煙者だったので、問い合わせたところ喫煙にして頂けました。日帰り温泉施設なのでお風呂の種類が沢山ありました。泉質はさておき温泉の雰囲気は充分楽しめるかと思います。外国人さんや若い学生さんが多かった。夕飯は美味しかったです。女性で充分お腹いっぱいになりましたが食べ盛り男性にはちょっと足りないかもしれません。以下余談当日家を出た時に足を捻挫してしまい夜には腫れ上がってどうしたもんかと思ったらフロントの男性の方にとても親切にしていただいて捻挫した箇所をテーピングして頂きました。おかげさまで翌日は腫れも治まり無事に帰宅出来ました。その節は本当にありがとうございました。とても良い思い出になりました。,2019-03-08
友達との温泉旅行で利用しました。ホテルの立地は入り組んだところにあるので、どこの受付にいればいいのか少し迷いましたが、対応していただいたスタッフさんがとても親切で良かったです。離れを利用しましたが、床暖房と足湯が付いていてくつろげました。ただお風呂場へ少し距離があります。水周りは広々としていて使いやすかったです。朝食はシンプルな和食で、飲み物は温かい緑茶と水のみでした。品数はあまり多くありませんでしたが、お部屋から会場が近くて助かりました。主な目的は広い温泉にみんなで入ることでしたが、離れのお部屋がとても快適でいい旅行になりました。また利用したいです。,2019-03-06
楽しかったです。ただ、渡り廊下の先が野外プールつながりでご飯とお風呂の度、外に出るのが毎回寒かったです。外からの風がいかないつながり設備だと嬉しいです。ご飯は満足も不満もなく安定したものでした。楽しみもなく、瓶の男梅酒の写真だったから瓶でくると思いきや、瓶でなかったのがとても残念でした。天ぷらは気を使うので１つのお皿に何人ぶんより、小分けにして欲しかったです。,2019-02-27
    併設されている温泉施設が湯の数も多くとても楽しめました。近頃、旅館に泊まっても湯船が大きめなのが1つあるだけで物足りなく感じていたので…余計に良く感じた。女性同士ならやっぱりお風呂でゆっくりおしゃべりしたり、休み何処が充実していたほうが嬉しいですよね。お部屋も前の口コミの方が色々書いていたので…少し心配していましたが最初から小さなホテルのほうが落ち着いて良いかなって予約を入れたので満足。お掃除も行き届いてました。お食事も、このお値段で良くこんなに種類出せるなって思ったくらい…どれも美味しくいただきました。スタッフの方もムダな動きがなく、お返事も元気良くて感じもスゴい良かった。総合、また違う友達も誘って行きたいくらい気にいってしまいました。ありがとうございました。,2019-02-26
当日、シャトルバスに乗り違う場所で降りてしまい慌てて電話をするとすごく丁寧に対応していただいて、ハイエースで迎えに来てくれました。部屋はこじんまりとしていて清潔感のある部屋でした。お風呂もすごく良く肌に優しい温泉でした。箱根に行く際は是非また行きたいです。,2019-02-22
子供二人と祖父母で和洋室を利用しました。広くて清潔感もあり、良かったです。お風呂は隣の建屋の日帰り温泉施設を利用することになっており、少しだけ外を歩くことになりますが、まぁ、許容範囲です。でも、露天もあり、良かったです。夕飯は結構ボリュームがありました。子供にはお子様プレートを用意頂きましたが、天ぷらなども付けて頂き盛り沢山でした。朝のバイキングはシンプルですが美味しく頂きました。箱根はいつも混んでいるので、チェックイン前に芦ノ湖方面に行こうと思っていましたが渋滞が酷く諦めました。その分チェックインが少し早まりましたが、キチンと対応もしてくれました。,2019-02-17
温泉に入りたくなり急遽前日に予約。夫婦で素泊まり利用しました。お風呂は、併設されている湯の里おかだとホテルおかだの大浴場に入れるということで、湯の里おかだを利用しました。宿泊する建物からは渡り廊下のようなかんじで一旦外に出るので少し寒いですが、近いので気になりませんでした。露天風呂が大きく開放感があり、清掃もきれいにされていて気持ちよく入れたので良かったです。金曜日の宿泊でしたが、洗い場や脱衣所が広く、朝も夜も混雑せず快適でした。部屋は和室が満室だったのでツインベッドの洋室。口コミを見て古い建物ということは承知していましたが想像以上で、天井のエアコン周りがかなり黒ずみ汚れていたり、壁紙が剥がれていたり清潔感はあまり感じられませんでした。部屋に入ったときの匂いも少し気になりました。古いなりに洗面台やトイレなど基本的な清掃はきちんとされていていると思いますが、ハード面が古すぎて掃除だけではカバーしきれていない印象でした。嫌だったのは部屋にカメムシが出たこと。箱根は山に囲まれているので仕方ないのかもしれませんが...。今まで泊まった色々な宿で、部屋でこういう虫に遭遇したことはありません。こんな真冬に部屋に虫が出るというのは、なんらかの対策不足では。部屋の古さは全く気にならない、お風呂さえ良ければという方や、学生の合宿などであれば箱根にしてはお手頃で良いと思います。清潔感重視、特別な日の旅行であれば、本館のホテルおかだか、別の宿が良いと思いました。,2019-02-10
露天風呂が多く、楽しめた。お風呂場のシャワーブースも多く混雑に対応出来ている。マッサージを利用したが、ベテランの女性の指圧力に感動しました。,2019-02-09
箱根は何度も来てますが、こちらには初めて泊まりました。建物が古い感じはありますが、部屋もお風呂も清潔感がありました。ホテル間の送迎もスムーズでした。残念なところは、大浴場がある建物に行く間の通路が外で寒いこと、朝食にオレンジジュースやコーヒー、フルーツがあれば良かったと思いました。さみしい朝食バイキング…と感じましたが、夕食は美味しかったです。ゆっくり過ごせました。,2019-02-04
間違えて別のホテルに行ってしまいましたが、お迎えに来てくださいました。お風呂も種類があり楽しめました。,2019-02-02
初めての一人旅で箱根に行きました。予約の際に浴衣のサイズの要望を書いたところ予約後すぐに通常より大きいサイズ準備して下さるということでご連絡いただき、非常に丁寧な印象を受けました。旅館までは駅から少し遠く感じましたが、川沿いや山間を歩くので自然を感じられた為バスでは無く歩いていくのも良いと思います。旅館に着くと宿のことについて説明があり非常に丁寧な印象を受けました。宿の温泉には到着後と翌日朝食後に行きましたが、満室ということでしたがそもそもの部屋数が多くないこともあり、ほぼ貸し切りのような形で使えたのも一人旅には良かったです。強いて言えば、露天風呂の温度がもう少し高いとより気持ちの良いかなと感じました。お部屋自体も広いだけでなく非常に綺麗でよかったです。お部屋のポットには冷水も用意して有り、着いてすぐ一息つくのに良かったです。ただ、寝るときにエアコンと換気扇の音が少し気になりました。勿論、寝れない程とかではありませんが宿自体が静かだったこともあり、普段より気になってしまったのかなと思います。夕食付では無かったため、外食しに行ったのですがその際雨の予報があるということで傘を貸していただけました。天気予報の確認等していなかった為丁寧でありがたかったです。周辺にあまりお店もなく正直観光地ということもあり外食だと高くなりがちなので、夕食付があるのであればそちらの方が良いのかなとは思いました。気になった点では、トイレが部屋に無いのは元々分かっていたので問題なく、トイレ自体も綺麗だったのですが、宿自体が暖かかった為トイレがより寒く感じました。総評としては、宿もお部屋も非常に綺麗でスタッフの皆様も丁寧で心地よかったです。前述の通り、宿の温泉は広くないは無いですが時間を選べば1人で使える時間帯もあるのでゆっくりするのには非常に向いていると思います。,2019-12-24
プライベート空間がとてもしっかりしてて隠れ宿みたいないい所でした。温泉にも満足です♪いい時間を過ごせました♪,2019-12-12
