口コミ,投稿日
お盆休みに家族で初めて利用しました。子供は上が7歳、下が０歳の乳児です。まずお部屋に入った途端少し臭くジメジメしていました。天井に付いているエアコンをみると中がホコリだらけでここから出てくる風に浴びるのは嫌だな…と思いましたが暑かったので使いました。それと、お部屋の押し入れを開けると、明らかに使用済みのフェイスタオルが干してありすぐにフロントにもっていったら、受付の方は、ああwそうですかwと、笑いながら受け取っていました……。このご時世に、見知らぬ方の使用済みタオルが置いてあるのは凄く嫌な気持ちになりました。でも、部屋自体は、ベットの寝心地もよく畳も新鮮で居心地が良かったです！朝食は、物足りなかったです。夕食は大満足でした！美味しかったです！チェックアウト後に、上の子がプールにいくと言うので行っている間に下の子に授乳をしようと思い受付の方(初日とは別の方)に、授乳スペースやオムツ替えスペースは、ありますか？と聞いたら無表情で、ないです。ロビーでしてください。と言われ、正直ガッカリました……子連れを受け入れてる割に、子連れにはちょっと厳しい、歓迎されていない感じが残念でした。ですが、その後、受付に別の優しそうなおじさんがきたので、もう一度確認したところ、受付から1番近い部屋を開けて下さり、授乳させてくれました。ありがとうございましたプールも楽しく、温泉が売りということで温泉に行きたかったのですが、残念ながら私がその日は入れなかったので、また来ることがあれば次こそは入りたいです！少し気になるところも多くクレームぽく書いてしまいましたが、値段も安く家族風呂などもあり楽しい旅行でした！娘はまた来たいと言っていたので、機会があればよろしくお願いします(*^^*),2022-08-16
丁寧な言葉遣いで接客いただき安心しました。台風が来ていた事もあり、ゆっくり出来なかったのは残念です。一つ気になったのは、お風呂にいったり、食事したりと隣の日帰り入浴施設に行かれる際のアルコールや検温、食事どころの騒がしさが気になりました。急にコロナが増え、旅行の規制が無いとしてももう少し安心できると良かったです。,2022-08-15
部屋はとても綺麗で素晴らしかったです！ただ行くまでの道が駅かは歩くとほんとに遠いのでタクシーを使うのをオススメします！ 道の説明やレストランの説明などとても丁寧でした！おすすめです！,2022-08-14
急な予約でしたが空いてましたのでポチりました。温泉は露天風呂は良かったです。食事は普通です見た目豪華ではないです。1人の食事なので周りはグループばかりなのでやはり目は気にはなります。目立たない所に配置してもらえたら良かったなと思います。お風呂までにかなり距離がありますので足の悪い方は本館に泊まったほうが良いですね。,2022-08-13
おかだが取れずこちらを前日予約。おかだのお風呂が利用出来て良かったが徒歩で移動は雨天時は辛い。スパの方は本当によくある日帰り温泉。ご飯も少なかったので、少食の若い人向きかなと思う。,2022-08-12
お風呂が沢山あるということで伺いました。チェックイン前でも温泉施設を利用できるという事で、箱根散策はせずに駅から直行で向かいました。ホテルの隣に「湯の里おかだ」という日帰り温泉施設があり、そこで1日中楽しむことが出来ました。健康ランドのような感じで、沢山のお風呂があり、サウナがあり、休憩スペースがあり（漫画あり）、お食事処があり…昼食もそこで頂いたのですが、エビの天ぷらが凄く美味しかったです。エビも大きく衣もサクサクで感動しました。お風呂は露天風呂の種類が沢山あって開放感があり気持ちよかったです。プールもあり子供連れ家族が沢山利用していました。この施設とホテルは3階が渡り廊下で繋がっており、イン後も利用しやすく何回も行きました。また、隣の「ホテルおかだ」のお風呂も利用出来るので本当に温泉三昧でした。お部屋はベッドルームと和室の二間で広々使えました。お食事は…まぁ普通でした。朝食のバイキングはもう少し品数が欲しいところですね。フルーツとかデザート系は全く無かったですし。チェックアウト後も希望すれば湯の里おかだを利用できるようです。,2022-08-12
建物は古いです。プールも汚くて7月シーズンでも使えません。ご飯はぼちぼちです。お風呂は良いです。お値段妥当な感じでした。,2022-08-11
1年越しの娘との二人旅。色んな宿から予算と露天風呂を検討しこちらに泊まることに。お部屋は狭いけど、窓からの景色は良かったです。露天風呂も生憎の曇りで星空は観れませんでしたが、とても気持ち良かったです。残念なのは、景色の良い窓に備え付けてあったロールカーテンの角に大きな蜘蛛の巣があったこと。。。しかも埃がビッチリとついていて。。掃除が行き届いてないんだと思ったら、畳も布団も不衛生なんじゃないかと思ってしまい、部屋でゆっくり寛ぐ事は出来ませんでした。残念です。,2022-08-08
お風呂はサウナもあって気持ちよかったです。ただ朝食がバイキングでしたが、物足りなかったので残念でした。,2022-08-04
彼と箱根の森おかだ　さんにお泊りさせて頂きました。夕食とても満足しました！揚げたて天ぷら大変美味しくて！全て満足です！温泉もゆっくりつかれてまた来たいなと思いました！スタッフさんも凄く丁寧な接客でしたし。色々ありがとうございました！,2022-07-31
大人1人、子供2人(小5、中2)でいきました。プールですが、子供2人楽しそうに過ごしていました！温泉ですが、気持ち良かったですがもう少しバリエーションがあればもっとよかったように思います。あと、食事は夕食、朝食ともとても美味しかったです。,2022-07-30
お部屋も広く、BSやYouTubeなどがテレビで見れて、部屋にいても全然飽きず快適に過ごせました。温泉施設につながっていて、ゲームコーナーや漫画見放題の部屋などがあり、ゆったり過ごせます。施設はとても綺麗で、夕飯はそこの施設のレストランでいただきました。どれも美味しかったです。川海老の唐揚げはおすすめです。一つ残念なところは、ホテルに製氷機がなかったことです。部屋飲みしようと、持ってきたお酒を飲もうとした時に、施設に製氷機がなく、電話で製氷機はありますか？と聞いたところ、有料だと言われました。コップ3杯くらいで200円と言われました。なので、車で10分くらいのセブンまで買いに行きました。氷くらいは無料で用意して欲しかったです。,2022-07-15
温泉のクオリティが高いので来てみましたが、本当に広くて良かったです。露天風呂が種類豊富でよかったです。ありがとうございました。,2022-07-15
長文失礼します。箱根湯本から近い宿は今回初めて泊まりました。駅前から送迎バスが出ていますが今回は歩いて行きました。箱根湯本の風景を楽しみながら歩けましたが最後の坂はなかなかキツかったですf(^_^;宿に着くとスムーズにチェックイン対応していただき部屋に入れました。お風呂が何ヵ所もあるのでさっそくホテルの８階にある浴場に子供と入りました。洗い場が広くお風呂も適温で快適でした。湯の里の方にも入りましたが露天風呂が充実していてとても満足でした。休憩所も落ち着いた雰囲気でたくさんある漫画を読みながら過ごせました。朝、夕ご飯も宿泊客は多かったものの上手く時間調整して混み合わないようにバランス取れていました。アルコール消毒も入念にしていて感染対策されていたので安心して食事出来ました。全体的ににとてもよかったです。箱根旅行の際はまた利用したいと思います。,2022-07-12
　お風呂がたくさんあって楽しいですねぇ。特に貸し切り風呂がとても良かったです。朝食も美味しかったです。,2022-07-11
少し高台にありましたが、箱根湯本駅からタクシーならワンメーター位の距離だと思われます。送迎バスも出ているので便利です。また、行きたいホテルです。,2022-07-11
お風呂大好きな私が言いますが、露天風呂４つもありサウナ・水風呂もあり最高です！もう何回か宿泊していますがお部屋はやはりふる里がいいですね〜！！足湯に入りながら一杯！うん、最高です！朝食にパンが無いのが少し残念ですが、夕飯・朝食ともに美味しいです。,2022-07-10
夕食を少しアップグレードしたはずでしたが、なんとなく寂しい内容で、ローストビーフなどすでに用意されてる料理は乾燥してました。逆に口コミで酷評されていた朝食は思ったより品数も多くてよかったです。お風呂は3階でつながってる日帰り温泉施設は広くてよかったです。箱根は温泉宿がたくさんあるのでリピートするかは正直ないですが、お値段相当って感じです。,2022-07-04
一泊2食の1人一万ちょっとのコース。前に日帰りで寄らせて頂き、今回は宿泊してみました。本館の大浴場と日帰り温泉用の施設が両方入れて温泉三昧。身体が芯から温まって、本当にいい温泉です。,2022-06-20
二度目のお泊まりになります。結論から言うと大満足です！お風呂はたくさん種類があります。混雑するような感じもありませんでした。清潔に保たれていて気になる点は一切ありません。部屋は最上階を取りました。冷房も効き、音も聞こえないし静かにゆったり過ごせました。夕ご飯はメニュから選ぶタイプでどれも美味しそうで迷いました。美味しいし量もあり食べ盛りの息子が喜んでおりました。夕ご飯のばたつく時間でも外国人のスタッフさんが丁寧に接してくれました。ありがとうございました。唯一気になるところは朝バイキングでコーンフレークや飲み物を提供してくれるカウンター内のお姉さんです。かなり無愛想でグラスの置き方が雑で怖くておかわりの飲み物をとりに行けませんでした。そういう冷たい態度をされると嫌なところが浮き彫りに見えてしまい、指に傷があるなら手袋をして欲しい、髪の毛を綺麗に纏めて欲しいと攻撃的に思ってしまいました。,2022-06-20
小田急線の沿線に住んでいます。金曜、仕事が終わってから箱根に行ってきました。箱根湯本駅からさほど遠くありません。徒歩だと厳しいかな。須雲川の川そばの斜面に建てられ景観良く静かです。部屋はたいへんきれいになっておりました。妻がホテル清掃の仕事をしていた経験がありましたが、すごい掃除が出来ていると言っておりました。畳など内装も新しめで綺麗です。お風呂は露天風呂になっていて、楽しめました。晴れていたので、夜空のしたで風呂につかれました。平日夜であったためか混雑もありませんでした。日帰りのお客さんも受け入れてますので、休日はもしかすると混むこともあるのかも。どうなんでしょう。箱根では、他の日帰り風呂を何度か利用してみてきています。こちらはたいへん良くできているお風呂だと思います。食事は、あまり贅沢な食材を求めていないので、十分でした。お刺身、豚肉の焼きもの、など、品数がそろっているので酒を飲みながら、で十分だと思います。ルームサービスにて、お酒とつまみを提供するサービスも、もちろん別料金であるようです。夜の食事のスタッフが外国籍の方がいらっしゃって、日本語が少し変でしたが、日本で接客できる方なので、おそらく優秀な方なのかもと思います。外国人のお客さんが宿泊することも多いのでしょうか。今回は１万円ほどの価格帯でやっていただいて、全般的にありがたいと思います。コロナが終わって、お客さんが増えたら、この値段ではできないかなって気はします。行くなら、価格が落ちている今のうちかもと思います。,2022-06-20
宿とお風呂が別棟だったのが、残念でした。GWでお客さんが多くあまりゆっくり出来なかった、仕方なかったかなとも思いましたが‥夕飯なしのプランでしたが、食事処があって助かりました。,2022-06-17
自然の中に有るので、のんびり過ごせました。食事も、丁度良い量で良かったです。朝食は、バイキングだったので子供達は、好きな物を何度も取りに行ってました(笑)ゲームセンターが、無くなっていてがっかりしていたけど、大浴場は良かったと喜んでいました。,2022-06-14
日帰り温泉も人気がある宿で、泊まり客は入り放題なのはお得であり、更に別館にも入れてお得を感じました。,2022-06-12
予定外の休みが出来たので、後輩を誘い温泉旅行へ、いつもは後輩に車を出してもらっているが、今回は電車旅近場で気軽に行ける箱根湯本で予算１人一泊2食で一万円以内で温泉が楽しめる宿を探して箱根の森おかだに、建物はそれなりに年季が部屋はリニューアルされて綺麗ですが、チェックイン前に温泉施設・湯の森おかだが利用可能なのは良かった、食事は普通かな〜夕食後に飲み足らなのでルー厶サービスが有り利用しました・コスパはまずまずな感じ、全体的には満足な旅、ホテルおかだの温泉を利用できなかったのが残念。機会があれば次回はホテルおかだに宿泊してみたい。,2022-06-09
　ホテルおかだの奥にある箱根の森おかだは、隣の棟の日帰り温泉から直ぐで、露天風呂が充実しているので雨に濡れず行けるのでとても便利でした。更にホテルおかだの温泉も使用できるのでとても良かったです。　部屋は和洋室でツインベットと8畳の和室があってとても寛ぐ事ができました。　朝夕の食事も程よい量と味付けで美味しく頂けました。陶板焼きも、海鮮と肉と選べて良いです。事前に海鮮を予約していましたが間違えられて出されましたが直ぐに変えて頂けました。対応も良かったです。　ただ浴衣の女性用の色が褪せた色でかなり古びていたのでそこだけが少し残念でした。,2022-05-28
早く風呂に入りたかったので１４時チェックインはありがたい。ただし受付に手間取り待ち時間が、もっと工夫を。露天風呂目当ての客も多く、またホテルおかだの風呂も利用できるのはありがたい。ただ、料理は量は多いが美味しさは普通。,2022-05-25
お風呂の数ガーデン多くて良かった。お部屋の畳みや壁も綺麗でしたが、食事をもう少し工夫して欲しかったです。,2022-05-24
露天風呂が充実してて良かった！部屋も広めで眺望も良かった！昔ながらの温泉街なので道幅が狭く結構気を使った。,2022-05-23
ふるさとというお部屋でした！平屋の一軒家みたいで、周りに他の部屋もなく、離れな感じで良かったですよ！ただ、少し外から直接部屋までこれるのでどきしましたが、足湯もあって床暖房もあって、寝る場所も広々していて3人で寝るには広いくらいでした！とてもおすすめです！スタッフも接客も良く丁寧な対応でした！また箱根に行くなら泊まりたいって思いました。,2022-05-21
2度目の利用でした！あいかわらずお風呂が広くていいですね。お料理も天ぷらが揚げたてで美味しかったです。当日、雨でお部屋に入ったら蒸し暑かったのでエアコンをつけたら、へんな匂いがしてすぐにとめました！そこを改善していただければ良いお宿だと思います。,2022-05-17
お部屋は二間あり、清潔感がありました。子供が部屋を行き来して喜んでいました。お風呂は日帰り湯と本館を利用できます。本館は少し歩くので、寒い季節は同じ建物内にないのは億劫かなと感じます。夕食はとてもボリュームがあり大満足。朝はバイキングでしたが、ほとんど和食なのでもう少し品数があると嬉しいな、と感じました。スタッフさんの対応が親切で良かったです。食堂で、マスクを床に落としてしまい、部屋に戻れば予備のマスクは持っていたものの、部屋までタオルで口元抑えて移動しようかとしていたところ、「よろしければ、お使いください」とさり気なく、迅速に、マスクを差し出してくださいました。ホスピタリティ高く、コロナ対策としてもよく目が行き届いていると感じました。また、その日たまたまかもしれませんが、若い学生さんが多かった印象があり、学生旅行に良さそうと感じました。,2022-05-11
お風呂は日帰り温泉の風呂とホテルの風呂も利用でき最高でした。ただし雨が降っている中を移動するのは大変でした。また急な坂や階段が多く足の不自由な人にはちょっと大変かなと思います,2022-05-09
別棟である「湯の里」と「ホテルおかだ」の全ての温泉が使えるので、色んな温泉が楽しめます。特に、湯の里の露天風呂がとても良かったです。チェックアウトした後、忘れものでホテルに連絡したところ、着払いの宅急便で自宅まで忘れ物を発送してくださって、とても助かりました。また行きたいと思います。,2022-05-06
夕食の豚が美味しかったです牛も食べましたけど豚がお勧めお風呂も良いお湯でしたコストパフォーマンスが良いです,2022-04-26
施設は古いですが、綺麗に清掃されて気持ちよく宿泊出来ました。アミニティが歯ブラシ以外なく用意が必要です。朝食の開始時間が遅いので、二日目は計画を変更しました。スタッフの皆様は接客もよく気持ちよく宿泊出来ました。,2022-04-26
おかださんは三つに分かれていて湯の里､箱根の森、本店?の３棟に分かれています。棟に寄って食事処が違います。箱根の森は夕食は隣の湯の里で３回の通路で繋いでありますので､先ずは3階に上がり中通路で渡り隣の棟で三階の食堂に温泉は湯の里の４階ですから上がります。箱根の森には風呂場はなくて本店と湯の里に在りますが！本店は外の道路を歩くのでちょっとキツイですよ！箱根の森が一番奥に在りますので､道が狭く急坂ですのできをつけてくださいね。後､外国人の女性が居ますが、勤務して5年ですがあらまり日本語得意ではないので注意して下さいね。,2022-04-22
案内された部屋のエアコン臭が気になり、フロントに伝えるとすぐ別の、格上の部屋を用意してくれました。ただ、部屋に用意されたお菓子をいつも楽しみにしているのですが、新しく用意された部屋にはなく食べそびれてしまったのが残念です。ホテルおかだのお風呂にも入れて、湯の里の施設がとても気に入り大満足でした。夕食をつけていないので、レストランや送迎バスの案内も欲しかったです。送迎バスの時間がフロントにあったので時間まで部屋でゆっくりしていたら乗り場がホテルおかだと聞き、慌てて出たけどフロントまでの行き方も知らず焦りました。朝食はコーヒーがないと口コミにあったのでそのつもりで行きましたが、コーヒーも用意されていて良かったです。,2022-04-20
室内が殺風景で夜、蚊が気になりとても心地が悪かった。せっかく予約時点でゆっくりするはずが、寝付けませんでした。,2022-04-19
少し駅から離れており長い坂を登る必要があったが、伸び伸びとした部屋で素晴らしい休日を楽しめた。朝食のバイキングは種類がたくさんあったわけではないが、ひとつひとつがおいしく満足できた。今回は朝食しかつけずに泊まったが、今度は夜ご飯もつけて泊まったみたい。,2022-04-19
食事やお風呂は口コミ通りだと思います。ホテルの方も湯の里も利用できて、チェックアウト後にも利用できるのはとても良いサービスだと思います。ただ、チェックアウトする時、精算金額を大声で言う必要はないですね。宿泊施設で金額を読み上げられた事が初めてでびっくりしました。外国人の女性や清掃の人たちなどの接客はとても気持ちよかったのですが、最後のフロントでの対応でがっかりしました。,2022-04-17
予約時のお部屋以外のランクアップのお部屋に空きがあったらしく変更して頂き、キレイで広々と利用でき感謝しております。静かな山間にあり温浴施設も広々としており露天風呂が最高でした。,2022-04-16
友人と5人で利用させていただきました。部屋はとても広く、温泉もよく、さらに夕食もとても美味しく、全体的に値段以上の価値を感じられました。機会があればまた利用させていただきたいと思います。,2022-04-15
食事や部屋はとても良かったが今回の温泉は水の加水量が多かったのか?温泉の香りが何時もより少なかったのが残念だった。それとサウナの温度が92℃で身体を整えるには温度が低くて汗をかきにくかった。その他スタッフさん達の対応はとても心地よかった。また、伺います。,2022-04-13
まず、こちらの要望に対し親切、丁寧にご対応いただきありがとうございました。 部屋は広く、清潔感もあり良かったですが、テレビは少し小さいかな。また、部屋の入口と入ってすぐの畳が歩くと「沈む」のが残念だった。お風呂は高齢者の母曰く、露天風呂との間が「空いていて」寒くて、ヒートショックの心配をしていました。箱根の森おかだの3Fからお風呂に行ったのですが、杜仲プールを通ったが、もう少し「清潔感」を考えて方が良いと思います。マイナス面ばかり書きましたが、スタッフの対応は本当に真心こもる素晴らしい対応でした。外国のスタッフの方もとても丁寧な対応をされてました。夕食会場が少し寒く感じました。部屋から見える景色が素晴らしく、値段以上の価値のある旅が出来ました。他のコメント欄にもありますが、場所柄「虫」が出るのは許容しないと箱根では泊まれません！いくら、高級なホテルでもいますから！「彼らは｣！また、お邪魔します！良いホテルを見つけられました！ちなみに箱根には20回ぐらい泊まってますが、コストパフォーマンスは上位ですよ！露天風呂からの景色も抜群だったな〜！,2022-04-12
部屋が別館？のほうだったので、お風呂施設が近くて良かったです。本巻の大風呂には行かずに済みました。他は、特筆することはありません。早く着いて、車をとめさせてもらって、箱根湯本駅まで歩いて、そこから電車やケーブルカー、ロープウェイに乗って観光できました。楽しめました。,2022-04-12
温泉施設がたくさんあるので期待していましたが、予想したよりは小規模で種類も少なかったので残念でしたが、離れ部屋は広いのでゆっくり寛げました。食事は、ありきたりな感じではありましたが、コスパが良いので、納得です。離れにある足湯は、かなり楽しめました！,2022-04-08
結婚3周年にて泊まったことの無い箱根でコメント等を見ながら宿探ししました2人とも温泉が好きなのでまず温泉はここには無かったのですが離れのホテルおかだの大浴場や露天風呂、湯の里おかだの大浴場や露天風呂が利用でき沢山の温泉を楽しめました。夕飯は決まった御膳が出てきたのですがお盆が大きく2人向き合ってテーブルに座りましたがはみ出してしまい少し窮屈でした。料理の量の割に各器が大きい感じなので小さくすればお盆も小さく出来食べやすいと思います。量は大人の男性だとご飯が少ないかな？朝食ですが最初に説明があり、おかずをとる時はビニール手袋をしなくてよくてご飯と味噌汁をよそう時だけで良いのはちょっと変なような？ご飯のおかわりでは茶碗を新しいものに交換してよそってくださいとのこと？他に何ヵ所も旅館やホテルに泊まりましたがおかずを取るときから両手にビニール手袋をして取っていましたよ！小分けされている物にしてもトングにて料理を取るにしても。あと、着いたときの受付の方の説明が馴れていないのかあまり上手く有りませんでした。帰りの受付の外国の方日本語上手くないですね聞き取りづらかったです！でも、温泉が良かったのでまた泊まっても良いかなと思える所です。あっ、坂の上にあるので車で行くかタクシーで行った方が良いと思います。途中すれ違いで狭いところがあるので車幅のある車は気をつけてください。,2022-04-06
露天風呂がとても広くてすごく良かったです。3回も入りました！お部屋もすごく広くて良かったのですが、夕飯だけちょっとスーパー銭湯の食堂みたいな感じで残念でしたが、お値段がリーズナブルだったので仕方ないかなと。,2022-04-04
急にお休みがとれたので、じゃらん今夜の宿から予約しました。時間的に夕食には間に合いそうになかったたので夕食なしにしましたが、温泉、朝食、翌日の観光で満足できる旅になりました。温泉が広く、サウナもありとても良かったです。,2022-04-04
コスパが抜群に良いわけじゃないですが、ハズレなしのホテル。食事や温泉も平均以上で会計する際にストレスを感じません。夕飯の量が多くて若者には最高！,2022-04-03
久しぶりの三世代の旅行　温泉はみんな喜んでいましたが、起きるのが7時過ぎだったので朝食後に温泉に入れずがっかりしてました。　夕食はボリュームアップにしたのですが、食べきれませんでした。普通の食事で十分でした。　朝食は種類が少なかった。　部屋には蚊がたくさんいるので早めに蚊取りマットをセットしたほうがいいと思います。,2022-04-01
若い頃から日帰りで利用していました。子供が大きくなり、一人旅が出来る様になったので、大好きなあの温泉に入りたい！と思い初めて宿泊で利用しました。懐かしい気持ちと温泉の気持ち良さに大満足でした。また利用させてください。,2022-04-01
娘と二人で利用しました。駅から宿まで歩いたのですが、マップで見ながら行ったら宿近くが急な坂でその坂を登るのがとても大変でした。宿に着いてからお伺いしたら、ホテルおかだから通り抜けて行けて、帰りはそのルートで行ったら大変さはありませんでした。お部屋は離れのふるさとにしました。3部屋で足湯があり娘は大喜びでした。テレビがある部屋は床暖房がありとても暖かかったです。気になったのが、玄関の戸から外が見えて部屋の前を通ってる人が見えて、外からも中が見えて、それはちょっと嫌でした。玄関の戸の隙間をなくした方が良いと思いました。食事は個人的には朝ごはんが種類も多めで美味しかったです。夜はボリュームがありお腹いっぱいになりました。特に出来たての天ぷらが美味しかったです。お風呂は湯の里とホテルおかだの大浴場に入れて、満喫しました。とても良い宿でまた機会があったら泊まりたいです。,2022-03-27
ちょっと失敗。やはり値段が安いと若者が多く不安を感じました。夕食は普通朝食は和洋バイキングになってたが洋は？見あたりません,2022-03-25
箱根湯本駅からほど近いにかかわらず、森に囲まれた大変素晴らしいロケーションに感動、お風呂は大変ゆったりとして数か所あり、お湯もいいお湯でした。料理もボリュームあり満足。家族連れや友達同士で楽しめると思います。,2022-03-24
冬に利用させていただきましたが、まず蚊がなぜかいます。部屋もとても汚いですし、値段と合っていません。ご飯に関しても、冷めていましたしあまり良いとは思えませんでした。ビジネスホテルレベルの費用なら満足ですが。温泉は別館にあり、非常によかったですがもう利用させていただくことはないでしょう。,2022-03-14
露天風呂が充実していて、温泉が好きな人には抜群です。費用も安く何度も行けて良いです。箱根湯本という立地条件も良くて、また行きたいです。,2022-03-13
翌日箱根外輪山のスタート地に近く、温泉、朝食、駐車場と最適解でした！温泉は2ヶ所入ることができ、外を歩くとはいえ近いので全く問題無いです。朝食はこの値段ではいいのですが欲を言えばパンなど洋食が少しあれば。。。部屋も古い外観とは裏腹に綺麗で快適です。また絶対に利用します！,2022-03-04
