Unnamed: 0,口コミ,投稿日
17,ホテル内は清潔に保たれており、接客も素晴らしいです。食事は朝食のみの利用でしたが、スムージーを始め全てに満足でした。温泉は混雑状態がスマホで確認できるので、安心して楽しめました。天候に恵まれ星空を眺めながらの露天風呂となりました。小田原からホテル間の送迎バスがあり交通手段の不安もなく癒しの一人旅、大満足でした。帰りもスタッフの方々にバスのお見送りをしていただき、不快な思いはひとつもなく良い旅ができました。最近は歳を重ねたせいがイラッとする事が多くありますが、今回の旅は全くなくプリンスホテルの教育が行き届いているのだと感じました。お世話になりました。,2022/10/9
18,3年ぶりの家族旅行でした。近場で1泊だけでしたがこちらのホテルにして大正解でした。まずスタッフの皆さんの応対がすばらしい。特にレストランではさすがプロの仕事だと感心させられました。おいしい料理がより満足できるものになりました。次に久しぶりの温泉で本当に気持ちよかったです。ほかに小田原駅までの送迎バスがあるので小田原観光もできました。1泊2日の小旅行でしたが家族全員満ち足りた時間を過ごせました。また機会があれば泊まりたいです。ありがとうございました。,2022/10/6
19,お盆休み期間だったのでどこも混雑していましたが宿泊地を箱根にして往路は静岡を復路は神奈川を観光したかったのでとてもいい場所だったと思います。,2022/10/5
20,案内されたお部屋からは有名で格式ある美しいゴルフ場が広がっていました。翌日ゴルフ予定だったので、いつかここにまた泊まりラウンドしてみたいと思いました。夕食はメインとデザートが選べて私はメインはサーロインステーキにしました。とても美味しく満足でした。朝食は洋食か和食を選べて洋食にしました。これも食べきれないほどのボリュームで美味しかったです。お風呂は大浴場、露天風呂があり無色透明で私には適温でとてもゆっくりできました。スタッフの方々はさすがプリンスホテルと思う対応でした。,2022/10/4
21,温泉とフレンチコース料理が食べたく、初めて仙石原プリンスホテルに宿泊しました。さすがにプリンス系の洋食は色彩と味も良くボリュームもあり、洗練されたスタッフのサービスで満足しました。,2022/10/3
22,周りはゴルフコースと山でとても静かです露天風呂は屋根があって窓を全部抜いたようになっているので　雨が降ってもぬれず　山が庭の借景になってとても良い景色です　部屋からもグリーンと山がすぐそばに見えて癒されます夕飯は組み合わせで前菜と刺身・煮物が出てメインは選べますステーキを頼んだら予想以上においしかったデザートも3種類から選べます夕飯は少し混んでいましたが　いろいろ声をかけていただき良い接客でした３０周年とのことで確かに新しくはないですが　落ち着いた雰囲気があります,2022/8/31
23,部屋はゴルフ場の緑が綺麗に見えて良かったですお風呂も露天風呂が清潔な感じで良かった　夕食のフルコースは牛肉が少し固かったですが美味しく食べれましたワインはワインリストから選びましたがとても美味しく飲めて満足ですソムリエの方もとても感じが良かったです,2022/8/30
24,CATレディース最終日の為に伺わせていただきました。ホテルはプリンスさんでも、大沼、札幌と宿泊したなかでも最高のお宿でした。リゾート感かじる部屋、料理も十分楽しめました。温泉も普通のお風呂でしたが、やはりゆったりしていてコロナを感じない距離感がありリラックスできるお宿でした。,2022/8/27
25,温泉の温度がちょうど良く、タオルも脱衣場にあるので３回入りました。ただ朝食ですが、なんかちょっとイメージ違うなと思ってました。うちに帰って自分の撮った写真と見比べたら一品マグロに山芋かけたものが入ってなかったです…他がよかっただけに残念です,2022/8/17
27,宿泊者も大人の方が多く、落ち着いた雰囲気で泊まることができます。温泉もシンプルですが開放感があって何度も入りました。朝食は和食か洋食を選べ量もちょうどよく満足しました。売店でも売ってますが、徒歩圏内のコンビニが遠いので購入してからチェックインすることをお勧めします。また機会があれば利用します。,2022/8/12
28,大雨の日、高齢の母とお世話になりました。雨のため部屋のテラスからの景色はよく見えませんでしたがゴルフ場の緑は綺麗でした。夕食も朝食も美味しく適量でした。大浴場も露天風呂も空いていてゆっくりと入ることができました。タオルが用意されていてよかったです。のんびり過ごすには最適な所だと思います。,2022/8/9
30,小田原駅からの送迎バスを利用させて頂きましたが、大型バスなので疲れもなく快適でした。一番良かったのはお風呂。パテオを囲む様に大浴場と露天風呂があり、明るく清潔な雰囲気の中で気持ちよく過ごせました。,2022/7/13
31,清潔で気持ちよく入れる風呂が良かった。浴室は大きさも設備も、ちょうど良くゆっくり過ごせるように思う。サービスを含めて全体的に安定感有り、安心して過ごせるホテルと思う。ただ、周囲の部屋や廊下での物音が室内に響くことが気になった。,2022/7/12
32,高齢の母親と二人でお世話になりました。小田原駅からの送迎バス、スタッフのホスピタリティ、お部屋や施設のきれいさ(古いというご指摘を時々見かけますが、その分清掃は行き届いており、私は気になりませんでした)、申し分ないと思います。訪れた時はしとしと雨が降っていましたが、ゴルフボールを打つ音がない代わりに遠くで野鳥の鳴き声、うっすら雲のかかった外輪山の景色がきれいで、静かにお部屋と自然を堪能出来ました。温泉はちょうど良い湯加減で本当に気持ちよかった！姥子温泉は初めて入りましたが、旅の疲れが取れ 身体もポカポカ。母親も気に入ってました。チェックアウト後は湿性花園までバス(予約制)で送っていただきました。ホテルではスタッフの方のご案内で、少し割り引いた価格で入園券の購入が出来ました。親子共々大変満足しています。本当にありがとうございました。,2022/6/30
33,４月に就職が決まり、すぐ旅行を計画しました。条件が土曜・日曜日の１泊２日。そのためできるだけ近場を考え検討し、夫婦共々箱根に行こうとなりました。宿泊場所の選択は私の役目。今回は何を一番に考えるのが良いか悩みました。その中で今回選択の一番にしたのは、「ホテル」にし探し、今回宿泊した「仙石原プリンスホテル」に決めました。旅行当日、出発時間は余裕を持って出発しようと出かけましたが、道の選択を誤りそれ以降はナビに表示されている到着時間とにらめっこでした。今回は予約した食事時間より30分近く到着できました。さて楽しみにしていた食事時間。予約時説明を読んでいたのですが、あまり把握できていなく少し心配でしたが、説明を聞き、料理が出てくれるのが楽しみになりました。私はとんかつ、妻はビーフストロガノフを選択しました。料理が出始め、思ったより、豪華かつ味付けも美味しく、とても良かったです。朝食は、夕食から連想し、寝る前から楽しみになりました。朝食当日、夫婦とも朝風呂に入り、体調万全で開錠に向かいました。朝食は夫婦とも洋定食。食事が出る前にコーヒーを出していただき、食事を出てくることを待ちました。食事が出てきたとき、少し少ないかなーと思いましたが、食事が進むにつれ、最初の考えはすぐ消え、とても満足でした。コーヒーも美味しく、３杯いただきました。食事を終えて部屋に戻って一番に思ったことは、「今回の選択はベスト」と思いました。今後もこのような旅行を検討する上で、宿泊先を選択するとき、今まで同じ宿泊先は泊まっていなかったのですが、仙石原プリンスホテルは選択先から外せません。また行きたいと思っています。,2022/6/27
34,家族旅行で訪れたのですが、さすがプリンスブランド。部屋も風呂もキレイでした。朝食も和食と洋食を選べたので、その人に合った食事ができるのは嬉しかった。,2022/6/26
35,生憎の雨の中、小田原からの送迎がありホテルへ直通がとても良いと思いました。お食事も朝夕とても美味しくいただきました。当日は私事で揉めていたので癒しになり、ありがとうございました。友人達共々また来ようと話していました。,2022/6/25
36,プリンス系のホテルは、何度か利用させてもらいましたが、箱根は初めてでした。遅い到着だったので、朝食、夕食は付けずに素泊まりプランでお世話になりました。静かな立地に、最高な温泉ととても良かったです。今度は、もっと余裕を持って食事を頂きゆっくり伺いたいと思います。お世話になりました。,2022/6/11
37,客室・レストランからの眺め良し、プリンスの中で仙石原が一番落ち着きます。朝食ビュッフェも楽しいですが落ち着かないので、オーダーを聞いて提供して頂けるのは助かります。今回はオムレツがエッグベネディクトになっていて良かったです。お客様の嗜好もあるのでしょうが、グリルの夕食は薄味で物足りなさを感じました。ケーキやコーヒー・紅茶などのルームサービスがあると嬉しいですね。次回の宿泊を楽しみにしてます。,2022/5/29
38,仙石原でどこかゆっくりできるホテルを探していたところ、HPで一目惚れ。実際に行ってみると、部屋も広く、また、大きな窓からはゴルフ場や山々の緑が見渡せ、最高のリラックスができました。二日目の朝は雨でしたが、新緑に雨も逆に良かったです。朝食のみのプランでしたが、係の方の接客も感じがよく、気持ちの良い旅になりました。ありがとうございました。,2022/5/28
39,高齢の母とお世話になりました。大人が静かにすごせる場所です。部屋からのゴルフ場と外輪山の緑に癒されました。小田原からのシャトルバスも本当にありがたいです。スタッフの対応も良くまた訪れたいです。,2022/5/27
40,GWに親族一同大人12名での旅行となりました。GWにも関わらず大人数でも部屋の予約が取れた事、部屋や食事の手配等にも事前に相談をして臨機応変に対応して頂いた事、頂いた数々のお心遣いに感謝です。お陰で親族一同大満足の旅となりました。ありがとうございました。,2022/5/16
41,結婚記念日に夫婦で宿泊させていただきました。送迎バスも有りがたく、お部屋は広く清潔で、窓から広がる景色はゴルフコースと緑の山々本当に心から癒されました。大浴場も露天風呂がやはり景色もよく気持ちよく過ごせ、お食事は大変美味しくて　大満足でした。ホテルのスタッフさんが結婚記念日をお祝いする言葉をかけてくださり、デザートにはプレートもつけてくださり、夫婦共に感動しました。さすがの接客の良さも相まって本当にゆっくりと快適な記念日の旅を過ごせました。今度はぜひファミリーでも利用させていただきます。他のプリンスホテルとは　一味違う自然豊かな素敵なホテルだと思います。ありがとうございました。,2022/5/15
42,タイトル通り、全体的に古めです。良くも悪くもプリンスホテルって感じの作りと雰囲気だと思います。また、朝食も昔ながらの…って感じです。宿泊して数日後、珍しく部屋に忘れ物をしていることに気が付き、ホテルへ電話しました。ホテル側の対応は着払いで送ると言われ、まぁそうだろうな…と思いましたが、そもそも忘れ物をした事を申告しなければ送り返してもこないと言うことです。それなりに宿泊費もするホテルですが、対応や設備、金額等を考えても現代の価値観には合わないかと思います。,2022/5/9
43,お部屋とバルコニーが広くてゆったり過ごせました。お部屋のリクライニングチェアが臭いが凄くて、備え付けの消臭スプレーをしてバスタオルでカバーしてからようやく座れた。夕食のコースメインのお肉がスジがあるお肉だったようで母はお肉を噛み切れなかったよう。お風呂は調べていかなかったこちらのミスだが、サウナと水風呂がなくて少し残念でした。売店の方が、少し洋服を触っただけでその後すぐ私が触った洋服を確認しハンガーをかけ直しに行かれてとても不快でした。それ以外は、ホテルスタッフの対応などとても素晴らしく、満足しました。,2022/5/8
44,GW期間中の東名渋滞を見越して、ゴルフの前泊先を探していたところ、ゴルフ場の近くにプリンスがあったので利用しました。さすがに接客や清潔感はプリンスホテルへの期待を裏切りません。部屋からの眺めはとても広い芝生のゴルフ練習場で気持ちの良いものです。食事は前菜2つ、主菜を1つ、デザート1つを選んで組み合わせる方式でした。連れの者と違うものを選んだのでバラエティに富み、楽しめました。大浴場には露天風呂もあります。コスパは良くないと思う人もいるでしょうが、GW期間中であること、接客などサービス全般を考慮して妥当としました。,2022/5/2
45,こないだ(朝、夕あり)で泊まらせて頂きました、部屋は凄く綺麗で広々していて、眺望は前がゴルフ場でビックリするくらい芝生が綺麗で風が通り寒かったですが気持ちが良かったです夕ご飯も美味しく頂きましたホッと出来るホテルでしたよ、また機会があれば行きたいです、その時は宜しくお願いします,2022/4/27
46,接客はさすがプリンス！夕食も朝食も選べるのが嬉しい！ホテル全体が広々していてゆっくりできて癒される。大浴場も部屋も清潔感があり気持ち良く過ごす事が出来ました。今回リピートしてまた箱根でリピートしたいホテルになりました！,2022/4/21
47,駐車場)15時に到着すると数台が止まっている程度。好きなところにとめられます。平置きです。ナビで迷う事なく到着できます。到着するとドアマンの方が入り口までお出迎えしてくれます。その方の笑顔が良かったです。部屋)トイレと洗面所が別になっており、使い勝手が良かった。入ってから2〜3段の階段があり、部屋になっています。その部屋の窓からゴルフコースが一面に広がり、とても静かです。お風呂)ロッカーキータイプのお風呂なので、安心。タオルも浴場にあるので、いちいち持たなくて良いのは楽でした。温泉は中と外の2個。温度がちょうど良い！露天風呂はゴルフの球を打つ音が聞こえ、のんびり入れます。ただし露天風呂に向かう通路は滑るので、ちょっとびっくりしました。お食事)大食いではないので、ちょうど良い量。色々な種類から選べて、お腹にズシッと来ない優しいお料理でした。食べ盛り運動部の高校生だと足りないかなー。接客)どの方もとても良い対応をしてくれます。大人のお客様が多く、子供を連れた方は少なかったです。そのお子さんも静かな子だったのか、ホテル全体がのんびりしたい大人向けに感じました。,2022/4/17
48,今回は「県民限定で館内利用券が付いた2食付きプラン」を夫婦旅で利用しました。良かった点。1.臭いに敏感な私としてはホテル全体も部屋も、無臭だったことが嬉しかった。ホテルによっては気をつかって？香りをつけているところもあるが、誰でもみんなその香りを好きなわけではない。2.背の低い私に丁度いいSサイズの浴衣があった。3.浴衣の糊が効いていなかったので肌触りが優しく着心地が良かった。4.お風呂の混み具合を自分のスマホで確認できた。5.朝食の焼き魚を目の前で温めてくれたので、より美味しく食べられたなど。気になったこと。1.小さな音ではあるが隣の人がトイレを流す音や話し声が聞こえてきた。2.夕食時注文後にビールは直ぐに出てきたが、つまみになるような前菜が中々出なかった。10分ほど待ってからこちらから要求した。また主人が言っていたが副菜の量が男性には物足りなかったようだ。3.朝は和朝食を希望したが、箸置きがなく少し不便だったなど。　ただ全体としては部屋も大浴場も露天風呂も手入れが行き届いていて、スタッフの方々もきびきびとしており、とても気持ちよく過ごすことが出来た。テラスから見える景色も素晴らしく、機会があったらまた利用したいと思うホテルだった。,2022/4/17
49,二度目の利用でした。前回利用時も夕食とお風呂に満足、今回の夕食もとても美味しかったです。和洋折衷でしたが和も洋も非常に手間をかけてるなと感じさせてくれる内容でした。料金はやや高めなコースですが納得です。お風呂は露天がぬるめですが、私的にはとても気持ち良かったです。部屋は古さが否めず、階段もあったりと使い勝手がイマイチな感じですね。,2022/4/13
50,部屋はハードは古いが掃除が行き届いており清潔感はある。部屋の中の段差、クローゼットにドアが無いなど、昔のデザイン感は否めない。部屋が縦長なのは使い勝手は良くない。部屋から見えるゴルフ場の緑は綺麗。食事は朝夕ともに満足の内容で、前菜やメインを選べることから連泊でも飽きない。ワインの飲み放題メニューは酒飲みにはありがたい。お風呂は広く、露天風呂の温度が子供も長く浸かれるくらいで良かった。神奈川ペイも使えるため、宿泊額が纏まっていたことから嬉しい還元を受けられた。車でないと若干不便だが、また利用したい。,2022/4/4
51,部屋の前がゴルフ場に面していてとても開放感があり、また夕食、朝食とも美味しくいただきました。小学生の孫2人と一緒でしたが、とても喜んでました。ただ男性用のお風呂に比べ、女性用のお風呂が混んでいる事が多く、ちょっと残念でした。,2022/4/1
52,何度も箱根に行っているのですが、はじめてプリンスホテルに宿泊しました。今回リーズナブルなお値段で宿泊したのですが、ホテル全体の雰囲気もお食事もとてもよかったです。何より、スタッフの皆さんの対応がとても気持ちよかったです。また利用したいと思います！！,2022/3/28
53,食事は和食・洋食をあらかじめ決める必要がなくその場で選択することができます。夕食はいくつかのメニューの中から選ぶことができるので和洋折衷にすることもでき楽しめました。どれも美味しかったです。大浴場は明るく清潔感があり洗い場には仕切りがあります。露天風呂は半露天になっているので雨の日でも快適に利用できました。また、温度も少し低めだったのでゆっくりと楽しめました。翌日は行きたかった美術館まで送迎していただけたので、悪天候のなかとても助かりました。スタッフの皆さんの対応がとても良く、快適に過ごさせていただきました。ぜひまた利用したいです。,2022/3/22
54,到着からチェックインまでの接客は少々事務的ではありましたが、丁寧でした。部屋はユニットバスでビジネスホテルのようでした。大浴場は綺麗で広く、使いやすかったです。,2022/3/21
55,スタッフ教育が行き届いていて、気持ちよく過ごせました。朝食がおいしかった。小田原までバスの送迎が有難かったです,2022/3/8
56,初めての宿泊でしたが食事、接客ともにとても満足でした。食事のプラン内容で思い違いがあったものの丁寧な対応は素晴らしく、それぞれで選べる夕食は味、量ともに満足感高くとても美味しかったです。朝食も和洋選べて、洋食を選びましたがさすがプリンスというメニューでした！部屋はツインの部屋にエキストラベットでしたがそれほど窮屈さも感じず、清潔感も十分、あえて言えばエキストラベットがもう少し硬めだとよかった。今回はお得なプランが利用できて大変満足でした。また是非リピートしたいと思います。,2022/2/22
57,県民割のようなもので本当に安く泊まれました。頂いた金券のようなもので部屋をアップグレードをすることができ、とても広いお部屋にしていただきました。温泉も混雑情報などスマートフォンで見ることができるので安心です。バス停まで送迎していただけてとても快適でした。スタッフの方々の対応も素晴らしく感動です。今までで1番快適なホテルでした。ありがとうございました。,2022/2/15
58,温泉気分とリゾートステイを楽しめる素敵なホテルでした。館内は原則的に浴衣とスリッパはNGですが、大浴場との行き来はOKで助かりました。アクセスは車が基本になるのでしょうが、小田原駅からの無料送迎があり便利でした。部屋は広々でゴルフ場ビューがなかなか新鮮。入ってから段差があるのが気になるというクチコミが多いですが、メゾネット感があって面白かったです。ただ、確かにバリアフリーではないですね。スーツケースがある場合は大変かも。大浴場は広々で清潔。内風呂と露天で温度が違い良い感じ。洗い場は大きな仕切り板が設置されて使いやすかったです。全体的にはとても快適だったものの、脱衣場に山積みのバスタオルが、乾燥機の嫌な臭いがしたのがマイナスポイント。あと、露天風呂からの景色が殺風景でしたので、男風呂だけでももう少しオープンに景色を楽しめればと思いました。食事は朝食を利用。洋食のセットをオーダーしましたが少々物足りないので、和食の軽セットを追加しました。味は良いが、これで４５００円とコスパは悪いかなぁ。朝はバイキングがいいですよねぇ。あと、洋食のセットですが、玉子料理がスクランブルとエッグベネディクトのコンビでしたが、オムレツや目玉焼きも選べればと思いました。今回は館内利用券付きのプランということで、売店を覗いてみましたが、欲しいものが皆無。お土産品は、近場の旅行ではあまり必要ではなく、お部屋で楽しむことができるフードやドリンクの品揃えが多ければと思いました。,2022/2/14
59,家族で泊まりましたが、クラッシックな雰囲気の素敵なホテルでした。スタンダードなお部屋でしたが、部屋の中に3段だけ階段があり、ベランダもあって子供が喜んでいました。全体的に清潔で、大浴場も広くはないですが、内湯と露天があり、ゆっくりできました。一つだけ残念なのが、部屋の壁が薄くてよく響くことです。隣の部屋の声がすごくよく聞こえるので、夜なかなか寝れませんでした。リーズナブルでコスパも良いので、そこだけ改善されればもっと良いなと思いました。,2022/2/7
60,部屋にはMサイズの浴衣が用意されていますが、小柄なためフロントへ電話してSサイズをお願いするとすぐ部屋へもってきてくれました。部屋には加湿器が用意されていて、給水口が綺麗に保たれていたので使用するのに抵抗がありませんでした。今まで宿泊してきたホテルでは加湿器まで手入れされていない事がほとんどでしたので、見えないところまで掃除が行き届いている事にとても感動しました。お風呂は内風呂と露天風呂がひとつずつとシンプルですが、露天風呂は箱根外輪山が眺めながら寄木細工の壁はスタイリッシュな雰囲気の中でゆったり入れました。また、バスタオルとフェイスタオルは脱衣場に用意されているので部屋から持っていく必要はありませんでした。夕食は前菜2種類、メイン4種類、デザート2種類から選べました。主人は、衣におかかを混ぜてあるとんかつをオーダーしました。衣はサクサクでお肉は柔らかく、ボンズ醤油、お手製のゆず仕立てドレッシング、ソースがついていて色々な味で楽しめます。私はステーキをオーダーしましたが、こちらもとても柔らかくオニオンペッパーのソースがとても美味しかったです。朝食も和食か洋食を選べ、二人とも洋食にしました。メインのエッグベネディクトがとても美味しかったです。静かでのんびり出来きて、食事も美味しくコスパも良いのでとてもオススメです。,2022/2/5
62,家族で金時山に登りたくなり、宿泊しました。低価格でしたが、お風呂は清潔で、のんびりつかれました。スマホで温泉の混雑具合が確認できたのが、今の状況下、よかったです。ただ、上のお部屋のドアを閉める音や、女性の話し声が大きな音で聞こえてきたのだけが気になりました。料金の3割分の館内利用券がついていたので、ショップでいつもは買わないようなお土産をたくさん買えたのが、日頃のストレス発散にもなって、楽しかったです。ありがとうございました。,2022/1/24
